Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"DIVCAS008"
Duration Time,300.66
Ambient Temperature,"105.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"26551961"
Raw Accumulated Counts,"35463806"
Valid Count Last Packet,"80266"
Raw Count Last Packet,"107695"
Live Time,224.066025
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0438
Number of Channels,2048
Vacuum,692
Channel#,Intensity
0,"7599"
1,"5855"
2,"4028"
3,"2668"
4,"1221"
5,"252"
6,"54"
7,"14"
8,"12"
9,"12"
10,"6"
11,"3"
12,"3"
13,"4"
14,"5"
15,"7"
16,"2"
17,"2"
18,"1"
19,"3"
20,"3"
21,"1"
22,"1"
23,"1"
24,"2"
25,"5"
26,"2"
27,"2"
28,"2"
29,"2"
30,"6"
31,"80"
32,"588"
33,"1719"
34,"2564"
35,"2895"
36,"3165"
37,"3213"
38,"3165"
39,"3215"
40,"3160"
41,"3153"
42,"2994"
43,"3082"
44,"3067"
45,"3146"
46,"3109"
47,"3165"
48,"3095"
49,"3048"
50,"3079"
51,"3088"
52,"3012"
53,"3006"
54,"2939"
55,"2904"
56,"2946"
57,"2827"
58,"2892"
59,"2806"
60,"2928"
61,"2851"
62,"2770"
63,"2805"
64,"2670"
65,"2717"
66,"2651"
67,"2596"
68,"2745"
69,"2638"
70,"2666"
71,"2832"
72,"2891"
73,"2856"
74,"2879"
75,"2922"
76,"2829"
77,"2759"
78,"2611"
79,"2623"
80,"2637"
81,"2716"
82,"2809"
83,"2959"
84,"3263"
85,"3585"
86,"3820"
87,"3851"
88,"3535"
89,"3439"
90,"3134"
91,"3036"
92,"3103"
93,"3431"
94,"3938"
95,"4371"
96,"4785"
97,"4820"
98,"4786"
99,"4363"
100,"3839"
101,"3314"
102,"3122"
103,"3019"
104,"2895"
105,"2915"
106,"2887"
107,"2915"
108,"3135"
109,"3056"
110,"3368"
111,"3528"
112,"3890"
113,"4272"
114,"4494"
115,"4541"
116,"4515"
117,"4308"
118,"4059"
119,"3771"
120,"3743"
121,"3677"
122,"3665"
123,"3775"
124,"3862"
125,"4000"
126,"4170"
127,"4771"
128,"5488"
129,"7033"
130,"9066"
131,"11954"
132,"15194"
133,"18232"
134,"19801"
135,"19502"
136,"18239"
137,"16383"
138,"15224"
139,"15022"
140,"16199"
141,"16982"
142,"17472"
143,"17087"
144,"17302"
145,"17285"
146,"18125"
147,"18465"
148,"18156"
149,"15822"
150,"13617"
151,"10526"
152,"8324"
153,"6660"
154,"5922"
155,"5534"
156,"5730"
157,"5893"
158,"5951"
159,"6111"
160,"6409"
161,"6539"
162,"7336"
163,"7970"
164,"8727"
165,"9221"
166,"9052"
167,"8580"
168,"7747"
169,"6858"
170,"5993"
171,"5704"
172,"5796"
173,"5895"
174,"6266"
175,"7373"
176,"9611"
177,"15097"
178,"25746"
179,"45397"
180,"77027"
181,"120150"
182,"166278"
183,"206372"
184,"223286"
185,"213219"
186,"179773"
187,"132201"
188,"87423"
189,"51305"
190,"28602"
191,"15682"
192,"10307"
193,"8565"
194,"9578"
195,"12505"
196,"17371"
197,"23429"
198,"31061"
199,"37140"
200,"39577"
201,"38654"
202,"34079"
203,"26736"
204,"19798"
205,"13760"
206,"9274"
207,"6915"
208,"5633"
209,"4996"
210,"4836"
211,"4827"
212,"4839"
213,"4916"
214,"5025"
215,"5127"
216,"5159"
217,"5160"
218,"5244"
219,"5489"
220,"5839"
221,"6175"
222,"6770"
223,"6881"
224,"7629"
225,"7930"
226,"8215"
227,"8687"
228,"9514"
229,"10670"
230,"11667"
231,"12975"
232,"13352"
233,"13236"
234,"11938"
235,"10535"
236,"9120"
237,"7912"
238,"7281"
239,"6800"
240,"6637"
241,"6619"
242,"6534"
243,"6668"
244,"6664"
245,"6846"
246,"6790"
247,"6910"
248,"6822"
249,"6831"
250,"6686"
251,"6679"
252,"6831"
253,"6826"
254,"6911"
255,"7104"
256,"7171"
257,"7299"
258,"7415"
259,"7659"
260,"7935"
261,"7945"
262,"8067"
263,"8309"
264,"8725"
265,"8596"
266,"8878"
267,"8903"
268,"9073"
269,"8817"
270,"9015"
271,"8938"
272,"8944"
273,"8943"
274,"8674"
275,"8990"
276,"8880"
277,"8942"
278,"8830"
279,"8817"
280,"9059"
281,"9177"
282,"9073"
283,"9234"
284,"9211"
285,"9304"
286,"9533"
287,"9713"
288,"9903"
289,"10137"
290,"10387"
291,"10991"
292,"11058"
293,"11375"
294,"11779"
295,"12193"
296,"12331"
297,"12808"
298,"13005"
299,"13373"
300,"13895"
301,"14551"
302,"15074"
303,"16163"
304,"17043"
305,"18431"
306,"20037"
307,"22712"
308,"27526"
309,"36844"
310,"57385"
311,"98118"
312,"178644"
313,"318106"
314,"535074"
315,"837529"
316,"1201204"
317,"1579450"
318,"1890737"
319,"2057817"
320,"2039281"
321,"1837023"
322,"1504335"
323,"1121372"
324,"763366"
325,"477464"
326,"274280"
327,"147958"
328,"77220"
329,"41369"
330,"24095"
331,"17064"
332,"14100"
333,"12564"
334,"12166"
335,"12231"
336,"12147"
337,"12588"
338,"13140"
339,"13830"
340,"15088"
341,"16969"
342,"20269"
343,"25691"
344,"35452"
345,"52169"
346,"78097"
347,"115859"
348,"162362"
349,"215714"
350,"267024"
351,"305921"
352,"321272"
353,"310589"
354,"276821"
355,"226404"
356,"170451"
357,"119365"
358,"78097"
359,"48722"
360,"29858"
361,"19358"
362,"14145"
363,"11292"
364,"10434"
365,"10264"
366,"10228"
367,"10343"
368,"10806"
369,"11168"
370,"11560"
371,"12156"
372,"12338"
373,"12029"
