Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PB27"
Duration Time,300.044
Ambient Temperature,"111.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"25988033"
Raw Accumulated Counts,"34402575"
Valid Count Last Packet,"79325"
Raw Count Last Packet,"104998"
Live Time,225.501938
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.017
Number of Channels,2048
Vacuum,684
Channel#,Intensity
0,"7545"
1,"5888"
2,"3892"
3,"2698"
4,"1170"
5,"289"
6,"53"
7,"22"
8,"21"
9,"8"
10,"9"
11,"1"
12,"3"
13,"4"
14,"1"
15,"0"
16,"3"
17,"5"
18,"3"
19,"1"
20,"1"
21,"3"
22,"1"
23,"1"
24,"2"
25,"1"
26,"0"
27,"0"
28,"2"
29,"2"
30,"8"
31,"74"
32,"509"
33,"1492"
34,"2281"
35,"2879"
36,"2955"
37,"3115"
38,"3102"
39,"3026"
40,"2955"
41,"2984"
42,"2963"
43,"2993"
44,"2894"
45,"2966"
46,"2911"
47,"3136"
48,"2885"
49,"2888"
50,"2865"
51,"2834"
52,"2873"
53,"2829"
54,"2768"
55,"2799"
56,"2796"
57,"2811"
58,"2724"
59,"2763"
60,"2792"
61,"2765"
62,"2715"
63,"2753"
64,"2587"
65,"2472"
66,"2506"
67,"2561"
68,"2517"
69,"2462"
70,"2505"
71,"2596"
72,"2690"
73,"2765"
74,"2777"
75,"2624"
76,"2685"
77,"2576"
78,"2430"
79,"2440"
80,"2394"
81,"2434"
82,"2405"
83,"2446"
84,"2500"
85,"2649"
86,"2691"
87,"2719"
88,"2791"
89,"2556"
90,"2619"
91,"2541"
92,"2667"
93,"2924"
94,"3086"
95,"3412"
96,"3725"
97,"3916"
98,"3696"
99,"3577"
100,"3319"
101,"3162"
102,"2907"
103,"2720"
104,"2686"
105,"2669"
106,"2647"
107,"2832"
108,"2809"
109,"2928"
110,"3179"
111,"3772"
112,"4286"
113,"5018"
114,"5623"
115,"6028"
116,"6066"
117,"5428"
118,"4819"
119,"4320"
120,"3769"
121,"3555"
122,"3593"
123,"3650"
124,"3683"
125,"3832"
126,"3959"
127,"4383"
128,"5255"
129,"6414"
130,"8292"
131,"11143"
132,"14478"
133,"17233"
134,"19576"
135,"20010"
136,"18521"
137,"16801"
138,"15249"
139,"14833"
140,"15761"
141,"16891"
142,"17180"
143,"17231"
144,"16965"
145,"17078"
146,"17740"
147,"18157"
148,"17769"
149,"16023"
150,"13463"
151,"10582"
152,"8352"
153,"6789"
154,"5709"
155,"5322"
156,"5200"
157,"5257"
158,"5450"
159,"5517"
160,"5353"
161,"5246"
162,"5134"
163,"5199"
164,"5231"
165,"5564"
166,"5466"
167,"5486"
168,"5156"
169,"4872"
170,"4711"
171,"4676"
172,"4647"
173,"4790"
174,"5023"
175,"5566"
176,"6749"
177,"9305"
178,"14825"
179,"25425"
180,"42856"
181,"68317"
182,"97841"
183,"125060"
184,"140549"
185,"137813"
186,"120914"
187,"92498"
188,"62616"
189,"38802"
190,"22214"
191,"12854"
192,"8402"
193,"6895"
194,"7187"
195,"8778"
196,"11273"
197,"15188"
198,"20011"
199,"24064"
200,"26839"
201,"26834"
202,"24501"
203,"20170"
204,"15285"
205,"11118"
206,"8149"
207,"6406"
208,"5502"
209,"5003"
210,"4740"
211,"4648"
212,"4752"
213,"4685"
214,"4780"
215,"4867"
216,"5010"
217,"4998"
218,"5116"
219,"5216"
220,"5409"
221,"5600"
222,"5876"
223,"6174"
224,"6549"
225,"6972"
226,"7228"
227,"7751"
228,"8637"
229,"9746"
230,"11114"
231,"12407"
232,"12890"
233,"12727"
234,"12169"
235,"10715"
236,"9227"
237,"8056"
238,"7116"
239,"6647"
240,"6132"
241,"6235"
242,"6030"
243,"6174"
244,"6288"
245,"6276"
246,"6463"
247,"6387"
248,"6602"
249,"6597"
250,"6801"
251,"6756"
252,"6575"
253,"6641"
254,"6768"
255,"6780"
256,"6991"
257,"7078"
258,"7060"
259,"7329"
260,"7456"
261,"7786"
262,"7931"
263,"8290"
264,"8695"
265,"9053"
266,"9250"
267,"9642"
268,"10152"
269,"10567"
270,"10478"
271,"10553"
272,"10390"
273,"10040"
274,"9755"
275,"9404"
276,"9076"
277,"9059"
278,"9008"
279,"9010"
280,"9104"
281,"9048"
282,"9031"
283,"9240"
284,"9234"
285,"9471"
286,"9708"
287,"9789"
288,"10560"
289,"10777"
290,"11639"
291,"12817"
292,"13556"
293,"14651"
294,"15376"
295,"15993"
296,"15717"
297,"15335"
298,"15218"
299,"15104"
300,"14714"
301,"14796"
302,"15378"
303,"15893"
304,"16654"
305,"17856"
306,"19437"
307,"21479"
308,"25243"
309,"32057"
310,"46976"
311,"77736"
312,"137953"
313,"248914"
314,"430077"
315,"693070"
316,"1037690"
317,"1416485"
318,"1766115"
319,"1999332"
320,"2063549"
321,"1932175"
322,"1648692"
323,"1279058"
324,"907264"
325,"586384"
326,"348086"
327,"193346"
328,"101669"
329,"53288"
