Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"DIVCAS011"
Duration Time,300.103
Ambient Temperature,"109.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"16649860"
Raw Accumulated Counts,"19478268"
Valid Count Last Packet,"51855"
Raw Count Last Packet,"60258"
Live Time,256.126007
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0382
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"8768"
1,"6828"
2,"4531"
3,"2717"
4,"1283"
5,"288"
6,"52"
7,"15"
8,"13"
9,"5"
10,"3"
11,"4"
12,"1"
13,"1"
14,"3"
15,"0"
16,"2"
17,"1"
18,"1"
19,"1"
20,"1"
21,"3"
22,"2"
23,"3"
24,"0"
25,"1"
26,"0"
27,"0"
28,"2"
29,"0"
30,"0"
31,"46"
32,"343"
33,"1129"
34,"1750"
35,"2216"
36,"2266"
37,"2425"
38,"2328"
39,"2399"
40,"2319"
41,"2323"
42,"2382"
43,"2308"
44,"2388"
45,"2435"
46,"2426"
47,"2463"
48,"2462"
49,"2400"
50,"2316"
51,"2202"
52,"2309"
53,"2305"
54,"2366"
55,"2437"
56,"2320"
57,"2299"
58,"2289"
59,"2344"
60,"2331"
61,"2311"
62,"2189"
63,"2163"
64,"2128"
65,"2056"
66,"2100"
67,"2036"
68,"2069"
69,"2111"
70,"2062"
71,"2146"
72,"2208"
73,"2233"
74,"2213"
75,"2264"
76,"2187"
77,"2134"
78,"2142"
79,"2078"
80,"2091"
81,"2078"
82,"2116"
83,"2427"
84,"2769"
85,"3266"
86,"3478"
87,"3418"
88,"3396"
89,"2986"
90,"2707"
91,"2604"
92,"2544"
93,"2807"
94,"3270"
95,"3755"
96,"4427"
97,"4547"
98,"4373"
99,"4062"
100,"3479"
101,"3001"
102,"2629"
103,"2450"
104,"2360"
105,"2326"
106,"2405"
107,"2490"
108,"2508"
109,"2692"
110,"2944"
111,"3474"
112,"4255"
113,"4858"
114,"5567"
115,"5843"
116,"5665"
117,"5041"
118,"4440"
119,"3875"
120,"3565"
121,"3229"
122,"3371"
123,"3361"
124,"3374"
125,"3586"
126,"3743"
127,"4301"
128,"5064"
129,"6807"
130,"9096"
131,"12666"
132,"16402"
133,"20245"
134,"22221"
135,"22582"
136,"20770"
137,"18640"
138,"16613"
139,"16323"
140,"16848"
141,"18054"
142,"18494"
143,"18427"
144,"18194"
145,"18858"
146,"19541"
147,"19871"
148,"19456"
149,"17232"
150,"14321"
151,"11157"
152,"8583"
153,"6862"
154,"5949"
155,"5786"
156,"5602"
157,"5858"
158,"5909"
159,"6110"
160,"6207"
161,"6620"
162,"7435"
163,"8238"
164,"9134"
165,"9898"
166,"9813"
167,"9195"
168,"8170"
169,"7018"
170,"6098"
171,"5597"
172,"5478"
173,"5627"
174,"6071"
175,"7028"
176,"9131"
177,"14195"
178,"24606"
179,"43704"
180,"76199"
181,"120518"
182,"170697"
183,"213771"
184,"234505"
185,"227445"
186,"192848"
187,"145032"
188,"95329"
189,"56586"
190,"31062"
191,"16644"
192,"10743"
193,"9124"
194,"10310"
195,"13866"
196,"18992"
197,"25909"
198,"33772"
199,"40058"
200,"43642"
201,"42401"
202,"36993"
203,"29173"
204,"21061"
205,"14484"
206,"9656"
207,"7070"
208,"5594"
209,"5122"
210,"4922"
211,"4956"
212,"5265"
213,"5808"
214,"6566"
215,"7851"
216,"10864"
217,"15878"
218,"24170"
219,"36230"
220,"51474"
221,"66408"
222,"78073"
223,"82810"
224,"78247"
225,"66283"
226,"50431"
227,"35833"
228,"24392"
229,"16434"
230,"12349"
231,"10653"
232,"9714"
233,"10076"
234,"11352"
235,"14325"
236,"19174"
237,"27395"
238,"37353"
239,"48963"
240,"58720"
241,"64089"
242,"64668"
243,"59388"
244,"51632"
245,"42379"
246,"33949"
247,"26874"
248,"21040"
249,"16651"
250,"13633"
251,"12084"
252,"12113"
253,"13491"
254,"16066"
255,"19555"
256,"22510"
257,"24764"
258,"24922"
259,"23124"
260,"20071"
261,"16381"
262,"13433"
263,"10634"
264,"8705"
265,"8208"
266,"7576"
267,"7699"
268,"7636"
269,"8004"
270,"8827"
271,"9695"
272,"11026"
273,"12459"
274,"14174"
275,"15618"
276,"16390"
277,"16328"
278,"15073"
279,"13124"
280,"11766"
281,"10189"
282,"9220"
283,"8666"
284,"8755"
285,"9270"
286,"10066"
287,"10935"
288,"11561"
289,"12418"
290,"12500"
291,"12695"
292,"12572"
293,"12082"
294,"11603"
295,"10991"
296,"10832"
297,"10559"
298,"10239"
299,"10102"
300,"9976"
301,"9777"
302,"9827"
303,"9959"
304,"10366"
305,"10906"
306,"11340"
307,"12426"
308,"13937"
309,"17294"
310,"24462"
311,"39132"
312,"67444"
313,"118213"
314,"198778"
315,"313535"
316,"453204"
317,"600805"
318,"729143"
319,"801643"
320,"802565"
321,"728391"
322,"604996"
323,"453683"
324,"312684"
325,"196412"
326,"115322"
327,"63664"
328,"34709"
329,"20017"
330,"12918"
331,"9946"
332,"8761"
333,"8413"
334,"8324"
335,"8501"
336,"8386"
337,"8776"
338,"8982"
339,"9207"
340,"9893"
341,"10265"
342,"11679"
343,"13931"
344,"17561"
345,"23376"
346,"33551"
347,"47165"
348,"65290"
349,"86637"
350,"106937"
351,"122751"
352,"130155"
353,"127469"
354,"115027"
355,"96317"
356,"74303"
357,"54074"
358,"37686"
359,"25885"
360,"18437"
361,"14585"
362,"12505"
363,"12024"
364,"11684"
365,"12226"
366,"12470"
367,"13181"
368,"13628"
369,"14553"
370,"15395"
371,"16310"
372,"16971"
373,"17068"
374,"15755"
375,"14531"
376,"12650"
377,"10783"
378,"9021"
379,"7497"
380,"6555"
381,"6006"
382,"5655"
383,"5408"
384,"5424"
385,"5374"
386,"5329"
387,"5211"
388,"5326"
389,"5324"
390,"5326"
391,"5249"
392,"5535"
393,"5506"
394,"5626"
395,"5677"
396,"5909"
397,"6294"
398,"6297"
399,"6623"
400,"6778"
401,"6833"
402,"6749"
403,"6926"
404,"7022"
405,"6668"
406,"6649"
407,"6547"
408,"6595"
409,"6765"
410,"6645"
411,"6795"
412,"6995"
413,"6930"
414,"6458"
415,"6273"
416,"6115"
417,"5620"
418,"5376"
419,"5304"
420,"5153"
421,"5124"
422,"5229"
423,"5151"
424,"5066"
425,"5416"
426,"5376"
427,"5371"
428,"5572"
429,"5541"
