Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSC18822"
Duration Time,300.481
Ambient Temperature,"112.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6340357"
Raw Accumulated Counts,"6700789"
Valid Count Last Packet,"19935"
Raw Count Last Packet,"21062"
Live Time,284.960175
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0821
Number of Channels,2048
Vacuum,1023
Channel#,Intensity
0,"9799"
1,"7731"
2,"4722"
3,"2609"
4,"1150"
5,"305"
6,"38"
7,"14"
8,"4"
9,"4"
10,"1"
11,"0"
12,"1"
13,"3"
14,"2"
15,"4"
16,"1"
17,"2"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"1"
24,"1"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"3"
31,"8"
32,"143"
33,"544"
34,"886"
35,"1140"
36,"1171"
37,"1225"
38,"1280"
39,"1270"
40,"1263"
41,"1257"
42,"1214"
43,"1231"
44,"1282"
45,"1342"
46,"1401"
47,"1416"
48,"1384"
49,"1341"
50,"1345"
51,"1252"
52,"1318"
53,"1300"
54,"1406"
55,"1309"
56,"1361"
57,"1339"
58,"1372"
59,"1354"
60,"1441"
61,"1459"
62,"1447"
63,"1362"
64,"1342"
65,"1330"
66,"1278"
67,"1163"
68,"1256"
69,"1261"
70,"1275"
71,"1311"
72,"1357"
73,"1468"
74,"1393"
75,"1335"
76,"1333"
77,"1369"
78,"1256"
79,"1297"
80,"1292"
81,"1276"
82,"1356"
83,"1373"
84,"1453"
85,"1596"
86,"1802"
87,"1758"
88,"1697"
89,"1629"
90,"1506"
91,"1439"
92,"1444"
93,"1398"
94,"1419"
95,"1504"
96,"1507"
97,"1662"
98,"1730"
99,"1654"
100,"1774"
101,"1917"
102,"1933"
103,"1990"
104,"2035"
105,"2098"
106,"2307"
107,"2507"
108,"3013"
109,"4610"
110,"7728"
111,"13387"
112,"22544"
113,"33296"
114,"44304"
115,"50268"
116,"48028"
117,"39378"
118,"27711"
119,"17964"
120,"11273"
121,"8048"
122,"6873"
123,"6419"
124,"5985"
125,"5177"
126,"4483"
127,"4000"
128,"4517"
129,"5578"
130,"7814"
131,"11415"
132,"15550"
133,"19600"
134,"22196"
135,"22612"
136,"21158"
137,"18327"
138,"16167"
139,"15353"
140,"15850"
141,"16979"
142,"17455"
143,"17415"
144,"17152"
145,"17798"
146,"18584"
147,"19181"
148,"18819"
149,"16749"
150,"13783"
151,"10416"
152,"7206"
153,"5217"
154,"4007"
155,"3595"
156,"3578"
157,"3581"
158,"3616"
159,"3664"
160,"3570"
161,"3241"
162,"2811"
163,"2743"
164,"2432"
165,"2493"
166,"2552"
167,"2615"
168,"2587"
169,"2504"
170,"2367"
171,"2213"
172,"2174"
173,"2048"
174,"2026"
175,"2075"
176,"2112"
177,"2209"
178,"2308"
179,"2436"
180,"2617"
181,"2904"
182,"3311"
183,"3706"
184,"3749"
185,"3871"
186,"3717"
187,"3476"
188,"3195"
189,"3053"
190,"2834"
191,"2765"
192,"2685"
193,"2805"
194,"2866"
195,"2974"
196,"2989"
197,"3024"
198,"3169"
199,"3142"
200,"3307"
201,"3175"
202,"3339"
203,"3257"
204,"3319"
205,"3334"
206,"3391"
207,"3330"
208,"3254"
209,"3485"
210,"3421"
211,"3443"
212,"3594"
213,"3500"
214,"3524"
215,"3646"
216,"3800"
217,"3820"
218,"3839"
219,"4027"
220,"4180"
221,"4430"
222,"4616"
223,"4854"
224,"4895"
225,"4970"
226,"4789"
227,"4705"
228,"4685"
229,"4484"
230,"4516"
231,"4293"
232,"4403"
233,"4428"
234,"4232"
235,"4549"
236,"4515"
237,"4600"
238,"4567"
239,"4717"
240,"4732"
241,"4737"
242,"4922"
243,"4853"
244,"5127"
245,"5009"
246,"5064"
247,"5236"
248,"5066"
249,"5248"
250,"5266"
251,"5379"
252,"5367"
253,"5452"
254,"5494"
255,"5578"
256,"5592"
257,"5658"
258,"5667"
259,"5924"
260,"5886"
261,"6011"
262,"5949"
263,"6180"
264,"6246"
265,"6270"
266,"6430"
267,"6576"
268,"6722"
269,"6705"
270,"6790"
271,"6762"
272,"7030"
273,"6955"
274,"7126"
275,"7019"
276,"7066"
277,"7230"
278,"7322"
279,"7473"
280,"7449"
281,"7595"
282,"7681"
283,"7581"
284,"7702"
285,"7840"
286,"7720"
287,"7907"
288,"7900"
289,"8072"
290,"8246"
291,"8172"
292,"8349"
293,"8582"
294,"8275"
295,"8517"
296,"8663"
297,"8743"
298,"8606"
299,"8608"
300,"8523"
301,"8569"
302,"8456"
303,"8740"
304,"8870"
305,"8937"
306,"9134"
307,"9339"
308,"9554"
309,"9610"
310,"9899"
311,"10287"
312,"10690"
313,"11024"
314,"11360"
315,"11864"
316,"12364"
317,"12736"
318,"13512"
319,"13618"
320,"13421"
321,"12946"
322,"12442"
323,"11525"
324,"10901"
325,"10257"
326,"9544"
327,"9419"
328,"9440"
329,"9210"
330,"9136"
331,"9339"
332,"9322"
333,"9259"
334,"9171"
335,"9422"
336,"9599"
337,"9714"
338,"9763"
339,"9684"
340,"10025"
341,"9945"
342,"10175"
343,"10485"
344,"10584"
345,"10497"
346,"10428"
347,"10463"
348,"10534"
349,"10527"
350,"10560"
351,"10782"
352,"10930"
353,"11079"
354,"11290"
355,"11697"
356,"12136"
