Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"WN0301744"
Duration Time,300.027
Ambient Temperature,"116.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"38153188"
Raw Accumulated Counts,"67240470"
Valid Count Last Packet,"111065"
Raw Count Last Packet,"196401"
Live Time,168.422928
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.047
Number of Channels,2048
Vacuum,715
Channel#,Intensity
0,"5213"
1,"4213"
2,"3245"
3,"2096"
4,"853"
5,"191"
6,"56"
7,"31"
8,"20"
9,"17"
10,"8"
11,"8"
12,"4"
13,"9"
14,"5"
15,"5"
16,"8"
17,"3"
18,"3"
19,"4"
20,"4"
21,"0"
22,"1"
23,"2"
24,"2"
25,"3"
26,"3"
27,"0"
28,"7"
29,"15"
30,"48"
31,"338"
32,"1321"
33,"2618"
34,"3506"
35,"3965"
36,"4035"
37,"4071"
38,"3942"
39,"3777"
40,"3951"
41,"3878"
42,"3695"
43,"3788"
44,"3702"
45,"3841"
46,"3828"
47,"3692"
48,"3620"
49,"3528"
50,"3606"
51,"3595"
52,"3589"
53,"3404"
54,"3339"
55,"3518"
56,"3478"
57,"3387"
58,"3281"
59,"3331"
60,"3344"
61,"3270"
62,"3187"
63,"3174"
64,"3148"
65,"3189"
66,"2978"
67,"3108"
68,"2996"
69,"3107"
70,"3064"
71,"3197"
72,"3257"
73,"3396"
74,"3330"
75,"3357"
76,"3284"
77,"3225"
78,"3012"
79,"3090"
80,"3012"
81,"3135"
82,"3095"
83,"3164"
84,"3237"
85,"3396"
86,"3479"
87,"3463"
88,"3368"
89,"3254"
90,"3059"
91,"3150"
92,"3056"
93,"3130"
94,"3269"
95,"3364"
96,"3417"
97,"3455"
98,"3515"
99,"3353"
100,"3293"
101,"3286"
102,"3219"
103,"3217"
104,"3275"
105,"3263"
106,"3187"
107,"3308"
108,"3255"
109,"3388"
110,"3436"
111,"3711"
112,"3822"
113,"4129"
114,"4355"
115,"4507"
116,"4434"
117,"4490"
118,"4147"
119,"4163"
120,"4081"
121,"3959"
122,"4153"
123,"4202"
124,"4213"
125,"4444"
126,"4680"
127,"5165"
128,"6224"
129,"7490"
130,"9330"
131,"11917"
132,"14375"
133,"16565"
134,"17960"
135,"17447"
136,"16284"
137,"14684"
138,"14007"
139,"14062"
140,"14874"
141,"15485"
142,"15566"
143,"15061"
144,"14814"
145,"14689"
146,"15040"
147,"14862"
148,"14555"
149,"12910"
150,"11253"
151,"9257"
152,"7622"
153,"6627"
154,"5913"
155,"5584"
156,"5573"
157,"5547"
158,"5616"
159,"5762"
160,"5808"
161,"5759"
162,"6092"
163,"6370"
164,"6791"
165,"6969"
166,"6838"
167,"6643"
168,"6073"
169,"5638"
170,"5219"
171,"4910"
172,"4877"
173,"4830"
174,"4866"
175,"5009"
176,"5559"
177,"6764"
178,"8967"
179,"12813"
180,"18501"
181,"25801"
182,"33821"
183,"39661"
184,"42109"
185,"40131"
186,"34041"
187,"26137"
188,"18685"
189,"13025"
190,"8908"
191,"7039"
192,"6167"
193,"6203"
194,"6444"
195,"7083"
196,"8143"
197,"9298"
198,"10455"
199,"11425"
200,"11986"
201,"11412"
202,"10597"
203,"9421"
204,"8169"
205,"7134"
206,"6551"
207,"6318"
208,"6181"
209,"6292"
210,"6454"
211,"6460"
212,"6414"
213,"6473"
214,"6308"
215,"6345"
216,"6552"
217,"6425"
218,"6667"
219,"6721"
220,"7172"
221,"7830"
222,"8427"
223,"8949"
224,"9620"
225,"10479"
226,"11168"
227,"12054"
228,"13285"
229,"15017"
230,"16945"
231,"18497"
232,"19026"
233,"18448"
234,"16785"
235,"14708"
236,"12379"
237,"10707"
238,"9308"
239,"8786"
240,"8264"
241,"8272"
242,"8310"
243,"8422"
244,"8622"
245,"8721"
246,"8987"
247,"8858"
248,"8998"
249,"8975"
250,"8999"
251,"9211"
252,"9275"
253,"9258"
254,"9332"
255,"9508"
256,"9546"
257,"9842"
258,"9734"
259,"10125"
260,"10334"
261,"10869"
262,"11298"
263,"11628"
264,"11936"
265,"12502"
266,"12695"
267,"12949"
268,"13068"
269,"13262"
270,"13032"
271,"13159"
272,"13034"
273,"12610"
274,"12278"
275,"11910"
276,"11892"
277,"11751"
278,"11579"
279,"11756"
280,"11693"
281,"11759"
282,"11556"
283,"12129"
284,"11856"
285,"12014"
286,"12240"
287,"12841"
288,"13081"
289,"13795"
290,"14580"
291,"15374"
292,"16085"
293,"17246"
294,"17703"
295,"18283"
296,"18427"
297,"18295"
298,"18674"
299,"19370"
300,"19698"
301,"20826"
302,"21634"
303,"23317"
304,"24677"
305,"27302"
306,"30142"
307,"34893"
308,"43713"
309,"61620"
310,"98178"
311,"171672"
312,"309242"
313,"542733"
314,"899588"
315,"1385170"
316,"1964098"
317,"2547575"
318,"3020342"
319,"3268116"
320,"3221822"
321,"2895424"
322,"2373252"
323,"1780070"
324,"1219872"
325,"769575"
326,"451774"
327,"248149"
328,"132865"
329,"73278"
330,"42960"
331,"29602"
332,"23084"
333,"20483"
334,"19412"
335,"18519"
336,"18533"
337,"19155"
338,"19660"
339,"20751"
340,"23021"
341,"26063"
342,"31659"
343,"40885"
344,"56965"
345,"84319"
346,"125454"
347,"184627"
348,"259760"
349,"341982"
350,"419674"
351,"476050"
352,"498712"
353,"482244"
354,"427959"
355,"349638"
356,"264051"
357,"185197"
358,"120466"
359,"74438"
360,"45052"
361,"27164"
362,"17845"
363,"13039"
364,"11261"
365,"10144"
366,"9787"
367,"9907"
368,"10339"
369,"10496"
370,"11230"
371,"11770"
372,"11729"
373,"11433"
374,"10884"
375,"9927"
376,"8751"
377,"7682"
378,"6553"
379,"5798"
380,"5063"
381,"4809"
382,"4382"
383,"4347"
384,"4257"
385,"4300"
386,"4163"
387,"4126"
388,"4130"
389,"4164"
390,"4116"
391,"4131"
392,"4151"
393,"4237"
394,"4498"
395,"4600"
396,"4849"
397,"5202"
398,"5708"
399,"6045"
400,"6189"
401,"6634"
402,"6413"
403,"6187"
404,"6019"
405,"5567"
406,"5290"
407,"4993"
408,"4737"
409,"4712"
410,"4742"
411,"4741"
412,"4717"
413,"4596"
414,"4463"
415,"4276"
416,"4220"
417,"3980"
418,"3766"
419,"3619"
420,"3583"
421,"3493"
422,"3519"
423,"3542"
424,"3420"
425,"3492"
426,"3463"
427,"3466"
428,"3684"
429,"3593"
430,"3775"
431,"3805"
432,"3726"
433,"3689"
434,"3694"
435,"3505"
436,"3428"
437,"3411"
438,"3399"
439,"3447"
440,"3340"
441,"3506"
442,"3610"
443,"3596"
444,"3595"
445,"3624"
446,"3494"
447,"3638"
448,"3550"
449,"3519"
450,"3533"
451,"3539"
452,"3611"
453,"3558"
454,"3679"
455,"3722"
456,"3674"
457,"3771"
458,"3741"
459,"3699"
460,"3696"
461,"3708"
462,"3701"
463,"3661"
464,"3640"
465,"3677"
466,"3673"
467,"3632"
468,"3685"
469,"3532"
470,"3618"
471,"3501"
472,"3419"
473,"3365"
474,"3453"
475,"3456"
476,"3378"
477,"3441"
478,"3416"
479,"3418"
480,"3457"
481,"3362"
482,"3422"
483,"3431"
484,"3479"
485,"3455"
486,"3456"
487,"3293"
488,"3368"
489,"3377"
490,"3494"
491,"3401"
492,"3370"
493,"3428"
494,"3399"
495,"3314"
496,"3339"
497,"3539"
498,"3561"
499,"3708"
500,"3878"
501,"3940"
502,"4185"
503,"4256"
504,"4215"
505,"4197"
506,"4048"
507,"4081"
508,"3882"
509,"3762"
510,"3569"
511,"3451"
512,"3381"
513,"3375"
514,"3375"
515,"3280"
516,"3198"
517,"3418"
518,"3322"
519,"3483"
520,"3423"
521,"3503"
522,"3448"
523,"3419"
524,"3443"
525,"3575"
526,"3533"
527,"3550"
528,"3372"
529,"3371"
530,"3300"
531,"3407"
532,"3339"
533,"3418"
534,"3319"
535,"3292"
536,"3325"
537,"3465"
538,"3414"
539,"3367"
540,"3390"
541,"3377"
542,"3423"
543,"3327"
544,"3343"
545,"3359"
546,"3396"
547,"3460"
548,"3389"
549,"3533"
550,"3499"
551,"3528"
552,"3587"
553,"3616"
554,"3431"
555,"3399"
556,"3548"
557,"3457"
558,"3448"
559,"3316"
560,"3328"
561,"3232"
562,"3288"
563,"3288"
564,"3271"
565,"3235"
566,"3229"
567,"3196"
568,"3246"
569,"3350"
570,"3265"
571,"3368"
572,"3329"
573,"3310"
574,"3250"
575,"3253"
576,"3301"
577,"3302"
578,"3325"
579,"3399"
580,"3342"
581,"3302"
582,"3458"
583,"3545"
584,"3558"
585,"3842"
586,"4022"
587,"4385"
588,"4848"
589,"5349"
590,"6084"
591,"6517"
592,"7279"
593,"7732"
594,"8010"
595,"8124"
596,"7833"
597,"7447"
598,"6812"
599,"6103"
600,"5318"
601,"4728"
602,"4303"
603,"3811"
604,"3679"
605,"3429"
606,"3381"
607,"3331"
608,"3404"
609,"3214"
610,"3220"
611,"3388"
612,"3404"
613,"3409"
614,"3369"
615,"3512"
616,"3347"
617,"3489"
618,"3392"
619,"3353"
620,"3542"
621,"3372"
622,"3393"
623,"3521"
624,"3683"
625,"3730"
626,"3843"
627,"4137"
628,"4643"
629,"5322"
630,"6335"
631,"8255"
632,"10740"
633,"14582"
634,"18428"
635,"23736"
636,"29436"
637,"34530"
638,"38402"
639,"41461"
640,"41627"
641,"40149"
642,"37041"
643,"32316"
644,"26959"
645,"21099"
646,"16548"
647,"12340"
648,"9234"
649,"6848"
650,"5389"
651,"4568"
652,"3908"
653,"3471"
654,"3543"
655,"3324"
656,"3510"
657,"3502"
658,"3640"
659,"3897"
660,"4163"
661,"4416"
662,"4705"
663,"5327"
664,"5940"
665,"6749"
666,"7759"
667,"9039"
668,"10332"
669,"11956"
670,"12937"
671,"13995"
672,"14718"
673,"14385"
674,"13537"
675,"12404"
676,"11219"
677,"9583"
678,"8004"
679,"6598"
680,"5378"
681,"4464"
682,"3983"
683,"3427"
684,"3094"
685,"2986"
686,"2955"
687,"2849"
688,"2770"
689,"2802"
690,"2734"
691,"2784"
692,"2760"
693,"2786"
694,"2845"
695,"2760"
696,"2868"
697,"2803"
698,"2948"
699,"2997"
700,"3182"
701,"3263"
702,"3377"
703,"3394"
704,"3535"
705,"3608"
706,"3459"
707,"3412"
708,"3284"
709,"3157"
710,"3133"
711,"2954"
712,"2825"
713,"2690"
714,"2661"
715,"2652"
716,"2579"
717,"2500"
718,"2448"
719,"2545"
720,"2501"
721,"2583"
722,"2438"
723,"2577"
724,"2528"
725,"2506"
726,"2389"
727,"2404"
728,"2578"
729,"2440"
730,"2499"
731,"2415"
732,"2396"
733,"2449"
734,"2461"
735,"2419"
736,"2460"
737,"2361"
738,"2277"
739,"2370"
740,"2404"
741,"2387"
742,"2345"
743,"2346"
744,"2376"
745,"2278"
746,"2383"
747,"2457"
748,"2356"
749,"2292"
750,"2322"
751,"2303"
752,"2352"
753,"2328"
754,"2418"
755,"2257"
756,"2376"
757,"2380"
758,"2322"
759,"2337"
760,"2297"
761,"2311"
762,"2305"
763,"2196"
764,"2299"
765,"2330"
766,"2228"
767,"2272"
768,"2209"
769,"2277"
770,"2295"
771,"2261"
772,"2251"
773,"2251"
774,"2285"
775,"2307"
776,"2322"
777,"2374"
778,"2339"
779,"2330"
780,"2258"
781,"2278"
782,"2347"
783,"2361"
784,"2374"
785,"2424"
786,"2401"
787,"2414"
788,"2340"
789,"2299"
790,"2339"
791,"2364"
792,"2288"
793,"2312"
794,"2176"
795,"2181"
796,"2199"
797,"2154"
798,"2252"
799,"2176"
800,"2089"
801,"2125"
802,"2085"
803,"2121"
804,"2165"
805,"2191"
806,"2147"
807,"2074"
808,"2203"
809,"2164"
810,"2148"
811,"2153"
812,"2110"
813,"2127"
814,"2141"
815,"2119"
816,"2149"
817,"2138"
818,"2220"
819,"2075"
820,"2081"
821,"2152"
822,"2145"
823,"2130"
824,"2120"
825,"2056"
826,"2162"
827,"2091"
828,"2086"
829,"2043"
830,"2028"
831,"2168"
832,"2103"
833,"2083"
834,"2046"
835,"2035"
836,"2057"
837,"2174"
838,"2000"
839,"1999"
840,"2044"
841,"2001"
842,"2032"
843,"2057"
844,"2095"
845,"2046"
846,"2092"
847,"1985"
848,"2019"
849,"2115"
850,"2025"
851,"2036"
852,"1973"
853,"2035"
854,"2074"
855,"2023"
856,"2065"
857,"2034"
858,"2000"
859,"1943"
860,"2020"
861,"2001"
862,"2127"
863,"2116"
864,"2149"
865,"2186"
866,"2217"
867,"2258"
868,"2316"
869,"2296"
870,"2371"
871,"2434"
872,"2437"
873,"2303"
874,"2372"
875,"2174"
876,"2232"
877,"2161"
878,"2262"
879,"2185"
880,"2075"
881,"1999"
882,"2095"
883,"2137"
884,"2053"
885,"2116"
886,"2143"
887,"1996"
888,"2180"
889,"2143"
890,"2088"
891,"2170"
892,"2132"
893,"2097"
894,"2072"
895,"2100"
896,"2141"
897,"2080"
898,"2174"
899,"2140"
900,"2113"
901,"2179"
902,"2270"
903,"2284"
904,"2207"
905,"2303"
906,"2236"
907,"2251"
908,"2373"
909,"2395"
910,"2314"
911,"2329"
912,"2511"
913,"2579"
914,"2607"
915,"2629"
916,"2745"
917,"2648"
918,"2675"
919,"2810"
920,"2792"
921,"2919"
922,"2860"
923,"2934"
924,"3218"
925,"3126"
926,"3280"
927,"3505"
928,"3509"
929,"3739"
930,"3816"
931,"4100"
932,"4320"
933,"4371"
934,"4713"
935,"4929"
936,"5084"
937,"5239"
938,"5650"
939,"5640"
940,"5926"
941,"6220"
942,"6283"
943,"6457"
944,"6669"
945,"6801"
946,"7079"
947,"7073"
948,"7028"
949,"7310"
950,"7219"
951,"7090"
952,"7050"
953,"7181"
954,"7042"
955,"6797"
956,"6697"
957,"6501"
958,"6431"
959,"6190"
960,"5995"
961,"5638"
962,"5484"
963,"5258"
964,"5005"
965,"4686"
966,"4499"
967,"4185"
968,"4008"
969,"3773"
970,"3645"
971,"3394"
972,"3303"
973,"3112"
974,"2998"
975,"2882"
976,"2820"
977,"2649"
978,"2659"
979,"2481"
980,"2488"
981,"2337"
982,"2272"
983,"2254"
984,"2268"
985,"2260"
986,"2143"
987,"2094"
988,"2089"
989,"2125"
990,"2152"
991,"2185"
992,"2206"
993,"2339"
994,"2520"
995,"2742"
996,"2852"
997,"3238"
998,"3414"
999,"3601"
1000,"3950"
1001,"4503"
1002,"4793"
1003,"5294"
1004,"5388"
1005,"5594"
1006,"5877"
1007,"5963"
1008,"6053"
1009,"5864"
1010,"5735"
1011,"5302"
1012,"5090"
1013,"4605"
1014,"4111"
1015,"3676"
1016,"3117"
1017,"2766"
1018,"2470"
1019,"2179"
1020,"1994"
1021,"1949"
1022,"1761"
1023,"1796"
1024,"1641"
1025,"1557"
1026,"1680"
1027,"1610"
1028,"1639"
1029,"1625"
1030,"1642"
1031,"1696"
1032,"1564"
1033,"1636"
1034,"1640"
1035,"1729"
1036,"1719"
1037,"1716"
1038,"1802"
1039,"1809"
1040,"1845"
1041,"1837"
1042,"2025"
1043,"2018"
1044,"2182"
1045,"2266"
1046,"2353"
1047,"2468"
1048,"2667"
1049,"2738"
1050,"2822"
1051,"2934"
1052,"3070"
1053,"3172"
1054,"3220"
1055,"3222"
1056,"3253"
1057,"3254"
1058,"3220"
1059,"3182"
1060,"3064"
1061,"3061"
1062,"2776"
1063,"2911"
1064,"2538"
1065,"2608"
1066,"2422"
1067,"2461"
1068,"2270"
1069,"2275"
1070,"2198"
1071,"2100"
1072,"2142"
1073,"2153"
1074,"1964"
1075,"1955"
1076,"1956"
1077,"1967"
1078,"1902"
1079,"1795"
1080,"1748"
1081,"1796"
1082,"1741"
1083,"1713"
1084,"1700"
1085,"1651"
1086,"1640"
1087,"1649"
1088,"1598"
1089,"1608"
1090,"1478"
1091,"1520"
1092,"1445"
1093,"1463"
1094,"1595"
1095,"1488"
1096,"1398"
1097,"1368"
1098,"1405"
1099,"1320"
1100,"1313"
1101,"1324"
1102,"1351"
1103,"1266"
1104,"1330"
1105,"1312"
1106,"1363"
1107,"1294"
1108,"1259"
1109,"1248"
1110,"1259"
1111,"1228"
1112,"1269"
1113,"1264"
1114,"1221"
1115,"1234"
1116,"1245"
1117,"1231"
1118,"1256"
1119,"1189"
1120,"1238"
1121,"1162"
1122,"1194"
1123,"1282"
1124,"1261"
1125,"1307"
1126,"1387"
1127,"1389"
1128,"1553"
1129,"1573"
1130,"1696"
1131,"1641"
1132,"1749"
1133,"1803"
1134,"1804"
1135,"1814"
1136,"1763"
1137,"1621"
1138,"1635"
1139,"1610"
1140,"1499"
1141,"1419"
1142,"1388"
1143,"1260"
1144,"1252"
1145,"1194"
1146,"1149"
1147,"1169"
1148,"1144"
1149,"1105"
1150,"1121"
1151,"1195"
1152,"1196"
1153,"1140"
1154,"1178"
1155,"1125"
1156,"1247"
1157,"1194"
1158,"1194"
1159,"1202"
1160,"1113"
1161,"1197"
1162,"1129"
1163,"1086"
1164,"1089"
1165,"1044"
1166,"1082"
1167,"1065"
1168,"1043"
1169,"1103"
1170,"1049"
1171,"1058"
1172,"1031"
1173,"986"
1174,"1061"
1175,"984"
1176,"1044"
1177,"1070"
1178,"1039"
1179,"1049"
1180,"1090"
1181,"1088"
1182,"1088"
1183,"1106"
1184,"1146"
1185,"1169"
1186,"1136"
1187,"1174"
1188,"1230"
1189,"1242"
1190,"1184"
1191,"1158"
1192,"1204"
1193,"1199"
1194,"1100"
1195,"1099"
1196,"1075"
1197,"1028"
1198,"996"
1199,"971"
1200,"1000"
1201,"1009"
1202,"1001"
1203,"1013"
1204,"984"
1205,"1004"
1206,"995"
1207,"944"
1208,"959"
1209,"985"
1210,"971"
1211,"1003"
1212,"936"
1213,"971"
1214,"988"
1215,"962"
1216,"1013"
1217,"950"
1218,"1015"
1219,"949"
1220,"919"
1221,"932"
1222,"864"
1223,"987"
1224,"904"
1225,"902"
1226,"910"
1227,"940"
1228,"930"
1229,"929"
1230,"909"
1231,"915"
1232,"949"
1233,"925"
1234,"880"
1235,"898"
1236,"907"
1237,"906"
1238,"936"
1239,"935"
1240,"883"
1241,"909"
1242,"960"
1243,"915"
1244,"917"
1245,"904"
1246,"944"
1247,"955"
1248,"970"
1249,"987"
1250,"1000"
1251,"940"
1252,"919"
1253,"1000"
1254,"984"
1255,"1008"
1256,"958"
1257,"948"
1258,"975"
1259,"1025"
1260,"1073"
1261,"1023"
1262,"979"
1263,"1016"
1264,"1031"
1265,"1047"
1266,"1004"
1267,"1063"
1268,"1026"
1269,"1035"
1270,"1016"
1271,"979"
1272,"1022"
1273,"987"
1274,"971"
1275,"982"
1276,"912"
1277,"999"
1278,"935"
1279,"905"
1280,"961"
1281,"856"
1282,"937"
1283,"919"
1284,"927"
1285,"902"
1286,"881"
1287,"879"
1288,"876"
1289,"876"
1290,"893"
1291,"827"
1292,"866"
1293,"876"
1294,"833"
1295,"847"
1296,"841"
1297,"891"
1298,"873"
1299,"885"
1300,"837"
1301,"849"
1302,"812"
1303,"794"
1304,"848"
1305,"825"
1306,"830"
1307,"839"
1308,"797"
1309,"803"
1310,"849"
1311,"822"
1312,"811"
1313,"739"
1314,"847"
1315,"817"
1316,"832"
1317,"784"
1318,"801"
1319,"832"
1320,"796"
1321,"851"
1322,"828"
1323,"836"
1324,"838"
1325,"783"
1326,"887"
1327,"852"
1328,"816"
1329,"833"
