Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK47510"
Duration Time,300.075
Ambient Temperature,"113.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"37343300"
Raw Accumulated Counts,"63397001"
Valid Count Last Packet,"108862"
Raw Count Last Packet,"187303"
Live Time,174.871063
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0461
Number of Channels,2048
Vacuum,691
Channel#,Intensity
0,"5553"
1,"4475"
2,"3226"
3,"2230"
4,"939"
5,"218"
6,"56"
7,"35"
8,"15"
9,"15"
10,"9"
11,"7"
12,"2"
13,"8"
14,"4"
15,"5"
16,"4"
17,"3"
18,"3"
19,"2"
20,"0"
21,"2"
22,"5"
23,"1"
24,"2"
25,"3"
26,"1"
27,"4"
28,"1"
29,"10"
30,"41"
31,"243"
32,"1077"
33,"2296"
34,"3182"
35,"3726"
36,"3789"
37,"3824"
38,"3720"
39,"3629"
40,"3647"
41,"3761"
42,"3675"
43,"3581"
44,"3466"
45,"3591"
46,"3699"
47,"3637"
48,"3591"
49,"3416"
50,"3296"
51,"3280"
52,"3387"
53,"3452"
54,"3370"
55,"3373"
56,"3269"
57,"3211"
58,"3191"
59,"3225"
60,"3193"
61,"3244"
62,"3195"
63,"3045"
64,"3116"
65,"3072"
66,"2995"
67,"3006"
68,"3117"
69,"3054"
70,"3134"
71,"3269"
72,"3202"
73,"3320"
74,"3325"
75,"3323"
76,"3288"
77,"3216"
78,"3101"
79,"2976"
80,"3094"
81,"3087"
82,"3001"
83,"3047"
84,"3166"
85,"3297"
86,"3476"
87,"3294"
88,"3264"
89,"3216"
90,"3058"
91,"3174"
92,"2929"
93,"3054"
94,"3089"
95,"3200"
96,"3104"
97,"3233"
98,"3078"
99,"3227"
100,"3234"
101,"3232"
102,"3140"
103,"3107"
104,"3187"
105,"3129"
106,"3263"
107,"3265"
108,"3319"
109,"3503"
110,"3457"
111,"3649"
112,"3832"
113,"4145"
114,"4232"
115,"4396"
116,"4575"
117,"4466"
118,"4349"
119,"4318"
120,"4283"
121,"4156"
122,"4176"
123,"4384"
124,"4288"
125,"4391"
126,"4549"
127,"5040"
128,"5665"
129,"6705"
130,"8405"
131,"10667"
132,"12870"
133,"14824"
134,"15946"
135,"15717"
136,"14873"
137,"13769"
138,"13136"
139,"13396"
140,"14254"
141,"15175"
142,"15292"
143,"15007"
144,"14975"
145,"15107"
146,"15707"
147,"15540"
148,"15293"
149,"13581"
150,"11585"
151,"9674"
152,"8028"
153,"6587"
154,"6138"
155,"5772"
156,"5949"
157,"5856"
158,"5965"
159,"6034"
160,"6226"
161,"6500"
162,"6892"
163,"7556"
164,"8120"
165,"8509"
166,"8236"
167,"7698"
168,"7165"
169,"6232"
170,"5715"
171,"5284"
172,"5020"
173,"5008"
174,"5113"
175,"5228"
176,"5473"
177,"5976"
178,"6822"
179,"8088"
180,"9797"
181,"12527"
182,"15118"
183,"17393"
184,"18011"
185,"17508"
186,"15358"
187,"12507"
188,"10021"
189,"8169"
190,"6905"
191,"6103"
192,"5905"
193,"5911"
194,"5966"
195,"6276"
196,"6887"
197,"7548"
198,"7949"
199,"8701"
200,"9291"
201,"10650"
202,"12092"
203,"13817"
204,"16605"
205,"19127"
206,"20614"
207,"21223"
208,"20226"
209,"17981"
210,"14944"
211,"12520"
212,"10634"
213,"9308"
214,"8801"
215,"8570"
216,"9157"
217,"10205"
218,"11434"
219,"13895"
220,"16427"
221,"18771"
222,"21212"
223,"21977"
224,"21429"
225,"19899"
226,"17563"
227,"14884"
228,"12720"
229,"11218"
230,"10673"
231,"10228"
232,"10432"
233,"10697"
234,"11411"
235,"11923"
236,"13241"
237,"14619"
238,"15881"
239,"17299"
240,"18611"
241,"19001"
242,"18694"
243,"18344"
244,"17554"
245,"16875"
246,"15873"
247,"15416"
248,"14666"
249,"14016"
250,"13716"
251,"13268"
252,"13304"
253,"13492"
254,"13768"
255,"14223"
256,"14970"
257,"15245"
258,"15490"
259,"14957"
260,"14884"
261,"14566"
262,"14083"
263,"14090"
264,"13926"
265,"14238"
266,"14512"
267,"14804"
268,"15388"
269,"15985"
270,"16662"
271,"17545"
272,"17965"
273,"19003"
274,"19948"
275,"20878"
276,"21840"
277,"23029"
278,"24163"
279,"25503"
280,"27342"
281,"29634"
282,"33796"
283,"42267"
284,"58833"
285,"94635"
286,"168383"
287,"307516"
288,"550437"
289,"925942"
290,"1436333"
291,"2042502"
292,"2648660"
293,"3114359"
294,"3324279"
295,"3215425"
296,"2824682"
297,"2250052"
298,"1627338"
299,"1073887"
300,"648219"
301,"362880"
302,"192378"
303,"99761"
304,"54105"
305,"33641"
306,"24323"
307,"20699"
308,"19069"
309,"19077"
310,"20129"
311,"22030"
312,"25316"
313,"31438"
314,"41534"
315,"57220"
316,"82262"
317,"119326"
318,"171215"
319,"238636"
320,"318007"
321,"402720"
322,"471553"
323,"514538"
324,"518151"
325,"481361"
326,"410069"
327,"320283"
328,"231612"
329,"153273"
330,"94142"
331,"55422"
332,"30967"
333,"18033"
334,"11106"
335,"7835"
336,"6294"
337,"5577"
338,"5110"
339,"5185"
340,"5173"
341,"5120"
342,"5139"
343,"5365"
344,"5489"
345,"5406"
346,"5701"
347,"6041"
348,"6290"
349,"6524"
350,"6897"
351,"7184"
352,"7224"
353,"7138"
354,"7029"
355,"6719"
356,"6271"
357,"5998"
358,"5986"
359,"5954"
360,"6328"
361,"6347"
362,"6680"
363,"7023"
364,"7113"
365,"7214"
366,"7769"
367,"7761"
368,"8117"
369,"8428"
370,"8798"
371,"9229"
372,"9087"
373,"9002"
374,"8322"
375,"7917"
376,"6889"
377,"5680"
378,"5173"
379,"4337"
380,"3890"
381,"3587"
382,"3402"
383,"3339"
384,"3337"
385,"3205"
386,"3140"
387,"3223"
388,"3193"
389,"3182"
390,"3319"
391,"3282"
392,"3427"
393,"3675"
394,"4158"
395,"4739"
