Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PB35"
Duration Time,300.485
Ambient Temperature,"108.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"10918857"
Raw Accumulated Counts,"12043246"
Valid Count Last Packet,"34121"
Raw Count Last Packet,"37553"
Live Time,272.533997
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0092
Number of Channels,2048
Vacuum,682
Channel#,Intensity
0,"9285"
1,"7322"
2,"4702"
3,"2943"
4,"1422"
5,"326"
6,"41"
7,"11"
8,"7"
9,"5"
10,"4"
11,"3"
12,"2"
13,"1"
14,"3"
15,"3"
16,"4"
17,"2"
18,"2"
19,"1"
20,"0"
21,"3"
22,"1"
23,"1"
24,"1"
25,"2"
26,"0"
27,"1"
28,"0"
29,"1"
30,"1"
31,"27"
32,"331"
33,"1014"
34,"1590"
35,"2079"
36,"2218"
37,"2368"
38,"2248"
39,"2241"
40,"2281"
41,"2250"
42,"2199"
43,"2297"
44,"2347"
45,"2295"
46,"2422"
47,"2432"
48,"2411"
49,"2353"
50,"2243"
51,"2321"
52,"2244"
53,"2308"
54,"2302"
55,"2189"
56,"2211"
57,"2236"
58,"2179"
59,"2214"
60,"2165"
61,"2191"
62,"2167"
63,"2160"
64,"2118"
65,"2024"
66,"2004"
67,"1952"
68,"2076"
69,"1993"
70,"2024"
71,"2020"
72,"2088"
73,"2145"
74,"2214"
75,"2138"
76,"2108"
77,"2152"
78,"2159"
79,"2197"
80,"2250"
81,"2490"
82,"2716"
83,"3286"
84,"3546"
85,"3724"
86,"3676"
87,"3287"
88,"3002"
89,"2705"
90,"2491"
91,"2523"
92,"2472"
93,"2662"
94,"2954"
95,"3163"
96,"3271"
97,"3119"
98,"3132"
99,"3074"
100,"2945"
101,"2724"
102,"2611"
103,"2590"
104,"2536"
105,"2575"
106,"2504"
107,"2607"
108,"2627"
109,"2681"
110,"2722"
111,"2779"
112,"3006"
113,"3177"
114,"3559"
115,"3726"
116,"3619"
117,"3639"
118,"3343"
119,"3305"
120,"3163"
121,"3063"
122,"3068"
123,"3094"
124,"3196"
125,"3364"
126,"3520"
127,"4073"
128,"5001"
129,"6550"
130,"9148"
131,"12902"
132,"17113"
133,"21803"
134,"24747"
135,"25548"
136,"23535"
137,"20785"
138,"18214"
139,"17281"
140,"17769"
141,"18697"
142,"19622"
143,"19491"
144,"19349"
145,"19583"
146,"20504"
147,"20842"
148,"21072"
149,"19775"
150,"17400"
151,"14395"
152,"11946"
153,"9697"
154,"8139"
155,"7226"
