Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PB28"
Duration Time,300.2
Ambient Temperature,"106.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"21326975"
Raw Accumulated Counts,"26379697"
Valid Count Last Packet,"64798"
Raw Count Last Packet,"80810"
Live Time,242.001999
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0192
Number of Channels,2048
Vacuum,680
Channel#,Intensity
0,"8228"
1,"6453"
2,"4131"
3,"2607"
4,"1172"
5,"298"
6,"58"
7,"22"
8,"23"
9,"8"
10,"2"
11,"3"
12,"3"
13,"6"
14,"0"
15,"1"
16,"1"
17,"3"
18,"2"
19,"0"
20,"0"
21,"2"
22,"1"
23,"2"
24,"0"
25,"1"
26,"1"
27,"0"
28,"1"
29,"2"
30,"3"
31,"60"
32,"360"
33,"1105"
34,"1931"
35,"2336"
36,"2536"
37,"2526"
38,"2660"
39,"2470"
40,"2535"
41,"2529"
42,"2505"
43,"2469"
44,"2533"
45,"2511"
46,"2560"
47,"2565"
48,"2569"
49,"2526"
50,"2380"
51,"2380"
52,"2397"
53,"2441"
54,"2371"
55,"2356"
56,"2343"
57,"2402"
58,"2398"
59,"2398"
60,"2334"
61,"2303"
62,"2279"
63,"2269"
64,"2188"
65,"2009"
66,"2071"
67,"2106"
68,"2124"
69,"2041"
70,"2088"
71,"2137"
72,"2290"
73,"2291"
74,"2253"
75,"2289"
76,"2240"
77,"2218"
78,"2123"
79,"2034"
80,"2017"
81,"2045"
82,"1965"
83,"2084"
84,"2200"
85,"2269"
86,"2308"
87,"2349"
88,"2227"
89,"2226"
90,"2139"
91,"2140"
92,"2077"
93,"2052"
94,"1998"
95,"1971"
96,"2100"
97,"2119"
98,"2143"
99,"2214"
100,"2150"
101,"2318"
102,"2172"
103,"2254"
104,"2227"
105,"2160"
106,"2170"
107,"2181"
108,"2245"
109,"2302"
110,"2414"
111,"2702"
112,"3168"
113,"3641"
114,"4010"
115,"4151"
116,"4320"
117,"4045"
118,"3676"
119,"3252"
120,"3179"
121,"2970"
122,"2972"
123,"3061"
124,"3058"
125,"3195"
126,"3390"
127,"3913"
128,"4519"
129,"5837"
130,"7687"
131,"10731"
132,"13974"
133,"17490"
134,"19160"
135,"19871"
136,"18662"
137,"16759"
138,"15187"
139,"14892"
140,"15750"
141,"16698"
142,"16982"
143,"17068"
144,"17232"
145,"17770"
146,"18363"
147,"18543"
148,"18356"
149,"16325"
150,"13705"
151,"10636"
152,"7982"
153,"6322"
154,"5186"
155,"4839"
156,"4734"
157,"4733"
158,"4822"
159,"4721"
160,"4476"
161,"4321"
162,"3907"
163,"3801"
164,"3769"
165,"3796"
166,"3730"
167,"3829"
168,"3729"
169,"3596"
170,"3532"
171,"3428"
172,"3239"
173,"3172"
174,"3132"
175,"3136"
176,"3315"
177,"3344"
178,"3286"
179,"3499"
180,"3660"
181,"3818"
182,"4326"
183,"4588"
184,"4724"
185,"4825"
186,"4658"
187,"4400"
188,"4090"
189,"3985"
190,"3966"
191,"3826"
192,"3809"
193,"4041"
194,"4552"
195,"4928"
196,"5250"
197,"5594"
198,"5681"
199,"5701"
200,"5558"
201,"5186"
202,"4991"
203,"4605"
204,"4497"
205,"4623"
206,"4357"
207,"4508"
208,"4545"
209,"4648"
210,"5001"
211,"5007"
212,"5247"
213,"5766"
214,"6357"
215,"7566"
216,"9683"
217,"13325"
218,"20023"
219,"29545"
220,"42157"
221,"55659"
222,"66852"
223,"72283"
224,"70676"
225,"61455"
226,"49295"
227,"35442"
228,"24591"
229,"16418"
230,"11471"
231,"8620"
232,"7513"
233,"7620"
234,"8460"
235,"11031"
236,"15602"
237,"21712"
238,"30449"
239,"39823"
240,"48422"
241,"53520"
242,"54211"
243,"51245"
244,"45687"
245,"38490"
246,"31256"
247,"25124"
248,"20029"
249,"16529"
250,"13735"
251,"12321"
252,"12190"
253,"13429"
254,"16169"
255,"19216"
256,"22887"
257,"25524"
258,"26623"
259,"25423"
260,"22725"
261,"19058"
262,"15153"
263,"12036"
264,"9721"
265,"8240"
266,"7659"
267,"7478"
268,"7401"
269,"7698"
270,"7949"
271,"8661"
272,"9697"
273,"11325"
274,"12599"
275,"13903"
276,"14691"
277,"14662"
278,"13895"
279,"12833"
280,"11305"
281,"9938"
282,"8946"
283,"8558"
284,"8638"
285,"9009"
286,"9591"
287,"10193"
288,"11157"
289,"11598"
290,"11799"
291,"11707"
292,"11605"
293,"10955"
294,"10552"
295,"10069"
296,"10031"
297,"9634"
298,"9356"
299,"9035"
300,"8883"
301,"8569"
302,"8473"
303,"8251"
304,"8135"
305,"8280"
306,"8453"
307,"8325"
308,"8444"
309,"8781"
310,"8970"
311,"9149"
312,"9634"
313,"9943"
314,"10397"
315,"11078"
316,"11599"
317,"12362"
318,"13205"
319,"13719"
320,"13910"
321,"13910"
322,"13556"
323,"13323"
324,"12877"
325,"12730"
326,"12675"
327,"13110"
328,"13221"
329,"13762"
330,"14353"
331,"15453"
332,"16439"
333,"18162"
334,"20808"
335,"25977"
336,"37044"
337,"59216"
338,"103426"
339,"183170"
340,"312452"
341,"501435"
342,"748426"
343,"1027300"
344,"1293534"
345,"1492663"
346,"1574543"
347,"1513687"
348,"1335275"
349,"1074523"
350,"794208"
351,"536441"
352,"334403"
353,"193536"
354,"106593"
355,"56972"
356,"32054"
357,"20361"
358,"15477"
359,"13674"
360,"13579"
361,"13805"
362,"14094"
363,"14600"
364,"15251"
365,"16157"
366,"16613"
367,"17539"
368,"18516"
369,"19657"
370,"21872"
371,"24658"
372,"27837"
373,"32043"
374,"39618"
375,"51580"
376,"69641"
377,"96071"
378,"130640"
379,"169276"
380,"205543"
381,"233097"
382,"244259"
383,"236818"
384,"211338"
385,"174936"
386,"133930"
387,"94811"
388,"62563"
389,"39331"
390,"23630"
391,"14510"
392,"9287"
393,"6851"
394,"5632"
395,"5147"
396,"5090"
397,"5029"
398,"5120"
399,"5284"
400,"5441"
401,"5258"
402,"5481"
403,"5438"
404,"5316"
405,"5392"
406,"5054"
407,"5179"
408,"5193"
409,"5190"
410,"5102"
411,"5185"
412,"5346"
413,"5115"
414,"5083"
415,"4899"
416,"4921"
417,"4728"
418,"4363"
419,"4301"
420,"4093"
421,"4184"
422,"4234"
423,"4233"
424,"4292"
425,"4423"
426,"4739"
427,"4977"
428,"5164"
429,"5611"
430,"5831"
431,"6085"
432,"6016"
433,"5874"
434,"5536"
435,"5240"
436,"4889"
437,"4661"
438,"4419"
439,"4363"
440,"4110"
441,"4077"
442,"4054"
443,"4099"
444,"3992"
445,"4040"
446,"3981"
447,"4003"
448,"4039"
449,"4016"
450,"3941"
451,"3968"
452,"3907"
453,"3934"
454,"4043"
455,"4023"
456,"3913"
457,"3925"
458,"3913"
459,"3985"
460,"3994"
461,"4063"
462,"4119"
463,"4179"
464,"4013"
465,"4020"
466,"4026"
467,"3800"
468,"3764"
469,"3815"
470,"3835"
471,"3856"
472,"3720"
473,"3880"
474,"3954"
475,"3841"
476,"4026"
477,"4055"
478,"4252"
479,"4210"
480,"3951"
481,"4149"
482,"4075"
483,"3907"
484,"3948"
485,"4025"
486,"3914"
487,"3887"
488,"3785"
489,"3841"
490,"3887"
491,"3791"
492,"3810"
493,"3824"
494,"3822"
495,"3711"
496,"3731"
497,"3787"
498,"3609"
499,"3679"
500,"3580"
501,"3573"
502,"3576"
503,"3580"
504,"3584"
505,"3502"
506,"3644"
507,"3494"
508,"3602"
509,"3682"
510,"3520"
511,"3564"
512,"3623"
513,"3579"
514,"3580"
515,"3645"
516,"3588"
517,"3581"
518,"3439"
519,"3676"
520,"3630"
521,"3664"
522,"3607"
523,"3645"
524,"3554"
525,"3600"
526,"3567"
527,"3536"
528,"3608"
529,"3510"
530,"3511"
531,"3623"
532,"3623"
533,"3623"
534,"3578"
535,"3534"
536,"3526"
537,"3506"
538,"3587"
539,"3613"
540,"3482"
541,"3529"
542,"3522"
543,"3592"
544,"3492"
545,"3402"
546,"3443"
547,"3516"
548,"3475"
549,"3426"
550,"3410"
551,"3362"
552,"3476"
553,"3343"
554,"3489"
555,"3371"
556,"3544"
557,"3317"
558,"3440"
559,"3486"
560,"3513"
561,"3584"
562,"3385"
563,"3574"
564,"3580"
565,"3618"
566,"3798"
567,"3808"
568,"3831"
569,"3780"
570,"3786"
571,"3835"
572,"3934"
573,"3746"
574,"3637"
575,"3631"
576,"3443"
577,"3374"
578,"3352"
579,"3356"
580,"3343"
581,"3307"
582,"3387"
583,"3436"
584,"3401"
585,"3600"
586,"3740"
587,"3810"
588,"4013"
589,"3985"
590,"4266"
591,"4514"
592,"4659"
593,"4604"
594,"4850"
595,"4777"
596,"4648"
597,"4603"
598,"4622"
599,"4220"
600,"4002"
601,"3856"
602,"3605"
603,"3545"
604,"3465"
605,"3398"
606,"3374"
607,"3283"
608,"3221"
609,"3277"
610,"3199"
611,"3113"
612,"3130"
613,"3098"
614,"2991"
615,"3012"
616,"2945"
617,"3023"
618,"3066"
619,"3057"
620,"3060"
621,"3127"
622,"3089"
623,"3138"
624,"2999"
625,"3025"
626,"2998"
627,"3095"
628,"3029"
629,"3018"
630,"3102"
631,"2963"
632,"3044"
633,"2932"
634,"2997"
635,"2947"
636,"3009"
637,"2887"
638,"2962"
639,"2932"
640,"2931"
641,"2928"
642,"2881"
643,"2870"
644,"2865"
645,"2886"
646,"2923"
647,"2864"
648,"2798"
649,"2792"
650,"2890"
651,"2833"
652,"2843"
653,"2860"
654,"2888"
655,"2869"
656,"2767"
657,"2845"
658,"2875"
659,"2906"
660,"2966"
661,"2967"
662,"3063"
663,"2973"
664,"3071"
665,"3001"
666,"2969"
667,"2910"
668,"2896"
669,"2832"
670,"2889"
671,"2821"
672,"2761"
673,"2795"
674,"2781"
675,"2807"
676,"2674"
677,"2766"
678,"2707"
679,"2687"
680,"2654"
681,"2807"
682,"2918"
683,"2985"
684,"3346"
685,"3691"
686,"4219"
687,"4844"
688,"5479"
689,"6352"
690,"7183"
691,"7795"
692,"8349"
693,"8243"
694,"8311"
695,"8038"
696,"7450"
697,"6972"
698,"6383"
699,"6057"
700,"5972"
701,"5877"
702,"6273"
703,"6706"
704,"7041"
705,"7460"
706,"7662"
707,"7694"
708,"7718"
709,"7355"
710,"6768"
711,"6052"
712,"5315"
713,"4708"
714,"4130"
715,"3646"
716,"3308"
717,"3063"
718,"2903"
719,"2755"
720,"2737"
721,"2840"
722,"2943"
723,"3147"
724,"3278"
725,"3475"
726,"3688"
727,"3882"
728,"4032"
729,"4099"
730,"3959"
731,"3717"
732,"3749"
733,"3400"
734,"3198"
735,"2917"
736,"2800"
737,"2657"
738,"2545"
739,"2420"
740,"2377"
741,"2405"
742,"2318"
743,"2313"
744,"2342"
745,"2340"
746,"2388"
747,"2323"
748,"2302"
749,"2270"
750,"2339"
751,"2323"
752,"2280"
753,"2241"
754,"2255"
755,"2228"
756,"2213"
757,"2204"
758,"2239"
759,"2200"
760,"2272"
761,"2212"
762,"2248"
763,"2196"
764,"2212"
765,"2316"
766,"2260"
767,"2147"
768,"2157"
769,"2126"
770,"2070"
771,"2178"
772,"2090"
773,"2129"
774,"2181"
775,"2213"
776,"2198"
777,"2315"
778,"2463"
779,"2542"
780,"2885"
781,"3070"
782,"3305"
783,"3556"
784,"3915"
785,"4113"
786,"4320"
787,"4550"
788,"4496"
789,"4588"
790,"4343"
791,"4224"
792,"3955"
793,"3614"
794,"3404"
795,"3040"
796,"2765"
797,"2561"
798,"2322"
799,"2272"
800,"2187"
801,"2110"
802,"2117"
803,"2049"
804,"1981"
805,"1943"
806,"1976"
807,"1884"
808,"1894"
809,"1905"
810,"1917"
811,"1860"
812,"1744"
813,"1884"
814,"1829"
815,"1832"
816,"1841"
817,"1794"
818,"1795"
819,"1815"
820,"1832"
821,"1891"
822,"1750"
823,"1723"
824,"1765"
825,"1730"
826,"1734"
827,"1829"
828,"1752"
829,"1690"
830,"1844"
831,"1738"
832,"1715"
833,"1768"
834,"1819"
835,"1722"
836,"1782"
837,"1672"
838,"1729"
839,"1687"
840,"1653"
841,"1711"
842,"1807"
843,"1708"
844,"1661"
845,"1670"
846,"1708"
847,"1696"
848,"1685"
849,"1712"
850,"1673"
851,"1705"
852,"1699"
853,"1620"
854,"1659"
855,"1688"
856,"1648"
857,"1648"
858,"1697"
859,"1680"
860,"1600"
861,"1642"
862,"1661"
863,"1643"
