Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM460"
Duration Time,300.458
Ambient Temperature,"110.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"25959309"
Raw Accumulated Counts,"34315378"
Valid Count Last Packet,"78676"
Raw Count Last Packet,"104619"
Live Time,226.141068
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0109
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"7487"
1,"5898"
2,"4004"
3,"2677"
4,"1244"
5,"312"
6,"52"
7,"21"
8,"13"
9,"8"
10,"5"
11,"7"
12,"0"
13,"2"
14,"1"
15,"1"
16,"6"
17,"4"
18,"3"
19,"3"
20,"1"
21,"3"
22,"1"
23,"4"
24,"2"
25,"2"
26,"2"
27,"2"
28,"1"
29,"3"
30,"6"
31,"71"
32,"469"
33,"1462"
34,"2354"
35,"2825"
36,"2970"
37,"3024"
38,"2902"
39,"2956"
40,"2841"
41,"2919"
42,"2977"
43,"2885"
44,"2925"
45,"2985"
46,"2955"
47,"3068"
48,"2920"
49,"2937"
50,"2969"
51,"2805"
52,"2905"
53,"2832"
54,"2789"
55,"2821"
56,"2871"
57,"2875"
58,"2785"
59,"2881"
60,"2891"
61,"2867"
62,"2774"
63,"2577"
64,"2674"
65,"2579"
66,"2639"
67,"2536"
68,"2621"
69,"2652"
70,"2632"
71,"2675"
72,"2721"
73,"2876"
74,"2960"
75,"2684"
76,"2627"
77,"2620"
78,"2670"
79,"2532"
80,"2493"
81,"2614"
82,"2612"
83,"2726"
84,"2648"
85,"2799"
86,"2820"
87,"2910"
88,"2735"
89,"2801"
90,"2728"
91,"2732"
92,"2835"
93,"2946"
94,"3239"
95,"4007"
96,"5235"
97,"7234"
98,"10217"
99,"13154"
100,"14597"
101,"14371"
102,"12351"
103,"9521"
104,"7007"
105,"5172"
106,"4218"
107,"3802"
108,"3300"
109,"3165"
110,"3005"
111,"2968"
112,"2973"
113,"3248"
114,"3239"
115,"3450"
116,"3404"
117,"3427"
118,"3320"
119,"3292"
120,"3193"
121,"3273"
122,"3155"
123,"3265"
124,"3439"
125,"3545"
126,"3707"
127,"4086"
128,"4785"
129,"6042"
130,"7702"
131,"10528"
132,"13574"
133,"16604"
134,"18600"
135,"18963"
136,"17822"
137,"15893"
138,"14259"
139,"14231"
140,"14629"
141,"15836"
142,"16273"
143,"16270"
144,"16451"
145,"16482"
146,"17356"
147,"17518"
148,"17411"
149,"15487"
150,"13172"
151,"10414"
152,"7953"
153,"6352"
154,"5251"
155,"4869"
156,"4926"
157,"4811"
158,"5011"
159,"5049"
160,"4618"
161,"4473"
162,"4319"
163,"4299"
164,"4128"
165,"4105"
166,"4147"
167,"4207"
168,"4034"
169,"3941"
170,"3885"
171,"3747"
172,"3643"
173,"3624"
174,"3808"
175,"3727"
176,"3665"
177,"3703"
178,"3928"
179,"3933"
180,"4202"
181,"4519"
182,"4926"
183,"5077"
184,"5372"
185,"5339"
186,"5293"
187,"5121"
188,"4644"
189,"4484"
190,"4576"
191,"4357"
192,"4476"
193,"4316"
194,"4610"
195,"4574"
196,"4711"
197,"4700"
198,"5031"
199,"5253"
200,"5774"
201,"6475"
202,"7061"
203,"8475"
204,"10376"
205,"12273"
206,"13810"
207,"14773"
208,"14329"
209,"13370"
210,"11615"
211,"9725"
212,"7994"
213,"6927"
214,"6390"
215,"5975"
216,"5889"
217,"5965"
218,"6174"
219,"6470"
220,"6896"
221,"7338"
222,"7632"
223,"7727"
224,"8078"
225,"7945"
226,"7766"
227,"7670"
228,"7494"
229,"7224"
230,"7080"
231,"7252"
232,"7393"
233,"7456"
234,"7704"
235,"8256"
236,"8318"
237,"8566"
238,"8750"
239,"8885"
240,"8724"
241,"8646"
242,"8653"
243,"8470"
244,"8499"
245,"8516"
246,"8549"
247,"8577"
248,"8398"
249,"8615"
250,"8605"
251,"8819"
252,"8914"
253,"8870"
254,"9069"
255,"9259"
256,"9339"
257,"9604"
258,"9648"
259,"9556"
260,"9566"
261,"9702"
262,"9879"
263,"10225"
264,"10152"
265,"10662"
266,"11273"
267,"11762"
268,"12501"
269,"13089"
270,"13400"
271,"14054"
272,"14242"
273,"14279"
274,"14537"
275,"14761"
276,"15117"
277,"15676"
278,"16438"
279,"17263"
280,"18441"
281,"20114"
282,"22165"
283,"25563"
284,"32698"
285,"47142"
286,"79373"
287,"143051"
288,"261112"
289,"460043"
290,"751969"
291,"1126991"
292,"1540849"
293,"1912565"
294,"2150865"
295,"2190567"
296,"2018126"
297,"1687779"
298,"1274776"
299,"875106"
300,"546729"
301,"313806"
302,"167927"
303,"86782"
304,"45420"
305,"26537"
306,"18745"
307,"15444"
308,"14326"
309,"14204"
310,"14389"
311,"15275"
312,"16345"
313,"18503"
314,"22082"
315,"28134"
316,"38150"
317,"54784"
318,"81150"
319,"119117"
320,"168494"
321,"226764"
322,"283285"
323,"327213"
324,"348721"
325,"340477"
326,"304911"
327,"250117"
328,"187238"
329,"129583"
330,"83058"
331,"50009"
332,"28909"
333,"16745"
334,"10702"
335,"7572"
336,"6087"
337,"5562"
338,"5345"
339,"5342"
340,"5316"
341,"5419"
342,"5476"
343,"5474"
344,"5682"
345,"5761"
346,"5682"
347,"5926"
348,"5869"
349,"5861"
350,"6153"
351,"6157"
352,"6158"
353,"6089"
354,"6338"
355,"6201"
356,"6342"
357,"6486"
358,"6763"
359,"7082"
360,"7541"
361,"7974"
362,"8376"
363,"9013"
364,"9442"
365,"9751"
366,"10112"
367,"10656"
368,"11074"
369,"11744"
370,"12360"
371,"13299"
372,"13892"
373,"14157"
374,"13697"
375,"12752"
376,"11183"
377,"9892"
378,"8131"
379,"7036"
380,"5779"
381,"5125"
382,"4780"
383,"4723"
384,"4421"
385,"4484"
386,"4333"
387,"4360"
388,"4377"
389,"4353"
390,"4507"
391,"4465"
392,"4497"
393,"4713"
394,"4867"
395,"4974"
396,"4974"
397,"5248"
398,"5213"
399,"5603"
400,"5690"
401,"5833"
402,"5895"
403,"5786"
404,"5683"
405,"5685"
406,"5380"
407,"5431"
408,"5414"
409,"5256"
410,"5326"
411,"5520"
412,"5496"
413,"5547"
414,"5369"
415,"5268"
416,"5108"
417,"4739"
418,"4708"
419,"4416"
420,"4308"
421,"4211"
422,"4261"
423,"4262"
424,"4336"
425,"4268"
426,"4482"
427,"4467"
428,"4593"
429,"4496"
430,"4734"
431,"4609"
432,"4718"
433,"4506"
434,"4629"
435,"4704"
436,"4492"
437,"4468"
438,"4423"
439,"4493"
440,"4499"
441,"4583"
442,"4504"
443,"4593"
444,"4372"
445,"4434"
446,"4504"
447,"4387"
448,"4443"
449,"4245"
450,"4291"
451,"4323"
452,"4187"
453,"4276"
454,"4187"
455,"4273"
456,"4173"
457,"4270"
458,"4081"
459,"4258"
460,"4303"
461,"4275"
462,"4313"
463,"4261"
464,"4182"
465,"4257"
466,"4189"
467,"4235"
468,"4238"
469,"4359"
470,"4287"
471,"4248"
472,"4322"
473,"4195"
474,"4380"
475,"4261"
476,"4355"
477,"4400"
478,"4319"
479,"4273"
480,"4282"
481,"4294"
482,"4190"
483,"4378"
484,"4226"
485,"4180"
486,"4321"
487,"4277"
488,"4298"
489,"4282"
490,"4233"
491,"4142"
492,"4255"
493,"4230"
494,"4231"
495,"4206"
496,"4243"
497,"4277"
498,"4289"
499,"4242"
500,"4424"
501,"4241"
502,"4295"
503,"4257"
504,"4332"
505,"4351"
506,"4254"
507,"4243"
508,"4254"
509,"4235"
510,"4050"
511,"4156"
512,"4316"
513,"4174"
514,"4133"
515,"4098"
516,"4222"
517,"4168"
518,"4193"
519,"4253"
520,"4185"
521,"4059"
522,"4237"
523,"4306"
524,"4130"
525,"4214"
526,"4140"
527,"4305"
528,"4220"
529,"4218"
530,"4071"
531,"4165"
532,"4133"
533,"4124"
534,"4075"
535,"4112"
536,"4148"
537,"4088"
538,"4156"
539,"4176"
540,"4135"
541,"4253"
542,"4128"
543,"4000"
544,"4061"
545,"4174"
546,"4212"
547,"4126"
548,"4086"
549,"4141"
550,"4046"
551,"4040"
552,"4023"
553,"4064"
554,"4039"
555,"4090"
556,"4144"
557,"4110"
558,"3959"
559,"4039"
560,"4110"
561,"4175"
562,"4130"
563,"3977"
564,"4036"
565,"4190"
566,"4209"
567,"3968"
568,"3983"
569,"4055"
570,"4034"
571,"4107"
572,"4068"
573,"4081"
574,"4139"
575,"4112"
576,"4172"
577,"4220"
578,"4197"
579,"4623"
580,"4603"
581,"5159"
582,"5646"
583,"6661"
584,"7900"
585,"9669"
586,"11284"
587,"13319"
588,"14755"
589,"16071"
590,"16743"
591,"16374"
592,"15373"
593,"13946"
594,"12173"
595,"10304"
596,"8565"
597,"7135"
598,"5905"
599,"5150"
600,"4600"
601,"4187"
602,"3902"
603,"4083"
604,"3816"
605,"3915"
606,"3882"
607,"3993"
608,"3915"
609,"4056"
610,"4121"
611,"4358"
612,"4643"
613,"4912"
614,"5246"
615,"5789"
616,"6333"
617,"6817"
618,"7367"
619,"7656"
620,"7577"
621,"7523"
622,"7279"
623,"6539"
624,"5925"
625,"5395"
626,"5054"
627,"4533"
628,"4204"
629,"3946"
630,"3850"
631,"3773"
632,"3563"
633,"3574"
634,"3650"
635,"3534"
636,"3489"
637,"3443"
638,"3539"
639,"3456"
640,"3552"
641,"3500"
642,"3478"
643,"3585"
644,"3792"
645,"3645"
646,"3717"
647,"3672"
648,"3796"
649,"3824"
650,"3701"
651,"3695"
652,"3641"
653,"3690"
654,"3585"
655,"3527"
656,"3421"
657,"3435"
658,"3359"
659,"3449"
660,"3293"
661,"3514"
662,"3496"
663,"3361"
664,"3403"
665,"3333"
666,"3448"
667,"3474"
668,"3310"
669,"3389"
670,"3409"
671,"3458"
672,"3307"
673,"3335"
674,"3297"
675,"3219"
676,"3217"
677,"3260"
678,"3181"
679,"3196"
680,"3089"
681,"3201"
682,"3206"
683,"3218"
684,"3202"
685,"3195"
686,"3160"
687,"3254"
688,"3152"
689,"3155"
690,"3153"
691,"3192"
692,"3157"
693,"3206"
694,"3165"
695,"3198"
696,"3153"
697,"3269"
698,"3153"
699,"3292"
700,"3396"
701,"3442"
702,"3526"
703,"3718"
704,"3684"
705,"3687"
706,"3832"
707,"3762"
708,"3829"
709,"3773"
710,"3720"
711,"3574"
712,"3499"
713,"3297"
714,"3348"
715,"3220"
716,"3065"
717,"3116"
718,"3056"
719,"2988"
720,"3014"
721,"2967"
722,"2972"
723,"2914"
724,"2970"
725,"2979"
726,"2961"
727,"2971"
728,"3002"
729,"2910"
730,"2957"
731,"2975"
732,"2882"
733,"2987"
734,"2822"
735,"2873"
736,"2922"
737,"2865"
738,"2946"
739,"2816"
740,"2836"
741,"2918"
742,"2881"
743,"2788"
744,"2885"
745,"2930"
746,"2845"
747,"2910"
748,"2784"
749,"2806"
750,"2789"
751,"2760"
752,"2754"
753,"2713"
754,"2816"
755,"2771"
756,"2664"
757,"2769"
758,"2734"
759,"2756"
760,"2648"
761,"2676"
762,"2766"
763,"2689"
764,"2700"
765,"2682"
766,"2686"
767,"2765"
768,"2659"
769,"2668"
770,"2695"
771,"2685"
772,"2751"
773,"2635"
774,"2557"
775,"2576"
776,"2646"
777,"2571"
778,"2658"
779,"2578"
780,"2588"
781,"2598"
782,"2561"
783,"2587"
784,"2562"
785,"2617"
786,"2710"
787,"2649"
788,"2641"
789,"2657"
790,"2623"
791,"2664"
792,"2594"
793,"2666"
794,"2629"
795,"2667"
796,"2560"
797,"2560"
798,"2577"
799,"2508"
800,"2515"
801,"2473"
802,"2530"
803,"2415"
804,"2537"
805,"2462"
806,"2447"
807,"2422"
808,"2489"
809,"2476"
810,"2443"
811,"2458"
812,"2436"
813,"2492"
814,"2290"
815,"2329"
816,"2511"
817,"2314"
818,"2423"
819,"2423"
820,"2319"
821,"2404"
822,"2455"
823,"2317"
824,"2270"
825,"2391"
826,"2344"
827,"2322"
828,"2346"
829,"2261"
830,"2299"
831,"2350"
832,"2326"
833,"2345"
834,"2314"
835,"2350"
836,"2272"
837,"2255"
838,"2221"
839,"2194"
840,"2315"
841,"2219"
842,"2340"
843,"2230"
844,"2241"
845,"2229"
846,"2188"
847,"2202"
848,"2250"
849,"2287"
850,"2209"
851,"2159"
852,"2197"
853,"2347"
854,"2148"
855,"2161"
856,"2142"
