Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM091"
Duration Time,300.157
Ambient Temperature,"109.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"29280762"
Raw Accumulated Counts,"41386890"
Valid Count Last Packet,"85966"
Raw Count Last Packet,"121263"
Live Time,211.478958
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0114
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"6883"
1,"5316"
2,"3845"
3,"2721"
4,"1073"
5,"239"
6,"52"
7,"19"
8,"24"
9,"16"
10,"14"
11,"8"
12,"7"
13,"6"
14,"2"
15,"5"
16,"3"
17,"2"
18,"5"
19,"2"
20,"0"
21,"3"
22,"3"
23,"1"
24,"2"
25,"0"
26,"2"
27,"2"
28,"4"
29,"3"
30,"31"
31,"235"
32,"1091"
33,"2361"
34,"3211"
35,"3626"
36,"3683"
37,"3577"
38,"3384"
39,"3352"
40,"3161"
41,"3095"
42,"3038"
43,"3042"
44,"3029"
45,"2926"
46,"2979"
47,"2910"
48,"2915"
49,"2842"
50,"2700"
51,"2699"
52,"2652"
53,"2704"
54,"2674"
55,"2555"
56,"2557"
57,"2520"
58,"2638"
59,"2612"
60,"2594"
61,"2603"
62,"2562"
63,"2475"
64,"2494"
65,"2468"
66,"2418"
67,"2375"
68,"2384"
69,"2416"
70,"2406"
71,"2423"
72,"2473"
73,"2365"
74,"2341"
75,"2391"
76,"2491"
77,"2254"
78,"2249"
79,"2274"
80,"2235"
81,"2321"
82,"2264"
83,"2300"
84,"2351"
85,"2360"
86,"2559"
87,"2629"
88,"2562"
89,"2604"
90,"2490"
91,"2534"
92,"2600"
93,"2553"
94,"2496"
95,"2390"
96,"2450"
97,"2539"
98,"2492"
99,"2592"
100,"2622"
101,"2659"
102,"2617"
103,"2632"
104,"2813"
105,"2794"
106,"3027"
107,"3115"
108,"3280"
109,"3668"
110,"4279"
111,"5417"
112,"7393"
113,"11039"
114,"15312"
115,"20540"
116,"25243"
117,"28344"
118,"29241"
119,"29188"
120,"27830"
121,"26963"
122,"24531"
123,"21417"
124,"17261"
125,"13011"
126,"9467"
127,"7346"
128,"6630"
129,"7322"
130,"8963"
131,"11506"
132,"14425"
133,"17264"
134,"18584"
135,"18547"
136,"16676"
137,"14727"
138,"13438"
139,"12976"
140,"13440"
141,"14017"
142,"14419"
143,"14546"
144,"14660"
145,"14774"
146,"15462"
147,"15716"
148,"15419"
149,"13756"
150,"11614"
151,"9179"
152,"7321"
153,"6149"
154,"5401"
155,"5074"
156,"4930"
157,"4999"
158,"5029"
159,"4746"
160,"4429"
161,"4178"
162,"3950"
163,"3499"
164,"3579"
165,"3457"
166,"3400"
167,"3522"
168,"3336"
169,"3301"
170,"3168"
171,"3119"
172,"3135"
173,"3132"
174,"3244"
175,"3660"
176,"4115"
177,"4781"
178,"5360"
179,"6024"
180,"6436"
181,"6583"
182,"6686"
183,"6429"
184,"6105"
185,"5559"
186,"5143"
187,"4807"
188,"4634"
189,"4688"
190,"4927"
191,"5120"
192,"5194"
193,"5277"
194,"4927"
195,"4937"
196,"4694"
197,"4506"
198,"4300"
199,"4186"
200,"4192"
201,"4086"
202,"4198"
203,"4213"
204,"4154"
205,"4353"
206,"4183"
207,"4308"
208,"4226"
209,"3970"
210,"4056"
211,"4172"
212,"4038"
213,"4044"
214,"4157"
215,"4156"
216,"4123"
217,"4359"
218,"4602"
219,"4687"
220,"5129"
221,"5772"
222,"6555"
223,"7640"
224,"8028"
225,"8638"
226,"8469"
227,"7784"
228,"7212"
229,"6423"
230,"5897"
231,"5430"
232,"5012"
233,"4754"
234,"4757"
235,"4738"
236,"4660"
237,"5003"
238,"4893"
239,"5221"
240,"5314"
241,"5714"
242,"5784"
243,"5678"
244,"5801"
245,"5856"
246,"5992"
247,"6224"
248,"5857"
249,"5896"
250,"6045"
251,"5849"
252,"5771"
253,"5886"
254,"5893"
255,"6015"
256,"6081"
257,"6261"
258,"6328"
259,"6791"
260,"7564"
261,"9110"
262,"12208"
263,"17986"
264,"29075"
265,"46700"
266,"72407"
267,"104806"
268,"138863"
269,"166839"
270,"181055"
271,"177901"
272,"157917"
273,"127139"
274,"94346"
275,"63177"
276,"39664"
277,"24322"
278,"15098"
279,"10490"
280,"8264"
281,"7336"
282,"6892"
283,"6676"
284,"6769"
285,"6771"
286,"6737"
287,"7129"
288,"7687"
289,"8427"
290,"9733"
291,"12033"
292,"15554"
293,"20173"
294,"25260"
295,"30269"
296,"33323"
297,"34831"
298,"33323"
299,"29768"
300,"25055"
301,"19680"
302,"15328"
303,"11599"
304,"9367"
305,"7785"
306,"7048"
307,"6713"
308,"6506"
309,"6549"
310,"6657"
311,"6899"
312,"6951"
313,"7241"
314,"7548"
315,"8017"
316,"8463"
317,"8774"
318,"9515"
319,"9672"
320,"9895"
321,"9406"
322,"9022"
323,"8401"
324,"7884"
325,"7384"
326,"7040"
327,"6674"
328,"6647"
329,"6579"
330,"6575"
331,"6452"
332,"6528"
333,"6309"
334,"6495"
335,"6753"
336,"6672"
337,"6634"
338,"6946"
339,"6914"
340,"6868"
341,"6922"
342,"7142"
343,"7398"
344,"7191"
345,"7507"
346,"7367"
347,"7406"
