Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LP002"
Duration Time,300.255
Ambient Temperature,"95.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"38111629"
Raw Accumulated Counts,"66933760"
Valid Count Last Packet,"110971"
Raw Count Last Packet,"197271"
Live Time,169.059921
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0568
Number of Channels,2048
Vacuum,678
Channel#,Intensity
0,"5195"
1,"4303"
2,"3289"
3,"2149"
4,"865"
5,"175"
6,"49"
7,"26"
8,"21"
9,"13"
10,"4"
11,"6"
12,"7"
13,"4"
14,"5"
15,"2"
16,"6"
17,"3"
18,"5"
19,"2"
20,"5"
21,"1"
22,"4"
23,"0"
24,"4"
25,"1"
26,"4"
27,"3"
28,"2"
29,"13"
30,"58"
31,"356"
32,"1272"
33,"2738"
34,"3685"
35,"4071"
36,"4327"
37,"4273"
38,"4312"
39,"4169"
40,"4136"
41,"4011"
42,"3909"
43,"3954"
44,"3964"
45,"3935"
46,"4035"
47,"3801"
48,"3767"
49,"3787"
50,"3752"
51,"3766"
52,"3695"
53,"3629"
54,"3719"
55,"3502"
56,"3599"
57,"3542"
58,"3492"
59,"3510"
60,"3429"
61,"3376"
62,"3345"
63,"3360"
64,"3321"
65,"3281"
66,"3231"
67,"3322"
68,"3148"
69,"3133"
70,"3076"
71,"3341"
72,"3312"
73,"3421"
74,"3403"
75,"3386"
76,"3313"
77,"3361"
78,"3134"
79,"3189"
80,"3184"
81,"3161"
82,"3194"
83,"3173"
84,"3481"
85,"3525"
86,"3613"
87,"3478"
88,"3409"
89,"3297"
90,"3139"
91,"3169"
92,"3182"
93,"3109"
94,"3175"
95,"3188"
96,"3303"
97,"3397"
98,"3323"
99,"3352"
100,"3381"
101,"3403"
102,"3303"
103,"3416"
104,"3391"
105,"3322"
106,"3359"
107,"3306"
108,"3349"
109,"3559"
110,"3707"
111,"4106"
112,"4598"
113,"5059"
114,"5371"
115,"5602"
116,"5387"
117,"5059"
118,"4684"
119,"4441"
120,"4402"
121,"4244"
122,"4302"
123,"4282"
124,"4467"
125,"4365"
126,"4691"
127,"5224"
128,"5805"
129,"6961"
130,"8639"
131,"10693"
132,"13355"
133,"15442"
134,"16300"
135,"16184"
136,"15050"
137,"13883"
138,"13250"
139,"13721"
140,"14239"
141,"15318"
142,"15292"
143,"15243"
144,"15265"
145,"15246"
146,"15591"
147,"15422"
148,"14819"
149,"13248"
150,"11416"
151,"9185"
152,"7883"
153,"6446"
154,"5876"
155,"5546"
156,"5597"
157,"5649"
158,"5639"
159,"5641"
160,"5588"
161,"5542"
162,"5870"
163,"5964"
164,"6132"
165,"6374"
166,"6285"
167,"5800"
168,"5684"
169,"5360"
170,"5010"
171,"4748"
172,"4591"
173,"4666"
174,"4758"
175,"4712"
176,"5010"
177,"5720"
178,"6459"
179,"7889"
180,"10111"
181,"12878"
182,"15818"
183,"18131"
184,"18765"
185,"17979"
186,"15465"
187,"12581"
188,"9961"
189,"7754"
190,"6397"
191,"5672"
192,"5610"
193,"5351"
194,"5569"
195,"5919"
196,"6347"
197,"6723"
198,"7273"
199,"7685"
200,"7879"
201,"7638"
202,"7519"
203,"6940"
204,"6538"
205,"6136"
206,"6135"
207,"6129"
208,"6048"
209,"6061"
210,"6059"
211,"6027"
212,"6166"
213,"6252"
214,"6332"
215,"6352"
216,"6594"
217,"6662"
218,"7014"
219,"7095"
220,"7814"
221,"8451"
222,"9123"
223,"9847"
224,"10702"
225,"11322"
226,"12084"
227,"12943"
228,"14410"
229,"16357"
230,"18132"
231,"19640"
232,"20134"
233,"19157"
234,"17417"
235,"15328"
236,"13085"
237,"11011"
238,"9741"
239,"8965"
240,"8868"
241,"8656"
242,"8711"
243,"8879"
244,"9013"
245,"9211"
246,"9184"
247,"9316"
248,"9198"
249,"9207"
250,"9009"
251,"9276"
252,"9113"
253,"9224"
254,"9210"
255,"9520"
256,"9462"
257,"9730"
258,"9969"
259,"10087"
260,"10538"
261,"10627"
262,"11258"
263,"11598"
264,"11701"
265,"12099"
266,"12030"
267,"12168"
268,"12072"
269,"11984"
270,"11707"
271,"11833"
272,"11838"
273,"11833"
274,"11868"
275,"11703"
276,"11862"
277,"11989"
278,"12070"
279,"11873"
