Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK46360"
Duration Time,300.679
Ambient Temperature,"95.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"37726889"
Raw Accumulated Counts,"68727037"
Valid Count Last Packet,"100472"
Raw Count Last Packet,"181218"
Live Time,164.112961
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.08
Number of Channels,2048
Vacuum,996
Channel#,Intensity
498,"6086"
499,"6130"
500,"6130"
501,"6133"
502,"6320"
503,"6267"
504,"6258"
505,"6377"
506,"6290"
507,"6350"
508,"6296"
509,"6416"
510,"6408"
511,"6433"
512,"6199"
513,"6497"
514,"6443"
515,"6648"
516,"6940"
517,"7389"
518,"7775"
519,"8474"
520,"9215"
521,"9895"
522,"10856"
523,"11365"
524,"11672"
525,"11432"
526,"11130"
527,"10437"
528,"9889"
529,"8917"
530,"8272"
531,"7796"
532,"7146"
533,"6861"
534,"6874"
535,"6744"
536,"6804"
537,"7236"
538,"7446"
539,"7634"
540,"7780"
541,"7911"
542,"7929"
543,"7761"
544,"7592"
545,"7406"
546,"7095"
547,"6904"
548,"6524"
549,"6427"
550,"6131"
551,"6042"
552,"6017"
553,"5887"
554,"5924"
555,"6019"
556,"5839"
557,"6013"
558,"5785"
559,"6011"
560,"5975"
561,"5877"
562,"6056"
563,"5925"
564,"5877"
565,"5725"
566,"5720"
567,"5742"
568,"5640"
569,"5731"
570,"5535"
571,"5570"
572,"5598"
573,"5580"
574,"5676"
575,"5641"
576,"5538"
577,"5599"
578,"5756"
579,"5629"
580,"5434"
581,"5715"
582,"5489"
583,"5679"
584,"5535"
585,"5605"
586,"5692"
587,"5671"
588,"5613"
589,"5471"
590,"5654"
591,"5497"
592,"5647"
593,"5547"
594,"5580"
595,"5590"
596,"5721"
597,"5598"
598,"5534"
599,"5559"
600,"5672"
601,"5589"
602,"5567"
603,"5739"
604,"5686"
605,"5532"
606,"5560"
607,"5668"
608,"5677"
609,"5568"
610,"5600"
611,"5550"
612,"5486"
613,"5566"
614,"5615"
615,"5657"
616,"5717"
617,"5609"
618,"5564"
619,"5686"
620,"5791"
621,"5691"
622,"5767"
623,"5736"
624,"5892"
625,"5869"
626,"5883"
627,"5872"
628,"6020"
629,"5826"
630,"6028"
631,"5861"
632,"5942"
633,"5830"
634,"5786"
635,"5907"
636,"5843"
637,"5881"
638,"5854"
639,"5783"
640,"5885"
641,"5864"
642,"5953"
643,"6062"
644,"6092"
645,"6218"
646,"6141"
647,"6158"
648,"6144"
649,"6061"
650,"6079"
651,"6052"
652,"6087"
653,"6060"
654,"5974"
655,"5893"
656,"5882"
657,"5684"
658,"5820"
659,"5859"
660,"5770"
661,"5927"
662,"5949"
663,"5852"
664,"5909"
665,"5831"
666,"5962"
667,"5922"
668,"5902"
669,"5838"
670,"6088"
671,"6006"
672,"5951"
673,"5973"
674,"6277"
675,"6257"
676,"6555"
677,"6623"
678,"6462"
679,"6602"
680,"6605"
681,"6517"
682,"6431"
683,"6380"
684,"6307"
685,"6315"
686,"6196"
687,"6232"
688,"6245"
689,"6249"
690,"6481"
691,"6572"
692,"6805"
693,"6787"
694,"7048"
695,"7182"
696,"7368"
697,"7671"
698,"7734"
699,"7604"
700,"7596"
701,"7577"
702,"7463"
703,"7151"
704,"7354"
705,"6984"
706,"6912"
707,"6787"
708,"6694"
709,"6676"
710,"6728"
711,"6825"
712,"6794"
713,"6935"
714,"6845"
715,"6925"
716,"6986"
717,"7068"
718,"7340"
719,"7214"
720,"7423"
721,"7515"
722,"7601"
723,"7688"
724,"7846"
725,"7959"
726,"7875"
727,"8126"
728,"8317"
729,"8657"
730,"8928"
731,"9034"
732,"9307"
733,"9724"
734,"10223"
735,"10798"
736,"11381"
737,"12196"
738,"13053"
739,"14008"
740,"15407"
741,"16371"
742,"17257"
743,"18208"
744,"18983"
745,"19139"
746,"19329"
747,"19282"
748,"18896"
749,"18393"
750,"18122"
751,"17656"
752,"16861"
753,"16598"
754,"16590"
755,"16345"
756,"16677"
757,"16687"
758,"16964"
759,"17444"
760,"17992"
761,"18066"
762,"18857"
763,"19342"
764,"20075"
765,"21148"
766,"22706"
767,"24758"
768,"28674"
769,"34946"
770,"45549"
771,"62818"
772,"89696"
773,"131236"
774,"193282"
775,"278622"
776,"395088"
777,"544924"
778,"728440"
779,"938316"
780,"1168955"
781,"1402757"
782,"1629284"
783,"1822639"
784,"1966350"
785,"2044184"
786,"2045182"
787,"1968676"
788,"1824489"
789,"1625858"
790,"1392731"
791,"1144044"
792,"905452"
793,"688217"
794,"503604"
795,"354553"
796,"243240"
797,"163029"
798,"107148"
799,"71117"
800,"47148"
801,"32782"
802,"24394"
803,"19015"
804,"15604"
805,"13279"
806,"12431"
807,"11341"
808,"10597"
809,"10246"
810,"9486"
811,"9351"
812,"9014"
813,"8809"
814,"8338"
815,"8200"
816,"7929"
817,"7924"
818,"7743"
819,"7670"
820,"7396"
821,"7403"
822,"7351"
823,"7231"
824,"7275"
825,"7253"
826,"7076"
827,"7096"
828,"7053"
829,"7092"
830,"7251"
831,"7312"
832,"7419"
833,"7217"
834,"7374"
835,"7485"
836,"7333"
837,"7054"
838,"7150"
839,"6969"
840,"6879"
841,"6810"
842,"6860"
843,"6552"
844,"6785"
845,"6711"
846,"6651"
847,"6665"
848,"6904"
849,"6826"
850,"6850"
851,"7012"
852,"7168"
853,"7085"
854,"7322"
855,"7342"
856,"7448"
857,"7502"
858,"7656"
859,"7769"
860,"7830"
861,"8021"
862,"8110"
863,"8681"
864,"9220"
865,"9797"
866,"11291"
867,"13619"
868,"17054"
869,"22816"
870,"31631"
871,"44041"
872,"60790"
873,"82693"
874,"111588"
875,"143834"
876,"179535"
877,"216083"
878,"250632"
879,"278772"
880,"297093"
881,"304224"
882,"298782"
883,"282620"
884,"256645"
885,"224086"
886,"190499"
887,"155669"
888,"125441"
889,"99844"
890,"81610"
891,"68357"
892,"60211"
893,"55255"
894,"53596"
895,"52481"
896,"51138"
897,"49004"
898,"46083"
899,"41376"
900,"36109"
901,"30618"
902,"24917"
903,"19872"
904,"15208"
905,"11266"
906,"8323"
907,"6040"
908,"4554"
909,"3436"
910,"2677"
911,"2200"
912,"1962"
913,"1783"
914,"1736"
915,"1693"
916,"1675"
917,"1710"
918,"1680"
919,"1810"
920,"1644"
921,"1770"
922,"1718"
923,"1748"
924,"1786"
925,"1828"
926,"1896"
927,"1896"
928,"1925"
929,"1927"
930,"2068"
931,"2101"
932,"2070"
933,"2082"
934,"2123"
935,"2174"
936,"2204"
937,"2318"
938,"2283"
939,"2447"
940,"2387"
941,"2477"
942,"2501"
943,"2523"
944,"2537"
945,"2577"
946,"2562"
947,"2563"
948,"2532"
949,"2520"
950,"2551"
951,"2504"
952,"2559"
953,"2442"
954,"2354"
955,"2332"
956,"2304"
957,"2178"
958,"2106"
959,"2102"
960,"2009"
961,"1906"
962,"1891"
963,"1721"
964,"1737"
965,"1660"
966,"1644"
967,"1480"
968,"1454"
969,"1285"
970,"1321"
971,"1211"
972,"1132"
973,"1156"
974,"1151"
975,"1070"
976,"1036"
977,"1016"
978,"932"
979,"990"
980,"925"
981,"915"
982,"915"
983,"915"
984,"925"
985,"827"
986,"862"
987,"841"
988,"857"
989,"876"
990,"861"
991,"870"
992,"875"
993,"924"
994,"1014"
995,"1073"
996,"1160"
997,"1273"
998,"1351"
999,"1485"
1000,"1650"
1001,"1789"
1002,"1972"
1003,"2103"
1004,"2138"
1005,"2264"
1006,"2283"
1007,"2232"
1008,"2274"
1009,"2233"
1010,"2065"
1011,"1928"
1012,"1833"
1013,"1638"
1014,"1408"
1015,"1293"
1016,"1151"
1017,"1037"
1018,"881"
1019,"914"
1020,"799"
1021,"795"
1022,"703"
1023,"714"
1024,"662"
1025,"670"
1026,"689"
1027,"714"
1028,"664"
1029,"678"
1030,"642"
1031,"711"
1032,"660"
1033,"670"
1034,"679"
1035,"698"
1036,"675"
1037,"730"
1038,"683"
1039,"683"
1040,"792"
1041,"749"
1042,"779"
1043,"877"
1044,"833"
1045,"888"
1046,"949"
1047,"1010"
1048,"1041"
1049,"1080"
1050,"1071"
1051,"1126"
1052,"1176"
1053,"1189"
1054,"1176"
1055,"1207"
1056,"1172"
1057,"1270"
1058,"1172"
1059,"1075"
1060,"1130"
1061,"1054"
1062,"1014"
1063,"956"
1064,"986"
1065,"880"
1066,"875"
1067,"854"
1068,"840"
1069,"786"
1070,"787"
1071,"792"
1072,"727"
1073,"756"
1074,"769"
1075,"695"
1076,"717"
1077,"749"
1078,"743"
1079,"688"
1080,"714"
1081,"704"
1082,"677"
1083,"675"
1084,"668"
1085,"664"
1086,"656"
1087,"620"
1088,"667"
1089,"586"
1090,"621"
1091,"649"
1092,"661"
1093,"630"
1094,"574"
1095,"628"
1096,"599"
1097,"609"
1098,"575"
1099,"652"
1100,"633"
1101,"632"
1102,"685"
1103,"656"
1104,"711"
1105,"702"
1106,"711"
1107,"661"
1108,"679"
1109,"636"
1110,"606"
1111,"633"
1112,"619"
1113,"573"
1114,"574"
1115,"553"
1116,"546"
1117,"552"
1118,"568"
1119,"526"
1120,"569"
1121,"550"
1122,"585"
1123,"577"
1124,"610"
1125,"587"
1126,"657"
1127,"669"
1128,"709"
1129,"796"
1130,"800"
1131,"790"
1132,"823"
1133,"853"
1134,"806"
1135,"817"
1136,"809"
1137,"799"
1138,"737"
1139,"717"
1140,"691"
1141,"657"
1142,"689"
1143,"611"
1144,"598"
1145,"588"
1146,"581"
1147,"606"
1148,"573"
1149,"587"
1150,"629"
1151,"626"
1152,"672"
1153,"659"
1154,"667"
1155,"722"
1156,"708"
1157,"636"
1158,"693"
1159,"701"
1160,"697"
1161,"615"
1162,"695"
1163,"652"
1164,"612"
1165,"644"
1166,"582"
1167,"577"
1168,"568"
1169,"616"
1170,"584"
1171,"669"
1172,"630"
1173,"724"
1174,"755"
1175,"834"
1176,"852"
1177,"850"
1178,"907"
1179,"943"
1180,"958"
1181,"1016"
1182,"966"
1183,"960"
1184,"939"
1185,"895"
1186,"856"
1187,"814"
1188,"786"
1189,"741"
1190,"701"
1191,"687"
1192,"612"
1193,"586"
1194,"603"
1195,"603"
1196,"542"
1197,"533"
1198,"507"
1199,"555"
1200,"496"
1201,"517"
1202,"488"
1203,"518"
1204,"492"
1205,"489"
1206,"461"
1207,"478"
1208,"458"
1209,"496"
1210,"469"
1211,"460"
1212,"445"
1213,"480"
1214,"473"
1215,"452"
1216,"456"
1217,"424"
1218,"425"
1219,"437"
1220,"439"
1221,"447"
1222,"466"
1223,"467"
1224,"477"
1225,"528"
1226,"575"
1227,"539"
1228,"605"
1229,"646"
1230,"698"
1231,"694"
1232,"729"
1233,"739"
1234,"786"
1235,"776"
1236,"752"
1237,"792"
1238,"813"
1239,"817"
1240,"764"
1241,"778"
1242,"757"
1243,"740"
1244,"680"
1245,"694"
1246,"696"
1247,"661"
1248,"639"
1249,"625"
1250,"563"
1251,"587"
1252,"609"
1253,"563"
1254,"571"
1255,"603"
1256,"556"
1257,"518"
1258,"509"
1259,"510"
1260,"521"
1261,"446"
1262,"467"
1263,"466"
1264,"435"
1265,"441"
1266,"398"
1267,"449"
1268,"475"
1269,"446"
1270,"486"
1271,"444"
1272,"430"
1273,"430"
1274,"491"
1275,"444"
1276,"480"
1277,"459"
1278,"488"
1279,"460"
1280,"418"
1281,"429"
1282,"414"
1283,"430"
1284,"401"
1285,"391"
1286,"416"
1287,"393"
1288,"405"
1289,"397"
1290,"413"
1291,"370"
1292,"433"
1293,"408"
1294,"421"
1295,"370"
1296,"387"
1297,"393"
1298,"400"
1299,"385"
1300,"408"
1301,"402"
1302,"400"
1303,"389"
1304,"421"
1305,"430"
1306,"432"
1307,"433"
1308,"438"
1309,"434"
1310,"413"
1311,"492"
1312,"448"
1313,"459"
1314,"459"
1315,"427"
1316,"449"
1317,"416"
1318,"381"
1319,"411"
1320,"405"
1321,"401"
1322,"426"
1323,"423"
1324,"431"
1325,"428"
1326,"440"
1327,"444"
1328,"430"
1329,"431"
1330,"477"
1331,"451"
1332,"445"
1333,"419"
1334,"417"
1335,"464"
1336,"438"
1337,"391"
1338,"388"
1339,"380"
1340,"363"
1341,"405"
1342,"370"
1343,"372"
1344,"397"
