Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM-131"
Duration Time,300.815
Ambient Temperature,"103.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"7502460"
Raw Accumulated Counts,"7998848"
Valid Count Last Packet,"23332"
Raw Count Last Packet,"24876"
Live Time,282.608826
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0187
Number of Channels,2048
Vacuum,680
Channel#,Intensity
0,"9683"
1,"7788"
2,"4758"
3,"2537"
4,"1117"
5,"280"
6,"44"
7,"6"
8,"0"
9,"2"
10,"3"
11,"4"
12,"0"
13,"3"
14,"1"
15,"2"
16,"1"
17,"1"
18,"1"
19,"1"
20,"0"
21,"2"
22,"3"
23,"1"
24,"1"
25,"0"
26,"2"
27,"0"
28,"0"
29,"0"
30,"1"
31,"8"
32,"143"
33,"451"
34,"849"
35,"1077"
36,"1235"
37,"1219"
38,"1159"
39,"1208"
40,"1176"
41,"1168"
42,"1163"
43,"1212"
44,"1277"
45,"1343"
46,"1429"
47,"1334"
48,"1424"
49,"1362"
50,"1296"
51,"1307"
52,"1248"
53,"1307"
54,"1353"
55,"1356"
56,"1409"
57,"1324"
58,"1382"
59,"1412"
60,"1406"
61,"1439"
62,"1427"
63,"1332"
64,"1288"
65,"1261"
66,"1225"
67,"1169"
68,"1218"
69,"1223"
70,"1250"
71,"1346"
72,"1424"
73,"1450"
74,"1473"
75,"1458"
76,"1350"
77,"1322"
78,"1323"
79,"1251"
80,"1247"
81,"1329"
82,"1432"
83,"1573"
84,"1999"
85,"2466"
86,"2805"
87,"2814"
88,"2693"
89,"2414"
90,"2039"
91,"1800"
92,"1814"
93,"1947"
94,"2184"
95,"2524"
96,"2871"
97,"3237"
98,"3163"
99,"3019"
100,"2779"
101,"2466"
102,"2214"
103,"2135"
104,"1988"
105,"1951"
106,"1996"
107,"2118"
108,"2492"
109,"3054"
110,"4583"
111,"7179"
112,"11586"
113,"16410"
114,"21306"
115,"23611"
116,"22803"
117,"19272"
118,"13833"
119,"9369"
120,"6155"
121,"4692"
122,"4112"
123,"3872"
124,"3690"
125,"3491"
126,"3328"
127,"3407"
128,"3878"
129,"5157"
130,"7221"
131,"10244"
132,"13748"
133,"17544"
134,"20059"
135,"20800"
136,"19099"
137,"16480"
138,"14294"
139,"13133"
140,"13732"
141,"14383"
142,"14866"
143,"15261"
144,"15779"
145,"16800"
146,"18567"
147,"20043"
148,"19567"
149,"17631"
150,"14134"
151,"10706"
152,"7258"
153,"5226"
154,"4098"
155,"3676"
156,"3769"
157,"4017"
158,"4162"
159,"4324"
160,"4199"
161,"4169"
162,"4103"
163,"3965"
164,"4188"
165,"4330"
166,"4314"
167,"4380"
168,"3978"
169,"3581"
170,"3439"
171,"3294"
172,"3306"
173,"3417"
174,"3586"
175,"4047"
176,"5392"
177,"8058"
178,"13639"
179,"24642"
180,"43537"
181,"71344"
182,"104180"
183,"134918"
184,"152433"
185,"152267"
186,"132559"
187,"100624"
188,"67888"
189,"40518"
190,"22212"
191,"11714"
192,"6802"
193,"5147"
194,"5389"
195,"6852"
196,"9699"
197,"13598"
198,"18579"
199,"23185"
200,"25915"
201,"26272"
202,"24106"
203,"19502"
204,"13954"
205,"9582"
206,"6239"
207,"4384"
208,"3376"
209,"2887"
210,"2732"
211,"2691"
212,"2610"
213,"2694"
214,"2734"
215,"2758"
216,"2810"
217,"2863"
218,"3012"
219,"3458"
220,"4018"
221,"4941"
222,"5879"
223,"7147"
224,"7930"
225,"8620"
226,"8582"
227,"7912"
228,"7058"
229,"5929"
230,"5130"
231,"4626"
232,"4195"
233,"4163"
234,"3826"
235,"3731"
236,"3470"
237,"3406"
238,"3263"
239,"3318"
240,"3275"
241,"3291"
242,"3489"
243,"3697"
244,"4021"
245,"4186"
246,"4073"
247,"4211"
248,"4258"
249,"3955"
250,"3831"
251,"3626"
252,"3673"
253,"3439"
254,"3508"
255,"3482"
256,"3480"
257,"3471"
258,"3603"
259,"3634"
260,"3642"
261,"3752"
262,"3679"
263,"3805"
264,"3828"
265,"3849"
266,"3894"
267,"4039"
268,"4089"
269,"4222"
270,"4304"
271,"4203"
272,"4292"
273,"4126"
274,"4279"
275,"4256"
276,"4215"
277,"4163"
278,"4254"
279,"4312"
280,"4289"
281,"4295"
282,"4362"
283,"4326"
284,"4431"
285,"4420"
286,"4568"
287,"4559"
288,"4817"
289,"4802"
290,"4957"
291,"5345"
292,"5552"
293,"5920"
294,"6103"
295,"6120"
296,"6108"
297,"5972"
298,"5781"
299,"5754"
300,"5648"
301,"5719"
302,"5678"
303,"5683"
304,"5870"
305,"6093"
306,"6246"
307,"6751"
308,"7319"
309,"8200"
310,"10372"
311,"14312"
312,"22406"
313,"37382"
314,"62317"
315,"98844"
316,"146964"
317,"200433"
318,"250510"
319,"283400"
320,"292690"
321,"274001"
322,"234436"
323,"181802"
324,"129100"
325,"83352"
326,"50784"
327,"29544"
328,"16859"
329,"10030"
330,"7274"
331,"5854"
332,"5349"
333,"5103"
334,"5102"
335,"5146"
336,"5199"
337,"5218"
338,"5373"
339,"5665"
340,"5889"
341,"6144"
342,"6500"
343,"7223"
344,"8453"
345,"10344"
346,"13303"
347,"17605"
348,"23648"
349,"30582"
350,"37918"
351,"44390"
352,"48382"
353,"48510"
354,"45138"
355,"38830"
356,"31442"
357,"24320"
358,"17990"
359,"13354"
360,"10533"
361,"9194"
362,"8679"
363,"8639"
364,"8599"
365,"9008"
366,"9269"
367,"9449"
368,"9533"
369,"10662"
370,"10957"
371,"11609"
372,"11904"
373,"12095"
374,"11637"
375,"10818"
376,"9511"
377,"8124"
378,"6913"
379,"5676"
380,"4918"
381,"4451"
382,"4073"
383,"3918"
384,"3772"
385,"3880"
386,"3777"
387,"3809"
388,"3757"
389,"3742"
390,"3899"
391,"3777"
392,"3765"
393,"3833"
394,"3915"
395,"3950"
396,"4089"
397,"4259"
398,"4469"
399,"4609"
400,"4621"
401,"4919"
402,"4816"
403,"4769"
404,"4826"
405,"4722"
406,"4635"
407,"4577"
408,"4556"
409,"4624"
410,"4392"
411,"4621"
412,"4513"
413,"4533"
414,"4343"
415,"4219"
416,"4112"
417,"4046"
418,"3832"
419,"3598"
420,"3553"
421,"3618"
422,"3489"
423,"3582"
424,"3639"
425,"3939"
426,"4033"
427,"4368"
428,"4712"
429,"4928"
430,"5284"
431,"5444"
432,"5324"
433,"5226"
434,"4917"
435,"4555"
436,"4462"
437,"4085"
438,"3891"
439,"3764"
440,"3564"
441,"3478"
442,"3576"
443,"3647"
444,"3671"
445,"3398"
446,"3514"
447,"3450"
448,"3491"
449,"3506"
450,"3396"
451,"3470"
452,"3449"
453,"3408"
454,"3476"
455,"3502"
456,"3416"
457,"3379"
458,"3594"
459,"3461"
460,"3563"
461,"3493"
462,"3366"
463,"3568"
464,"3497"
465,"3580"
466,"3519"
467,"3580"
468,"3464"
469,"3437"
470,"3555"
471,"3533"
472,"3510"
473,"3686"
474,"3682"
475,"3598"
476,"3679"
477,"3746"
478,"3724"
479,"3724"
480,"3700"
481,"3639"
482,"3587"
483,"3652"
484,"3534"
485,"3563"
486,"3539"
487,"3435"
488,"3435"
489,"3478"
490,"3458"
491,"3382"
492,"3441"
493,"3409"
494,"3424"
495,"3392"
496,"3373"
497,"3297"
498,"3480"
499,"3367"
500,"3373"
501,"3530"
502,"3589"
503,"3500"
504,"3535"
505,"3556"
506,"3525"
507,"3519"
508,"3518"
509,"3435"
510,"3359"
511,"3301"
512,"3387"
513,"3295"
514,"3269"
515,"3312"
516,"3223"
517,"3236"
518,"3330"
519,"3160"
520,"3402"
521,"3258"
522,"3373"
523,"3410"
524,"3276"
525,"3268"
526,"3379"
527,"3157"
528,"3258"
529,"3308"
530,"3190"
531,"3192"
532,"3242"
533,"3250"
534,"3200"
535,"3193"
536,"3170"
537,"3187"
538,"3152"
539,"3179"
540,"3195"
541,"3120"
542,"3185"
543,"3092"
544,"3075"
545,"3179"
546,"3040"
547,"3129"
548,"3078"
549,"3178"
550,"3031"
551,"3111"
552,"3069"
553,"3049"
554,"2989"
555,"3028"
556,"3139"
557,"3028"
558,"2894"
559,"3006"
560,"2945"
561,"2910"
562,"3045"
563,"2980"
564,"3054"
565,"3002"
566,"3113"
567,"2979"
568,"3018"
569,"2811"
570,"2919"
571,"2982"
572,"2904"
573,"2895"
574,"2915"
575,"2953"
576,"2769"
577,"2950"
578,"2909"
579,"2896"
580,"2916"
581,"2822"
582,"2864"
583,"2900"
584,"2951"
585,"2849"
586,"2858"
587,"2881"
588,"2867"
589,"2848"
590,"2723"
591,"2802"
592,"2794"
593,"2740"
594,"2868"
595,"2900"
596,"2813"
597,"2738"
598,"2764"
599,"2739"
600,"2770"
601,"2815"
602,"2689"
603,"2836"
604,"2772"
605,"2648"
606,"2593"
607,"2765"
608,"2686"
609,"2737"
610,"2575"
611,"2599"
612,"2670"
613,"2594"
614,"2557"
615,"2606"
616,"2695"
617,"2542"
618,"2628"
619,"2522"
620,"2509"
621,"2601"
622,"2578"
623,"2650"
624,"2536"
625,"2535"
626,"2642"
627,"2613"
628,"2575"
629,"2514"
630,"2630"
631,"2534"
632,"2545"
633,"2518"
634,"2526"
635,"2554"
636,"2523"
637,"2573"
638,"2681"
639,"2577"
640,"2678"
641,"2637"
642,"2616"
643,"2552"
644,"2510"
645,"2532"
646,"2510"
647,"2465"
648,"2378"
649,"2385"
650,"2399"
651,"2351"
652,"2317"
653,"2288"
654,"2367"
655,"2403"
656,"2307"
657,"2279"
658,"2353"
659,"2285"
660,"2233"
661,"2257"
662,"2303"
663,"2279"
664,"2290"
665,"2187"
666,"2304"
667,"2342"
668,"2297"
669,"2281"
670,"2261"
671,"2302"
672,"2297"
673,"2288"
674,"2241"
675,"2232"
676,"2099"
677,"2312"
678,"2254"
679,"2157"
680,"2152"
681,"2178"
682,"2100"
683,"2171"
684,"2124"
685,"2159"
686,"2078"
687,"2157"
688,"2106"
689,"2095"
690,"2062"
691,"2079"
692,"2186"
693,"2246"
694,"2171"
695,"2340"
696,"2315"
697,"2676"
698,"2930"
699,"3491"
700,"3898"
701,"4489"
702,"5117"
703,"5778"
704,"6344"
705,"6998"
706,"7192"
707,"7296"
708,"6962"
709,"6608"
710,"6152"
711,"5436"
712,"4689"
713,"4092"
714,"3587"
715,"2963"
716,"2665"
717,"2345"
718,"2087"
719,"2104"
720,"1944"
721,"1866"
722,"1861"
723,"1894"
724,"1895"
725,"1816"
726,"1759"
727,"1874"
728,"1797"
729,"1793"
730,"1826"
731,"1815"
732,"1837"
733,"1818"
734,"1785"
735,"1837"
736,"1810"
737,"1762"
738,"1786"
739,"1779"
740,"1753"
741,"1717"
742,"1743"
743,"1686"
744,"1670"
745,"1728"
746,"1813"
747,"1713"
748,"1683"
749,"1728"
750,"1728"
751,"1679"
752,"1693"
753,"1675"
754,"1713"
755,"1730"
756,"1673"
757,"1632"
758,"1646"
759,"1542"
760,"1613"
761,"1583"
762,"1584"
763,"1611"
764,"1646"
765,"1565"
766,"1638"
767,"1574"
768,"1576"
769,"1606"
770,"1575"
771,"1569"
772,"1518"
773,"1601"
774,"1459"
775,"1581"
776,"1591"
777,"1519"
778,"1585"
779,"1594"
780,"1606"
781,"1720"
782,"1711"
783,"1790"
784,"1835"
785,"1953"
786,"2039"
787,"2093"
788,"2208"
789,"2323"
790,"2344"
791,"2360"
792,"2282"
793,"2165"
794,"2181"
795,"2069"
796,"1940"
797,"1830"
798,"1678"
799,"1558"
800,"1628"
801,"1563"
802,"1632"
803,"1526"
804,"1495"
805,"1485"
806,"1428"
807,"1502"
808,"1383"
809,"1406"
810,"1430"
811,"1379"
812,"1299"
813,"1332"
814,"1359"
815,"1282"
816,"1309"
817,"1370"
818,"1313"
819,"1277"
820,"1295"
