Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LP015"
Duration Time,300.213
Ambient Temperature,"110.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"40073768"
Raw Accumulated Counts,"77959279"
Valid Count Last Packet,"113204"
Raw Count Last Packet,"220813"
Live Time,152.590012
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0597
Number of Channels,2048
Vacuum,683
Channel#,Intensity
0,"4667"
1,"3774"
2,"2847"
3,"1674"
4,"581"
5,"141"
6,"54"
7,"39"
8,"31"
9,"17"
10,"11"
11,"6"
12,"6"
13,"4"
14,"4"
15,"9"
16,"5"
17,"0"
18,"1"
19,"5"
20,"4"
21,"1"
22,"3"
23,"5"
24,"2"
25,"2"
26,"2"
27,"4"
28,"6"
29,"23"
30,"105"
31,"537"
32,"1637"
33,"2952"
34,"3629"
35,"3977"
36,"4037"
37,"3859"
38,"3870"
39,"3623"
40,"3748"
41,"3647"
42,"3669"
43,"3620"
44,"3485"
45,"3441"
46,"3411"
47,"3377"
48,"3371"
49,"3334"
50,"3258"
51,"3271"
52,"3368"
53,"3122"
54,"3228"
55,"3232"
56,"3057"
57,"3066"
58,"2971"
59,"3004"
60,"2899"
61,"2974"
62,"2943"
63,"2898"
64,"2804"
65,"2810"
66,"2769"
67,"2690"
68,"2795"
69,"2718"
70,"2780"
71,"2852"
72,"2830"
73,"2803"
74,"2856"
75,"2894"
76,"2930"
77,"2728"
78,"2698"
79,"2653"
80,"2602"
81,"2792"
82,"2767"
83,"2811"
84,"2734"
85,"2822"
86,"2908"
87,"2821"
88,"2790"
89,"2844"
90,"2777"
91,"2698"
92,"2764"
93,"2649"
94,"2615"
95,"2769"
96,"2666"
97,"2796"
98,"2985"
99,"2892"
100,"2737"
101,"2935"
102,"2775"
103,"2893"
104,"2814"
105,"2905"
106,"2805"
107,"2850"
108,"2904"
109,"3000"
110,"3156"
111,"3552"
112,"3930"
113,"4458"
114,"4759"
115,"4772"
116,"4612"
117,"4315"
118,"3933"
119,"3815"
120,"3647"
121,"3583"
122,"3673"
123,"3646"
124,"3679"
125,"3922"
126,"4151"
127,"4346"
128,"5182"
129,"6193"
130,"7929"
131,"9766"
132,"11865"
133,"13465"
134,"14146"
135,"13938"
136,"12774"
137,"11740"
138,"11596"
139,"11761"
140,"12572"
141,"13108"
142,"13064"
143,"12874"
144,"12745"
145,"12784"
146,"13217"
147,"13274"
148,"12523"
149,"11175"
150,"9556"
151,"7734"
152,"6478"
153,"5477"
154,"5294"
155,"4788"
156,"4970"
157,"5201"
158,"5614"
159,"5870"
160,"7305"
161,"9167"
162,"11822"
163,"14618"
164,"17261"
165,"17900"
166,"17180"
167,"14661"
168,"11610"
169,"8703"
170,"6662"
171,"5260"
172,"4580"
173,"4249"
174,"4539"
175,"4745"
176,"5331"
177,"6000"
178,"6870"
179,"7582"
180,"8742"
181,"10154"
182,"11013"
183,"11748"
184,"11870"
185,"10967"
186,"9630"
187,"7970"
188,"6554"
189,"5489"
190,"4731"
191,"4382"
192,"4234"
193,"4125"
194,"4301"
195,"4327"
196,"4735"
197,"4909"
198,"5033"
199,"5332"
200,"5227"
201,"5339"
202,"5114"
203,"4985"
204,"4807"
205,"4585"
206,"4410"
207,"4420"
208,"4389"
209,"4400"
210,"4418"
211,"4449"
212,"4455"
213,"4452"
214,"4557"
215,"4698"
216,"4592"
217,"4590"
218,"4826"
219,"4895"
220,"4869"
221,"5019"
222,"5309"
223,"5425"
224,"5623"
225,"5590"
226,"5583"
227,"5416"
228,"5230"
229,"5278"
230,"5179"
231,"5024"
232,"5065"
233,"5206"
234,"5025"
235,"5186"
236,"5159"
237,"5185"
238,"5358"
239,"5295"
240,"5260"
241,"5340"
242,"5499"
243,"5550"
244,"5570"
245,"5638"
246,"5694"
247,"5641"
248,"5601"
249,"5750"
250,"5858"
251,"5852"
252,"5889"
253,"5817"
254,"5938"
255,"6061"
256,"5964"
257,"6079"
258,"6112"
259,"6106"
260,"6130"
261,"6169"
262,"6282"
263,"6244"
264,"6364"
265,"6534"
266,"6598"
267,"6583"
268,"6688"
269,"6683"
270,"6712"
271,"6805"
272,"6783"
273,"6860"
274,"6760"
275,"6864"
276,"6696"
277,"6822"
278,"6909"
279,"6921"
280,"7136"
281,"6939"
282,"7078"
283,"6985"
284,"7192"
285,"6997"
286,"7192"
287,"7253"
288,"7381"
289,"7503"
290,"7420"
291,"7573"
292,"7684"
293,"7939"
294,"8034"
295,"7872"
296,"8002"
297,"7674"
298,"7909"
299,"7886"
300,"7932"
301,"8151"
302,"8071"
303,"8248"
304,"8441"
305,"8536"
306,"8898"
307,"9692"
308,"10320"
309,"11125"
310,"12729"
311,"13927"
312,"15545"
313,"16587"
314,"17453"
315,"18177"
316,"18274"
317,"18090"
318,"17784"
319,"17040"
320,"15838"
321,"14747"
322,"13711"
323,"12072"
324,"10960"
325,"10380"
326,"10030"
327,"9796"
328,"9574"
329,"9680"
330,"9430"
331,"9699"
332,"9627"
333,"9829"
334,"9803"
335,"10214"
336,"10215"
337,"10399"
338,"10568"
339,"10778"
340,"10725"
341,"10963"
342,"10955"
343,"11385"
344,"11369"
345,"11594"
346,"11853"
347,"12038"
348,"11962"
349,"12279"
350,"12549"
351,"12637"
352,"13121"
353,"13324"
354,"13410"
355,"13548"
356,"13905"
357,"14244"
358,"14628"
359,"15202"
360,"15490"
361,"16063"
362,"17080"
363,"16978"
364,"17942"
365,"18493"
366,"19561"
367,"20732"
368,"22170"
369,"23868"
370,"25642"
371,"26965"
372,"27768"
373,"28245"
374,"27545"
375,"26140"
376,"24635"
377,"22951"
378,"21890"
379,"21120"
380,"21127"
381,"21077"
382,"22006"
383,"23300"
384,"24976"
385,"26928"
386,"29069"
387,"32252"
388,"37714"
389,"47216"
390,"66601"
391,"102807"
392,"171994"
393,"293061"
394,"492698"
395,"793075"
396,"1199889"
397,"1698253"
398,"2241334"
399,"2734650"
400,"3093919"
401,"3243377"
402,"3138147"
403,"2819835"
404,"2338062"
405,"1802793"
406,"1288041"
407,"858924"
408,"536927"
409,"318278"
410,"182260"
411,"104893"
412,"61964"
413,"40969"
414,"29297"
415,"23602"
416,"20322"
417,"18456"
418,"17137"
419,"16340"
420,"15946"
421,"15647"
422,"15610"
423,"15666"
424,"16283"
425,"16579"
426,"17475"
427,"18209"
428,"19259"
429,"20222"
430,"21502"
431,"23550"
432,"26007"
433,"29818"
434,"36117"
435,"47988"
436,"67388"
437,"98000"
438,"142432"
439,"200998"
440,"271310"
441,"348161"
442,"417830"
443,"468044"
444,"491972"
445,"479293"
446,"435908"
447,"370349"
448,"293084"
449,"217373"
450,"150501"
451,"99123"
452,"62107"
453,"37769"
454,"22607"
455,"14086"
456,"9336"
457,"6807"
458,"5588"
459,"5126"
460,"4555"
461,"4431"
462,"4254"
463,"4191"
464,"4005"
465,"3992"
466,"4003"
467,"3890"
468,"3842"
469,"3785"
470,"3799"
471,"3771"
472,"3645"
473,"3772"
474,"3623"
475,"3650"
476,"3604"
477,"3691"
478,"3565"
479,"3519"
480,"3521"
481,"3473"
482,"3397"
483,"3373"
484,"3294"
485,"3321"
486,"3192"
487,"3189"
488,"3167"
489,"3240"
490,"3190"
491,"3067"
492,"3125"
493,"3046"
494,"2973"
495,"3031"
496,"3126"
497,"3060"
498,"3006"
499,"2958"
500,"2963"
501,"2991"
502,"2850"
503,"2983"
504,"2902"
505,"2881"
506,"2922"
507,"2764"
508,"2793"
509,"2986"
510,"2757"
511,"2729"
512,"2910"
513,"2803"
514,"2918"
515,"2758"
516,"2832"
517,"2800"
