Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LUK0609"
Duration Time,300.408
Ambient Temperature,"117.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"14913215"
Raw Accumulated Counts,"17086550"
Valid Count Last Packet,"46415"
Raw Count Last Packet,"53372"
Live Time,261.942963
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0325
Number of Channels,2048
Vacuum,695
Channel#,Intensity
0,"9081"
1,"7139"
2,"4372"
3,"2704"
4,"1138"
5,"296"
6,"41"
7,"11"
8,"6"
9,"5"
10,"4"
11,"2"
12,"6"
13,"4"
14,"4"
15,"0"
16,"3"
17,"1"
18,"0"
19,"3"
20,"1"
21,"1"
22,"1"
23,"1"
24,"1"
25,"3"
26,"0"
27,"1"
28,"0"
29,"0"
30,"0"
31,"41"
32,"253"
33,"761"
34,"1467"
35,"1690"
36,"1882"
37,"1986"
38,"1873"
39,"1863"
40,"1825"
41,"1884"
42,"1778"
43,"1894"
44,"1951"
45,"2017"
46,"2049"
47,"2062"
48,"2084"
49,"1995"
50,"1926"
51,"1946"
52,"1905"
53,"1942"
54,"1922"
55,"1986"
56,"1915"
57,"1860"
58,"1873"
59,"2009"
60,"1898"
61,"1966"
62,"1836"
63,"1837"
64,"1811"
65,"1758"
66,"1711"
67,"1736"
68,"1648"
69,"1722"
70,"1768"
71,"1780"
72,"1846"
73,"1937"
74,"1897"
75,"1883"
76,"1789"
77,"1779"
78,"1672"
79,"1757"
80,"1718"
81,"1793"
82,"1709"
83,"1848"
84,"2008"
85,"2225"
86,"2388"
87,"2445"
88,"2262"
89,"2238"
90,"2140"
91,"2267"
92,"2414"
93,"2791"
94,"3489"
95,"4285"
96,"4922"
97,"5212"
98,"5128"
99,"4465"
100,"3684"
101,"2933"
102,"2436"
103,"2179"
104,"2118"
105,"2111"
106,"2242"
107,"2023"
108,"2154"
109,"2277"
110,"2592"
111,"2849"
112,"3168"
113,"3314"
114,"3810"
115,"3917"
116,"3715"
117,"3505"
118,"3286"
119,"3047"
120,"2958"
121,"2868"
122,"2799"
123,"2838"
124,"3013"
125,"3111"
126,"3569"
127,"3976"
128,"4871"
129,"6310"
130,"8741"
131,"11657"
132,"15683"
133,"19203"
134,"21402"
135,"21548"
136,"19739"
137,"17471"
138,"15741"
139,"15220"
140,"15888"
141,"16847"
142,"17445"
143,"17167"
144,"17748"
145,"18482"
146,"19398"
147,"20138"
148,"19512"
149,"17357"
150,"14345"
151,"11052"
152,"8211"
153,"6366"
154,"5456"
155,"5323"
156,"5244"
157,"5327"
158,"5640"
159,"5654"
160,"5560"
161,"5389"
162,"5144"
163,"5190"
164,"5245"
165,"5391"
166,"5279"
167,"5401"
168,"5339"
169,"5245"
170,"5322"
171,"5294"
172,"5479"
173,"5840"
174,"6377"
175,"7602"
176,"10499"
177,"17178"
178,"31755"
179,"59695"
180,"105452"
181,"169618"
182,"243615"
183,"307426"
184,"342636"
185,"333995"
186,"284106"
187,"212752"
188,"140138"
189,"82022"
190,"43575"
191,"22072"
192,"12803"
193,"9792"
194,"10549"
195,"14464"
196,"21649"
197,"30989"
198,"42122"
199,"52000"
200,"57241"
201,"57020"
202,"50178"
203,"39104"
204,"27559"
205,"17934"
206,"10987"
207,"6975"
208,"4992"
209,"4012"
210,"3628"
