Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK-62600"
Duration Time,300.784
Ambient Temperature,"110.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"18632604"
Raw Accumulated Counts,"22418493"
Valid Count Last Packet,"56289"
Raw Count Last Packet,"67593"
Live Time,249.662155
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0855
Number of Channels,2048
Vacuum,682
Channel#,Intensity
0,"8296"
1,"6556"
2,"4407"
3,"2971"
4,"1392"
5,"309"
6,"60"
7,"29"
8,"9"
9,"10"
10,"8"
11,"6"
12,"7"
13,"5"
14,"5"
15,"3"
16,"3"
17,"2"
18,"1"
19,"2"
20,"4"
21,"2"
22,"4"
23,"2"
24,"7"
25,"2"
26,"2"
27,"0"
28,"1"
29,"1"
30,"11"
31,"108"
32,"644"
33,"1730"
34,"2630"
35,"3071"
36,"3368"
37,"3388"
38,"3357"
39,"3361"
40,"3167"
41,"3279"
42,"3234"
43,"3173"
44,"3237"
45,"3213"
46,"3277"
47,"3109"
48,"3231"
49,"3007"
50,"3059"
51,"3003"
52,"2942"
53,"2916"
54,"2974"
55,"2976"
56,"2913"
57,"2840"
58,"2735"
59,"2699"
60,"2734"
61,"2880"
62,"2687"
63,"2550"
64,"2459"
65,"2430"
66,"2438"
67,"2397"
68,"2333"
69,"2281"
70,"2349"
71,"2368"
72,"2321"
73,"2470"
74,"2350"
75,"2347"
76,"2242"
77,"2251"
78,"2201"
79,"2141"
80,"2095"
81,"2039"
82,"2093"
83,"2170"
84,"2265"
85,"2151"
86,"2296"
87,"2348"
88,"2268"
89,"2120"
90,"2049"
91,"1974"
92,"2008"
93,"2005"
94,"2058"
95,"1976"
96,"2001"
97,"1975"
98,"2044"
99,"2080"
100,"2107"
101,"2084"
102,"2056"
103,"2043"
104,"2002"
105,"1948"
106,"1909"
107,"1955"
108,"2012"
109,"2045"
110,"2138"
111,"2146"
112,"2363"
113,"2583"
114,"2771"
115,"2823"
116,"2897"
117,"2927"
118,"2802"
119,"2622"
120,"2618"
121,"2538"
122,"2434"
123,"2591"
124,"2610"
125,"2807"
126,"3077"
127,"3331"
128,"4153"
129,"5449"
130,"7335"
131,"10162"
132,"13876"
133,"17293"
134,"20218"
135,"20692"
136,"19263"
137,"17392"
138,"15590"
139,"14686"
140,"15418"
141,"16420"
142,"16880"
143,"16861"
144,"16509"
145,"17220"
146,"17693"
147,"18454"
148,"18139"
149,"16580"
150,"14050"
151,"10810"
152,"8108"
153,"6105"
154,"4815"
155,"4340"
156,"4294"
157,"4281"
158,"4217"
159,"4355"
160,"4231"
161,"3860"
162,"3535"
163,"3308"
164,"3381"
165,"3268"
166,"3201"
167,"3357"
168,"3374"
169,"3089"
170,"3007"
171,"2959"
172,"2920"
173,"2798"
174,"2791"
175,"2754"
176,"2770"
177,"2905"
178,"2932"
179,"3044"
180,"3163"
181,"3324"
182,"3501"
183,"3955"
184,"4112"
185,"4199"
186,"4113"
187,"3973"
188,"3809"
189,"3514"
190,"3538"
191,"3533"
192,"3502"
193,"3499"
194,"3653"
195,"3646"
196,"3694"
197,"3874"
198,"3952"
199,"4155"
200,"4051"
201,"4209"
202,"4186"
203,"4247"
204,"4487"
205,"4275"
206,"4327"
207,"4396"
208,"4430"
209,"4399"
210,"4638"
211,"4629"
212,"4611"
213,"4723"
214,"4773"
215,"4731"
216,"5025"
217,"5051"
218,"5179"
219,"5336"
220,"5662"
221,"5730"
222,"5933"
223,"6367"
224,"6588"
225,"6619"
226,"6550"
227,"6524"
228,"6384"
229,"6162"
230,"5998"
231,"6022"
232,"5911"
233,"6067"
234,"5979"
235,"6061"
236,"6100"
237,"6209"
238,"6254"
239,"6519"
240,"6528"
241,"6756"
242,"6722"
243,"6881"
244,"7019"
245,"7081"
246,"7021"
247,"7311"
248,"7297"
249,"7274"
250,"7505"
251,"7652"
252,"7622"
253,"7733"
254,"7922"
255,"7939"
256,"8159"
257,"8267"
258,"8339"
259,"8541"
260,"8629"
261,"8907"
262,"8975"
263,"9233"
264,"9211"
265,"9640"
266,"9627"
267,"9877"
268,"10130"
269,"10239"
270,"10469"
271,"10483"
272,"10672"
273,"10842"
274,"11003"
275,"10918"
276,"11219"
277,"11519"
278,"11289"
279,"11615"
280,"11567"
281,"11899"
282,"11827"
283,"12096"
284,"12185"
285,"12170"
286,"12561"
287,"12418"
288,"12534"
289,"12890"
290,"12872"
291,"13178"
292,"13288"
293,"13373"
294,"13526"
295,"13906"
296,"13791"
297,"13846"
298,"13921"
299,"13858"
300,"14170"
301,"14316"
302,"14418"
303,"14345"
304,"14804"
305,"14871"
306,"15233"
307,"15730"
308,"16136"
309,"16574"
310,"17279"
311,"17690"
312,"18372"
313,"19223"
314,"19888"
315,"20662"
316,"21098"
317,"21574"
318,"21859"
319,"22044"
320,"22047"
321,"21729"
322,"20743"
323,"20002"
324,"18978"
325,"18243"
326,"17576"
327,"17163"
328,"16940"
329,"17037"
330,"16900"
331,"17290"
332,"17367"
333,"17755"
334,"18034"
335,"18159"
336,"18736"
337,"18870"
338,"18881"
339,"19499"
340,"19419"
341,"19944"
342,"20660"
343,"20750"
344,"20607"
345,"21056"
346,"21453"
347,"21683"
348,"21628"
349,"21524"
350,"21681"
351,"22191"
352,"22496"
353,"23261"
354,"23997"
355,"25139"
356,"26619"
357,"28663"
358,"31295"
359,"33935"
360,"37352"
361,"41330"
362,"44599"
363,"47855"
364,"50985"
365,"53281"
366,"53986"
367,"54270"
368,"53431"
369,"53567"
370,"51928"
371,"52706"
372,"52018"
373,"50898"
374,"49008"
375,"45946"
376,"41463"
377,"37394"
378,"32651"
379,"28886"
380,"26332"
381,"24096"
382,"23003"
383,"22363"
384,"21923"
385,"21577"
386,"21563"
387,"21890"
388,"21920"
389,"22479"
390,"22620"
391,"22729"
392,"23129"
393,"23770"
394,"24304"
395,"24330"
396,"25762"
397,"25954"
398,"27053"
399,"27662"
400,"28478"
401,"29125"
402,"29360"
403,"29747"
404,"29538"
405,"29447"
406,"28972"
407,"28468"
408,"28177"
409,"27913"
410,"27654"
411,"27749"
412,"27835"
