Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSC18723"
Duration Time,300.108
Ambient Temperature,"113.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"12850098"
Raw Accumulated Counts,"14442018"
Valid Count Last Packet,"39970"
Raw Count Last Packet,"44902"
Live Time,266.677917
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0313
Number of Channels,2048
Vacuum,955
Channel#,Intensity
0,"9322"
1,"7221"
2,"4646"
3,"2868"
4,"1391"
5,"340"
6,"55"
7,"15"
8,"9"
9,"3"
10,"4"
11,"3"
12,"1"
13,"6"
14,"1"
15,"5"
16,"0"
17,"3"
18,"1"
19,"1"
20,"3"
21,"1"
22,"3"
23,"1"
24,"1"
25,"0"
26,"0"
27,"0"
28,"1"
29,"1"
30,"2"
31,"39"
32,"314"
33,"1041"
34,"1795"
35,"2253"
36,"2428"
37,"2498"
38,"2498"
39,"2413"
40,"2470"
41,"2428"
42,"2500"
43,"2568"
44,"2521"
45,"2682"
46,"2651"
47,"2875"
48,"2806"
49,"2683"
50,"2667"
51,"2627"
52,"2637"
53,"2668"
54,"2662"
55,"2633"
56,"2719"
57,"2629"
58,"2639"
59,"2617"
60,"2592"
61,"2552"
62,"2644"
63,"2523"
64,"2448"
65,"2459"
66,"2409"
67,"2329"
68,"2346"
69,"2381"
70,"2411"
71,"2448"
72,"2596"
73,"2554"
74,"2589"
75,"2599"
76,"2658"
77,"2527"
78,"2408"
79,"2446"
80,"2389"
81,"2482"
82,"2376"
83,"2651"
84,"2874"
85,"3126"
86,"3382"
87,"3437"
88,"3513"
89,"3361"
90,"3401"
91,"3649"
92,"4111"
93,"5101"
94,"6678"
95,"9084"
96,"11864"
97,"14440"
98,"16747"
99,"17646"
100,"17870"
101,"16065"
102,"13062"
103,"9799"
104,"7049"
105,"5467"
106,"4572"
107,"4114"
108,"3855"
109,"3970"
110,"3881"
111,"4187"
112,"4570"
113,"5016"
114,"5246"
115,"5301"
116,"5010"
117,"4680"
118,"4308"
119,"3941"
120,"3899"
121,"3815"
122,"3842"
123,"3897"
124,"4031"
125,"4298"
126,"4544"
127,"5356"
128,"6367"
129,"8317"
130,"10873"
131,"14690"
132,"18785"
133,"22185"
134,"24672"
135,"24793"
136,"23008"
137,"20300"
138,"17805"
139,"17158"
140,"17819"
141,"18544"
142,"19158"
143,"18918"
144,"18983"
145,"19290"
146,"20037"
147,"20855"
148,"20379"
149,"18739"
150,"15490"
151,"12740"
152,"9702"
153,"8076"
154,"7076"
155,"6686"
156,"6792"
157,"7092"
158,"7376"
159,"7645"
160,"7941"
161,"8450"
162,"9351"
163,"10612"
164,"11946"
165,"12733"
166,"12934"
167,"12393"
168,"11399"
169,"10374"
170,"9409"
171,"9020"
172,"9462"
173,"9888"
174,"11381"
175,"13919"
176,"19380"
177,"32507"
178,"60783"
179,"116307"
180,"209257"
181,"341433"
182,"497197"
183,"640116"
184,"720264"
185,"712046"
186,"614010"
187,"463838"
188,"308594"
189,"181505"
190,"95503"
191,"47408"
192,"24611"
193,"16878"
194,"17934"
195,"25238"
196,"39303"
197,"59522"
198,"82006"
199,"103974"
200,"117054"
201,"117326"
202,"103789"
203,"81807"
204,"56551"
205,"35517"
206,"20699"
207,"11512"
208,"6460"
209,"4407"
210,"3475"
211,"3276"
212,"3026"
213,"3150"
214,"3102"
215,"3161"
216,"3045"
217,"3204"
218,"3328"
219,"3564"
220,"3875"
221,"4294"
222,"4683"
223,"5194"
224,"5590"
225,"5813"
226,"5679"
227,"5463"
228,"4782"
229,"4415"
230,"4102"
231,"3928"
232,"3891"
233,"3765"
234,"3656"
235,"3562"
236,"3671"
237,"3747"
238,"3742"
239,"3792"
240,"3877"
241,"4021"
242,"4088"
243,"4236"
244,"4274"
245,"4312"
246,"4243"
247,"4254"
248,"4185"
249,"4097"
250,"4088"
251,"3995"
252,"3998"
253,"3855"
254,"3898"
255,"4002"
256,"3949"
257,"3990"
258,"4139"
259,"4113"
260,"4234"
261,"4176"
262,"4214"
263,"4272"
264,"4323"
265,"4537"
266,"4629"
267,"4627"
268,"4795"
269,"4940"
270,"4990"
271,"5027"
272,"4886"
273,"4871"
274,"4943"
275,"4875"
276,"4941"
277,"4788"
278,"5028"
279,"4938"
280,"5056"
281,"5146"
282,"5100"
283,"5145"
284,"5144"
285,"5446"
286,"5317"
287,"5505"
288,"5558"
289,"5651"
290,"5831"
291,"6307"
292,"6579"
293,"6778"
294,"6978"
295,"7089"
296,"6987"
297,"6706"
298,"6438"
299,"6283"
300,"6194"
301,"5969"
302,"5848"
303,"5937"
304,"5834"
305,"6046"
306,"6133"
307,"6276"
308,"6606"
309,"6933"
310,"7402"
311,"8598"
312,"10827"
313,"14767"
314,"20798"
315,"30021"
316,"41769"
317,"54322"
318,"65864"
319,"73727"
320,"75491"
321,"71040"
322,"60263"
323,"47665"
324,"35248"
325,"24449"
326,"16745"
327,"11792"
328,"8925"
329,"7324"
330,"6450"
331,"6228"
332,"6150"
333,"6005"
334,"6164"
335,"6066"
336,"6164"
337,"6434"
338,"6282"
339,"6421"
340,"6516"
341,"6643"
342,"6918"
343,"7238"
344,"7389"
345,"7851"
346,"8903"
347,"9668"
348,"11421"
349,"12977"
350,"14972"
351,"16505"
352,"17350"
353,"17308"
354,"16764"
355,"15227"
356,"13634"
357,"12081"
358,"11013"
359,"10290"
360,"10223"
361,"10435"
362,"10929"
363,"11499"
364,"12193"
365,"12859"
366,"13491"
367,"14100"
368,"15143"
369,"16350"
370,"17448"
371,"18118"
372,"18947"
373,"18995"
374,"17942"
375,"16466"
376,"14557"
377,"12258"
378,"9995"
379,"8406"
380,"7263"
381,"6485"
382,"6283"
383,"5904"
384,"5968"
385,"6025"
386,"5812"
387,"5842"
388,"5802"
389,"5804"
390,"5815"
391,"5798"
392,"5922"
393,"5641"
394,"5774"
395,"6029"
396,"6128"
397,"6400"
398,"6443"
399,"6992"
400,"7228"
401,"7120"
402,"7407"
403,"7499"
404,"7166"
405,"7159"
406,"7003"
407,"6906"
408,"6799"
409,"6903"
410,"6869"
411,"7071"
412,"7059"
413,"7223"
414,"7035"
415,"6861"
416,"6545"
417,"6334"
418,"5913"
419,"5806"
420,"5782"
421,"5579"
422,"5699"
423,"5750"
424,"5941"
425,"6463"
426,"6926"
427,"7492"
428,"8293"
429,"8874"
430,"9747"
431,"10035"
432,"9865"
433,"9537"
434,"8866"
435,"8118"
436,"7443"
437,"6968"
438,"6463"
439,"6062"
440,"5907"
441,"5875"
442,"5791"
443,"5888"
444,"6023"
445,"6049"
446,"5797"
447,"5832"
448,"5865"
449,"5914"
450,"5755"
451,"5738"
452,"5844"
