Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSC18625"
Duration Time,300.717
Ambient Temperature,"112.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"39586290"
Raw Accumulated Counts,"73435553"
Valid Count Last Packet,"115324"
Raw Count Last Packet,"214052"
Live Time,160.170990
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0394
Number of Channels,2048
Vacuum,1023
Channel#,Intensity
0,"5054"
1,"4002"
2,"3093"
3,"2033"
4,"794"
5,"187"
6,"57"
7,"37"
8,"19"
9,"13"
10,"15"
11,"8"
12,"2"
13,"2"
14,"5"
15,"14"
16,"7"
17,"5"
18,"2"
19,"2"
20,"3"
21,"3"
22,"1"
23,"4"
24,"1"
25,"4"
26,"2"
27,"3"
28,"2"
29,"8"
30,"57"
31,"348"
32,"1302"
33,"2607"
34,"3652"
35,"4122"
36,"4267"
37,"4144"
38,"4028"
39,"4081"
40,"3844"
41,"3857"
42,"3856"
43,"3832"
44,"3863"
45,"3830"
46,"3819"
47,"3796"
48,"3681"
49,"3667"
50,"3721"
51,"3600"
52,"3534"
53,"3470"
54,"3528"
55,"3404"
56,"3450"
57,"3447"
58,"3393"
59,"3435"
60,"3400"
61,"3304"
62,"3248"
63,"3269"
64,"3220"
65,"3065"
66,"3186"
67,"3175"
68,"2975"
69,"3133"
70,"3149"
71,"3113"
72,"3361"
73,"3258"
74,"3423"
75,"3202"
76,"3271"
77,"3151"
78,"3109"
79,"3060"
80,"3078"
81,"3011"
82,"3066"
83,"3078"
84,"3101"
85,"3170"
86,"3129"
87,"3119"
88,"3141"
89,"3189"
90,"3097"
91,"3061"
92,"3003"
93,"3046"
94,"2996"
95,"2928"
96,"3086"
97,"3044"
98,"3168"
99,"3115"
100,"3207"
101,"3234"
102,"3141"
103,"3238"
104,"3159"
105,"3166"
106,"3277"
107,"3362"
108,"3221"
109,"3491"
110,"3429"
111,"3680"
112,"3795"
113,"4051"
114,"4292"
115,"4394"
116,"4375"
117,"4391"
118,"4313"
119,"4127"
120,"4058"
121,"4025"
122,"4046"
123,"4028"
124,"4252"
125,"4336"
126,"4606"
127,"4926"
128,"5356"
129,"6544"
130,"8109"
131,"10177"
132,"12716"
133,"14683"
134,"16021"
135,"16212"
136,"15085"
137,"14172"
138,"13365"
139,"13548"
140,"14195"
141,"15288"
142,"15311"
143,"15057"
144,"14958"
145,"14597"
146,"14847"
147,"14822"
148,"14237"
149,"12932"
150,"11140"
151,"9275"
152,"7623"
153,"6460"
154,"5863"
155,"5532"
156,"5529"
157,"5470"
158,"5528"
159,"5403"
160,"5214"
161,"5018"
162,"4800"
163,"4811"
164,"4638"
165,"4703"
166,"4679"
167,"4684"
168,"4553"
169,"4506"
170,"4610"
171,"4544"
172,"4405"
173,"4335"
174,"4335"
175,"4481"
176,"4627"
177,"4559"
178,"4744"
179,"4753"
180,"5005"
181,"5211"
182,"5586"
183,"5703"
184,"5845"
185,"5750"
186,"5663"
187,"5350"
188,"5325"
189,"5091"
190,"5102"
191,"5017"
192,"5165"
193,"5078"
194,"5259"
195,"5458"
196,"5402"
197,"5431"
198,"5578"
199,"5734"
200,"5816"
201,"5865"
202,"5801"
203,"5894"
204,"5928"
205,"5942"
206,"6050"
207,"6138"
208,"6237"
209,"6133"
210,"6424"
211,"6312"
212,"6608"
213,"6472"
214,"6575"
215,"6821"
216,"7075"
217,"7409"
218,"8416"
219,"9965"
220,"12325"
221,"15617"
222,"20225"
223,"24543"
224,"28389"
225,"29974"
226,"29936"
227,"27955"
228,"25669"
229,"23857"
230,"22911"
231,"22384"
232,"22174"
233,"20862"
234,"18775"
235,"16565"
236,"13827"
237,"11952"
238,"10358"
239,"9608"
240,"9497"
241,"9680"
242,"10161"
243,"10911"
244,"11606"
245,"12322"
246,"12656"
247,"12739"
248,"12329"
249,"11537"
250,"10986"
251,"10371"
252,"9887"
253,"9685"
254,"9441"
255,"9646"
256,"9810"
257,"9566"
258,"9774"
259,"10141"
260,"10599"
261,"10779"
262,"11171"
263,"11439"
264,"11994"
265,"12362"
266,"12344"
267,"12529"
268,"12630"
269,"12479"
270,"12700"
271,"12370"
272,"12558"
273,"12254"
274,"12246"
275,"12258"
276,"12013"
277,"12271"
278,"11949"
279,"12075"
280,"12063"
281,"12046"
282,"12126"
283,"12160"
284,"12281"
285,"12470"
286,"12749"
287,"12962"
288,"13639"
289,"14109"
290,"14484"
291,"15623"
292,"16742"
293,"17509"
294,"18086"
295,"18694"
296,"19390"
297,"19007"
298,"19454"
299,"20068"
300,"20149"
301,"21275"
302,"22513"
303,"24004"
304,"25869"
305,"28126"
306,"31188"
307,"36035"
308,"44569"
309,"62445"
310,"99577"
311,"172910"
312,"312619"
313,"552372"
314,"923044"
315,"1435104"
316,"2055121"
317,"2694726"
318,"3230986"
319,"3530616"
320,"3517213"
321,"3197386"
322,"2649165"
323,"2006222"
324,"1391895"
325,"886101"
326,"523593"
327,"290208"
328,"155677"
329,"84437"
330,"49338"
331,"32980"
332,"25220"
333,"21232"
334,"19684"
335,"18901"
336,"18944"
337,"19403"
338,"19942"
339,"21094"
340,"23052"
341,"25866"
342,"31571"
343,"40670"
344,"57262"
345,"84134"
346,"126152"
347,"186851"
348,"266009"
349,"352504"
350,"436304"
351,"501357"
352,"530162"
353,"516278"
354,"464589"
355,"383674"
356,"292492"
357,"206629"
358,"136219"
359,"83488"
360,"49895"
361,"29807"
362,"18759"
363,"12977"
364,"10181"
365,"9129"
366,"8546"
367,"8517"
368,"8342"
369,"8688"
370,"8864"
371,"9006"
372,"8915"
373,"8963"
374,"8417"
375,"7685"
376,"7069"
377,"6208"
378,"5422"
379,"4857"
380,"4243"
381,"4067"
382,"3915"
383,"3800"
384,"3834"
385,"3613"
386,"3676"
387,"3538"
388,"3531"
389,"3433"
390,"3570"
391,"3488"
392,"3525"
393,"3565"
394,"3616"
395,"3540"
396,"3682"
397,"3714"
398,"3759"
399,"3870"
400,"3904"
401,"3948"
402,"3951"
403,"3814"
404,"3793"
405,"3768"
406,"3797"
407,"3679"
408,"3663"
409,"3754"
410,"3714"
411,"3616"
412,"3822"
413,"3610"
414,"3590"
415,"3362"
416,"3211"
417,"3106"
418,"3053"
419,"2916"
420,"2814"
421,"2837"
422,"2829"
423,"2746"
424,"2819"
425,"2741"
426,"2952"
427,"2872"
428,"2899"
429,"2922"
430,"3084"
