Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"DIVCAS001"
Duration Time,300.48
Ambient Temperature,"114.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"9721826"
Raw Accumulated Counts,"10565272"
Valid Count Last Packet,"29929"
Raw Count Last Packet,"32532"
Live Time,276.626068
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0352
Number of Channels,2048
Vacuum,689
Channel#,Intensity
0,"9345"
1,"7576"
2,"4780"
3,"2598"
4,"1110"
5,"264"
6,"54"
7,"8"
8,"4"
9,"2"
10,"4"
11,"2"
12,"3"
13,"1"
14,"0"
15,"0"
16,"2"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"1"
23,"0"
24,"1"
25,"1"
26,"1"
27,"0"
28,"0"
29,"0"
30,"0"
31,"15"
32,"170"
33,"591"
34,"1013"
35,"1245"
36,"1366"
37,"1423"
38,"1407"
39,"1412"
40,"1413"
41,"1418"
42,"1432"
43,"1498"
44,"1499"
45,"1614"
46,"1562"
47,"1599"
48,"1547"
49,"1630"
50,"1457"
51,"1427"
52,"1484"
53,"1512"
54,"1532"
55,"1573"
56,"1552"
57,"1543"
58,"1585"
59,"1525"
60,"1637"
61,"1580"
62,"1536"
63,"1461"
64,"1423"
65,"1428"
66,"1367"
67,"1381"
68,"1403"
69,"1438"
70,"1412"
71,"1469"
72,"1534"
73,"1620"
74,"1661"
75,"1640"
76,"1560"
77,"1527"
78,"1507"
79,"1427"
80,"1371"
81,"1503"
82,"1675"
83,"1908"
84,"2253"
85,"2552"
86,"2941"
87,"3034"
88,"2911"
89,"2469"
90,"2089"
91,"1912"
92,"1772"
93,"1738"
94,"1919"
95,"2193"
96,"2368"
97,"2458"
98,"2426"
99,"2363"
100,"2164"
101,"1901"
102,"1785"
103,"1691"
104,"1702"
105,"1671"
106,"1723"
107,"1688"
108,"1793"
109,"1854"
110,"2018"
111,"2182"
112,"2544"
113,"2937"
114,"3319"
115,"3467"
116,"3465"
117,"3281"
118,"3166"
119,"2746"
120,"2628"
121,"2631"
122,"2551"
123,"2615"
124,"2725"
125,"3016"
126,"3142"
127,"3812"
128,"4717"
129,"6246"
130,"8688"
131,"12158"
132,"16239"
133,"20480"
134,"23338"
135,"24383"
136,"24012"
137,"22058"
138,"20284"
139,"19720"
140,"19442"
141,"19812"
142,"19636"
143,"18682"
144,"18616"
145,"18893"
146,"20059"
147,"20809"
148,"20023"
149,"17757"
150,"14656"
151,"10991"
152,"8276"
153,"6057"
154,"5127"
155,"4919"
156,"4947"
157,"5243"
158,"5527"
159,"5649"
160,"5602"
161,"5366"
162,"5358"
163,"5734"
164,"6123"
165,"6369"
166,"6251"
167,"6060"
168,"5464"
169,"4815"
170,"4531"
171,"4125"
172,"3941"
173,"4073"
174,"4181"
175,"4599"
176,"5286"
177,"7065"
178,"10804"
179,"17995"
180,"29831"
181,"46464"
182,"65710"
183,"82689"
184,"92474"
185,"90594"
186,"77043"
187,"59104"
188,"40217"
189,"24818"
190,"14981"
191,"9078"
192,"6867"
193,"6088"
194,"6297"
195,"7264"
196,"9267"
197,"11891"
198,"14754"
199,"17211"
200,"18908"
201,"19134"
202,"17264"
203,"14813"
204,"11781"
205,"9470"
206,"7606"
207,"6936"
208,"6603"
209,"6547"
210,"6861"
211,"7029"
212,"7535"
213,"8134"
214,"9003"
215,"10580"
216,"13689"
217,"21249"
218,"37328"
219,"69182"
220,"127022"
221,"213632"
222,"328590"
223,"452011"
224,"551308"
225,"600120"
226,"580013"
227,"494108"
228,"375584"
229,"253145"
230,"152766"
231,"83905"
232,"42265"
233,"21243"
234,"11776"
235,"8460"
236,"7560"
237,"7833"
238,"9361"
239,"12424"
240,"17727"
241,"26881"
242,"39888"
243,"56908"
244,"74793"
245,"89932"
246,"98356"
247,"95560"
248,"83826"
249,"67049"
250,"48143"
251,"32058"
252,"19625"
253,"11921"
254,"7633"
255,"5545"
256,"4682"
257,"4127"
258,"4220"
259,"4156"
260,"4162"
261,"4247"
262,"4069"
263,"4164"
264,"4165"
265,"4324"
266,"4416"
267,"4305"
268,"4370"
269,"4428"
270,"4470"
271,"4499"
272,"4506"
273,"4655"
274,"4432"
275,"4470"
276,"4473"
277,"4524"
278,"4565"
279,"4506"
280,"4637"
281,"4644"
282,"4637"
283,"4637"
284,"4707"
285,"4679"
286,"4722"
287,"4828"
288,"4876"
289,"4980"
290,"5003"
291,"5053"
292,"5163"
293,"5211"
294,"5230"
295,"5354"
296,"5215"
297,"5138"
298,"5259"
299,"5120"
300,"5072"
301,"5071"
302,"5066"
303,"5194"
304,"5182"
305,"5301"
306,"5349"
307,"5429"
308,"5726"
309,"5640"
310,"5942"
311,"6215"
312,"6234"
313,"6918"
314,"7340"
315,"8217"
316,"9193"
317,"10088"
318,"10624"
319,"11115"
320,"11288"
321,"10431"
322,"9637"
323,"8656"
324,"7550"
325,"6917"
326,"6112"
327,"5770"
328,"5473"
329,"5433"
330,"5550"
331,"5340"
332,"5519"
333,"5459"
334,"5450"
335,"5487"
336,"5479"
337,"5423"
338,"5785"
339,"5700"
340,"5751"
341,"5939"
342,"5876"
343,"5965"
344,"6105"
345,"6084"
346,"6169"
347,"6165"
348,"6174"
349,"6145"
350,"6476"
351,"6525"
352,"6519"
353,"6821"
354,"6616"
355,"6776"
356,"7008"
357,"7196"
358,"7639"
359,"8116"
360,"8732"
361,"9459"
362,"10234"
363,"10780"
364,"11441"
365,"11830"
366,"11786"
367,"12272"
368,"12695"
369,"12976"
370,"13826"
371,"14340"
372,"14724"
373,"14330"
374,"13632"
375,"12456"
376,"10915"
377,"9349"
378,"7909"
379,"6670"
380,"5794"
381,"5358"
382,"5131"
383,"4968"
384,"4929"
385,"4937"
386,"4893"
387,"4988"
388,"4934"
389,"4933"
390,"4988"
391,"5134"
392,"5171"
393,"5171"
394,"5238"
395,"5374"
396,"5597"
397,"5715"
398,"6044"
399,"6366"
400,"6406"
401,"6603"
402,"6642"
403,"6530"
404,"6570"
405,"6411"
406,"6176"
407,"6168"
408,"6082"
409,"6288"
410,"6241"
411,"6335"
412,"6446"
413,"6196"
414,"5933"
415,"5803"
416,"5460"
417,"5322"
418,"5153"
419,"5000"
420,"4844"
421,"4820"
422,"4987"
423,"5347"
424,"5803"
425,"6491"
426,"7315"
427,"8656"
428,"10162"
429,"11145"
430,"12178"
431,"12274"
432,"12194"
433,"11314"
434,"10105"
435,"8965"
436,"7731"
437,"6607"
438,"5686"
439,"5275"
440,"4866"
441,"4737"
442,"4562"
443,"4618"
444,"4708"
445,"4777"
446,"4890"
447,"4970"
448,"5112"
449,"5128"
450,"5067"
451,"5170"
452,"5115"
453,"5032"
454,"4998"
455,"4835"
456,"4718"
457,"4629"
458,"4634"
459,"4520"
460,"4387"
461,"4339"
462,"4391"
463,"4309"
464,"4404"
465,"4384"
466,"4463"
467,"4539"
468,"4385"
469,"4576"
470,"4642"
471,"4719"
472,"4733"
473,"4925"
474,"5170"
475,"5197"
476,"5369"
477,"5368"
478,"5430"
479,"5376"
480,"5279"
481,"4992"
482,"4843"
483,"4616"
484,"4461"
485,"4383"
486,"4221"
487,"4270"
488,"4122"
489,"4070"
490,"4078"
491,"4111"
492,"4139"
493,"4131"
494,"4094"
495,"4051"
496,"4153"
497,"4135"
498,"4080"
499,"3974"
500,"4020"
501,"4063"
502,"4040"
503,"4018"
504,"3978"
505,"3937"
506,"3906"
507,"4097"
508,"4033"
509,"3943"
510,"3865"
511,"3861"
512,"3926"
513,"3838"
514,"4054"
515,"3875"
516,"3800"
517,"3836"
518,"4004"
519,"3880"
520,"3909"
521,"3783"
522,"3950"
523,"3944"
524,"3889"
525,"3879"
526,"3972"
527,"3922"
528,"3922"
529,"3926"
530,"3911"
531,"3811"
532,"3747"
533,"3830"
534,"3791"
535,"3659"
536,"3799"
537,"3730"
538,"3689"
539,"3723"
540,"3665"
541,"3676"
542,"3626"
543,"3513"
544,"3711"
545,"3623"
546,"3710"
547,"3702"
548,"3676"
549,"3500"
550,"3592"
551,"3463"
552,"3547"
553,"3548"
554,"3427"
555,"3531"
556,"3330"
557,"3537"
558,"3440"
559,"3557"
560,"3462"
561,"3335"
562,"3428"
563,"3529"
564,"3354"
565,"3380"
566,"3312"
567,"3333"
568,"3324"
569,"3299"
570,"3269"
571,"3333"
572,"3398"
573,"3267"
574,"3319"
575,"3203"
576,"3316"
577,"3171"
578,"3179"
579,"3210"
580,"3352"
581,"3183"
582,"3194"
583,"3180"
584,"3178"
585,"3189"
586,"3111"
587,"3219"
588,"3122"
589,"3070"
590,"3163"
591,"3130"
592,"3198"
593,"3275"
594,"3089"
595,"3154"
596,"3069"
597,"3166"
598,"3157"
599,"3027"
600,"3075"
601,"3072"
602,"3023"
603,"3074"
604,"2927"
605,"2926"
606,"2969"
607,"2881"
608,"2981"
609,"2908"
610,"3006"
611,"3048"
612,"2916"
613,"2844"
614,"2908"
615,"2972"
616,"2781"
617,"2847"
618,"2765"
619,"2881"
620,"2833"
621,"2869"
622,"2865"
623,"2867"
624,"2781"
625,"2761"
626,"2972"
627,"2895"
628,"2847"
629,"2807"
630,"2684"
631,"2682"
632,"2813"
633,"2781"
634,"2753"
635,"2708"
636,"2730"
637,"2638"
638,"2625"
639,"2645"
640,"2662"
641,"2651"
642,"2649"
643,"2592"
644,"2611"
645,"2567"
646,"2556"
647,"2538"
648,"2497"
649,"2445"
650,"2545"
651,"2524"
652,"2558"
653,"2572"
654,"2413"
655,"2447"
656,"2444"
657,"2497"
658,"2411"
659,"2399"
660,"2458"
661,"2367"
662,"2345"
663,"2396"
664,"2406"
665,"2345"
666,"2305"
667,"2379"
668,"2483"
669,"2278"
670,"2286"
671,"2295"
672,"2300"
673,"2247"
674,"2275"
675,"2272"
676,"2296"
677,"2231"
678,"2214"
679,"2168"
680,"2255"
681,"2247"
682,"2240"
683,"2164"
684,"2184"
685,"2142"
686,"2123"
687,"2198"
688,"2181"
689,"2112"
690,"2072"
691,"2074"
692,"2170"
693,"2097"
694,"2108"
695,"2169"
696,"2042"
697,"2086"
698,"2154"
699,"2197"
700,"2186"
701,"2188"
702,"2189"
703,"2173"
704,"2251"
705,"2204"
706,"2324"
707,"2258"
708,"2194"
709,"2196"
710,"2156"
711,"2191"
712,"2152"
713,"1965"
714,"1911"
715,"1983"
716,"1922"
717,"1916"
718,"1937"
719,"1963"
720,"1909"
721,"1870"
722,"1918"
723,"1931"
724,"1874"
725,"1910"
726,"1839"
727,"1908"
728,"1854"
729,"1835"
730,"1880"
731,"1908"
732,"1792"
733,"1840"
734,"1819"
735,"1781"
736,"1784"
737,"1784"
738,"1769"
739,"1784"
740,"1766"
741,"1808"
742,"1804"
743,"1776"
744,"1693"
745,"1714"
746,"1756"
747,"1733"
748,"1710"
749,"1740"
750,"1647"
751,"1627"
752,"1691"
753,"1760"
754,"1634"
755,"1628"
756,"1702"
757,"1700"
758,"1664"
759,"1697"
760,"1666"
761,"1632"
762,"1556"
763,"1677"
764,"1587"
765,"1632"
766,"1614"
767,"1563"
768,"1592"
769,"1613"
770,"1641"
771,"1562"
772,"1521"
773,"1551"
774,"1541"
