Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LA14"
Duration Time,300.686
Ambient Temperature,"111.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"10031780"
Raw Accumulated Counts,"10982929"
Valid Count Last Packet,"30742"
Raw Count Last Packet,"33389"
Live Time,274.943085
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0433
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"9297"
1,"7399"
2,"4646"
3,"2906"
4,"1343"
5,"351"
6,"53"
7,"12"
8,"5"
9,"5"
10,"7"
11,"3"
12,"3"
13,"3"
14,"2"
15,"2"
16,"2"
17,"2"
18,"0"
19,"2"
20,"0"
21,"0"
22,"1"
23,"1"
24,"0"
25,"1"
26,"2"
27,"1"
28,"1"
29,"0"
30,"1"
31,"26"
32,"297"
33,"925"
34,"1618"
35,"1922"
36,"2182"
37,"2182"
38,"2138"
39,"2173"
40,"2212"
41,"2230"
42,"2253"
43,"2325"
44,"2435"
45,"2403"
46,"2467"
47,"2342"
48,"2188"
49,"2236"
50,"2097"
51,"2162"
52,"2051"
53,"2134"
54,"2096"
55,"2159"
56,"2056"
57,"2031"
58,"1938"
59,"2010"
60,"2027"
61,"1977"
62,"1987"
63,"1872"
64,"1812"
65,"1802"
66,"1792"
67,"1794"
68,"1761"
69,"1787"
70,"1768"
71,"1746"
72,"1921"
73,"1900"
74,"1819"
75,"1843"
76,"1770"
77,"1799"
78,"1697"
79,"1708"
80,"1703"
81,"1940"
82,"2350"
83,"2942"
84,"4032"
85,"5403"
86,"6304"
87,"6442"
88,"5909"
89,"4755"
90,"3538"
91,"2661"
92,"2240"
93,"1949"
94,"1900"
95,"1862"
96,"1908"
97,"1953"
98,"1908"
99,"1930"
100,"1827"
101,"1761"
102,"1846"
103,"1763"
104,"1700"
105,"1787"
106,"1755"
107,"1815"
108,"1862"
109,"1983"
110,"2420"
111,"2979"
112,"3887"
113,"4871"
114,"5777"
115,"6357"
116,"6204"
117,"5573"
118,"4493"
119,"3780"
120,"3271"
121,"2897"
122,"2893"
123,"3072"
124,"3321"
125,"3992"
126,"5584"
127,"8081"
128,"12019"
129,"17081"
130,"22191"
131,"26318"
132,"29353"
133,"30362"
134,"29846"
135,"27391"
136,"23683"
137,"19710"
138,"16934"
139,"16587"
140,"16838"
141,"17655"
142,"18082"
143,"17715"
144,"17213"
145,"17531"
146,"17945"
147,"18596"
148,"18267"
149,"15946"
150,"13157"
151,"10137"
152,"7116"
153,"5239"
154,"4162"
155,"3844"
156,"3644"
157,"3857"
158,"3903"
159,"4056"
160,"3966"
161,"3736"
162,"3797"
163,"4014"
164,"4228"
165,"4610"
166,"4586"
167,"4455"
168,"3942"
169,"3581"
170,"3147"
171,"2830"
172,"2603"
173,"2585"
174,"2629"
175,"2596"
176,"2993"
177,"3546"
178,"4584"
179,"6525"
180,"9599"
181,"14259"
182,"19718"
183,"24452"
184,"27188"
