Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LUK0654"
Duration Time,300.377
Ambient Temperature,"115.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"9291587"
Raw Accumulated Counts,"10073196"
Valid Count Last Packet,"28882"
Raw Count Last Packet,"31515"
Live Time,277.141998
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0462
Number of Channels,2048
Vacuum,680
Channel#,Intensity
0,"9650"
1,"7561"
2,"4581"
3,"2684"
4,"1185"
5,"274"
6,"33"
7,"13"
8,"3"
9,"2"
10,"5"
11,"2"
12,"1"
13,"2"
14,"0"
15,"2"
16,"0"
17,"2"
18,"0"
19,"0"
20,"1"
21,"0"
22,"1"
23,"0"
24,"0"
25,"1"
26,"0"
27,"2"
28,"0"
29,"0"
30,"1"
31,"17"
32,"209"
33,"734"
34,"1132"
35,"1496"
36,"1635"
37,"1703"
38,"1608"
39,"1681"
40,"1734"
41,"1765"
42,"1837"
43,"1810"
44,"1909"
45,"1979"
46,"1974"
47,"1907"
48,"1856"
49,"1890"
50,"1761"
51,"1836"
52,"1750"
53,"1756"
54,"1764"
55,"1827"
56,"1775"
57,"1738"
58,"1765"
59,"1811"
60,"1832"
61,"1740"
62,"1754"
63,"1669"
64,"1600"
65,"1569"
66,"1469"
67,"1581"
68,"1442"
69,"1586"
70,"1545"
71,"1610"
72,"1607"
73,"1697"
74,"1698"
75,"1738"
76,"1549"
77,"1580"
78,"1573"
79,"1559"
80,"1523"
81,"1552"
82,"1596"
83,"1725"
84,"1901"
85,"2086"
86,"2336"
87,"2331"
88,"2253"
89,"2130"
90,"2083"
91,"2069"
92,"2269"
93,"2782"
94,"3528"
95,"4308"
96,"5175"
97,"5560"
98,"5187"
99,"4574"
100,"3677"
101,"2878"
102,"2398"
103,"2018"
104,"2031"
105,"1910"
106,"1894"
107,"2056"
108,"2143"
109,"2233"
110,"2449"
111,"2813"
112,"3132"
113,"3481"
114,"3601"
115,"3748"
116,"3700"
117,"3614"
118,"3357"
119,"3045"
120,"3075"
121,"2939"
122,"2946"
123,"3050"
124,"3439"
125,"4250"
126,"5537"
127,"7727"
128,"11343"
129,"15765"
130,"20336"
131,"24663"
132,"27478"
133,"28913"
134,"28349"
135,"26231"
136,"22990"
137,"19741"
138,"17849"
139,"17624"
140,"18698"
141,"19643"
142,"19972"
143,"19546"
144,"19169"
145,"19611"
146,"20310"
147,"20879"
148,"20149"
149,"17743"
150,"14665"
151,"11234"
152,"8343"
153,"6409"
154,"5532"
155,"5077"
156,"5111"
157,"5287"
158,"5450"
159,"5472"
160,"5492"
161,"5172"
162,"5115"
163,"5095"
164,"5101"
165,"5280"
166,"5383"
167,"5182"
168,"5235"
169,"5231"
170,"5336"
171,"5251"
172,"5559"
173,"5773"
174,"6592"
175,"7862"
176,"10911"
177,"18203"
178,"33846"
179,"63500"
180,"113451"
181,"182668"
182,"263440"
183,"332354"
184,"368177"
185,"359977"
186,"305819"
187,"228177"
188,"149155"
189,"87436"
190,"45717"
191,"23024"
192,"12989"
193,"9912"
194,"10892"
195,"15394"
196,"22859"
197,"33548"
198,"45923"
199,"56963"
200,"62998"
201,"61687"
202,"54039"
203,"42318"
204,"29492"
205,"18714"
206,"11154"
207,"6830"
208,"4646"
209,"3596"
210,"3240"
211,"2977"
212,"2877"
213,"2955"
214,"2926"
215,"3037"
216,"3048"
217,"3084"
218,"3205"
219,"3473"
220,"3586"
221,"3753"
222,"3890"
223,"4069"
224,"4366"
225,"4257"
226,"4370"
227,"4050"
228,"3828"
229,"3651"
230,"3569"
231,"3416"
232,"3417"
233,"3399"
234,"3441"
235,"3498"
236,"3482"
237,"3641"
238,"3534"
239,"3763"
240,"3848"
241,"3871"
242,"4015"
243,"3903"
244,"4183"
245,"4049"
246,"4086"
247,"4104"
248,"4194"
249,"4098"
250,"3952"
251,"4086"
252,"4137"
253,"4058"
254,"4106"
255,"4225"
256,"4322"
257,"4302"
258,"4234"
259,"4304"
260,"4347"
261,"4401"
262,"4347"
263,"4427"
264,"4470"
265,"4491"
266,"4443"
267,"4687"
268,"4693"
269,"4574"
270,"4739"
271,"4837"
272,"4791"
273,"4816"
274,"4875"
275,"4732"
276,"4904"
277,"5050"
278,"4924"
279,"5004"
280,"4922"
281,"4940"
282,"4969"
283,"5023"
284,"5136"
285,"5124"
286,"5110"
287,"5242"
288,"5348"
289,"5491"
290,"5417"
291,"5546"
292,"5501"
293,"5559"
294,"5751"
295,"5831"
296,"5715"
297,"5631"
298,"5699"
299,"5713"
300,"5516"
301,"5548"
302,"5526"
303,"5657"
304,"5612"
305,"5861"
306,"5830"
307,"6014"
308,"6108"
309,"6244"
310,"6457"
311,"7176"
312,"7354"
313,"8141"
314,"8725"
315,"9927"
316,"11434"
317,"12836"
318,"13955"
319,"14711"
320,"14515"
321,"13935"
322,"12352"
323,"10696"
324,"9227"
325,"8081"
326,"7205"
327,"6548"
328,"6255"
329,"6103"
330,"5927"
331,"5937"
332,"5990"
333,"5831"
334,"6020"
335,"6047"
336,"6009"
337,"6241"
338,"6088"
339,"6361"
340,"6390"
341,"6652"
342,"6725"
343,"6874"
344,"6981"
345,"7293"
346,"7398"
347,"7454"
348,"7613"
349,"7646"
350,"7683"
351,"7958"
352,"7881"
353,"8110"
354,"8179"
355,"8319"
356,"8543"
357,"8883"
358,"9068"
359,"9757"
360,"10748"
361,"11338"
362,"12314"
363,"12751"
364,"13672"
365,"14436"
366,"14865"
367,"15410"
368,"16030"
369,"17136"
370,"18661"
371,"19137"
372,"19797"
373,"19722"
374,"18991"
375,"16960"
376,"14896"
377,"12458"
378,"10805"
379,"8909"
380,"7904"
381,"7358"
382,"6768"
383,"6574"
384,"6452"
385,"6357"
386,"6399"
387,"6417"
388,"6465"
389,"6454"
390,"6555"
391,"7133"
392,"7542"
393,"8705"
394,"10858"
395,"14470"
396,"18917"
397,"25799"
398,"33373"
399,"40992"
400,"47294"
401,"50909"
402,"51068"
403,"47626"
404,"41486"
405,"34189"
406,"26732"
407,"20135"
408,"14984"
409,"11588"
410,"9365"
411,"8207"
412,"7585"
413,"7208"
414,"7009"
415,"6559"
416,"6449"
417,"6186"
418,"5891"
419,"5834"
420,"5778"
421,"5616"
422,"5604"
423,"5577"
424,"5615"
425,"5506"
426,"5745"
427,"5761"
428,"5806"
429,"5826"
430,"6018"
431,"5938"
432,"6036"
433,"5891"
434,"6155"
435,"6000"
436,"6476"
437,"6662"
438,"7056"
439,"7783"
440,"8818"
441,"10050"
442,"11009"
443,"11827"
444,"12513"
445,"12492"
446,"12374"
447,"11243"
448,"10191"
449,"9057"
450,"7953"
451,"7226"
452,"6459"
453,"6157"
454,"5729"
455,"5628"
456,"5680"
457,"5537"
458,"5540"
459,"5666"
460,"5709"
461,"5646"
462,"5653"
463,"5669"
464,"5726"
465,"5644"
466,"5672"
467,"5787"
468,"5686"
469,"5676"
470,"5803"
471,"5613"
472,"5807"
473,"5745"
474,"5849"
475,"5662"
476,"5823"
477,"5947"
478,"5953"
479,"5851"
480,"5909"
481,"5792"
482,"5827"
483,"5792"
484,"5912"
485,"5874"
486,"5871"
487,"5833"
488,"5787"
489,"5684"
490,"5789"
491,"5718"
492,"5714"
493,"5682"
494,"5835"
495,"5564"
496,"5660"
497,"5741"
498,"5655"
499,"5642"
500,"5630"
501,"5566"
502,"5670"
503,"5605"
504,"5598"
505,"5732"
506,"5583"
507,"5583"
508,"5663"
509,"5617"
510,"5575"
511,"5574"
512,"5663"
513,"5568"
514,"5535"
515,"5543"
516,"5557"
517,"5697"
518,"5520"
519,"5557"
520,"5506"
521,"5576"
522,"5519"
523,"5485"
524,"5646"
525,"5713"
526,"5554"
527,"5551"
528,"5595"
529,"5671"
530,"5604"
531,"5571"
532,"5684"
533,"5565"
534,"5599"
535,"5474"
536,"5429"
537,"5474"
538,"5435"
539,"5594"
540,"5495"
541,"5567"
542,"5552"
543,"5568"
544,"5448"
545,"5622"
546,"5380"
547,"5554"
548,"5538"
549,"5484"
550,"5545"
551,"5438"
552,"5467"
553,"5317"
554,"5517"
555,"5412"
556,"5504"
557,"5488"
558,"5518"
559,"5397"
560,"5394"
561,"5326"
562,"5398"
563,"5419"
564,"5386"
565,"5309"
566,"5413"
567,"5352"
568,"5342"
569,"5401"
570,"5353"
571,"5319"
572,"5404"
573,"5316"
574,"5416"
575,"5367"
576,"5402"
577,"5355"
578,"5326"
579,"5434"
580,"5416"
581,"5309"
582,"5270"
583,"5375"
584,"5418"
585,"5319"
586,"5400"
587,"5489"
588,"5438"
589,"5676"
590,"5606"
591,"5953"
592,"6061"
593,"5951"
594,"6090"
595,"5995"
596,"6092"
597,"5850"
598,"5804"
599,"5819"
600,"5633"
601,"5539"
602,"5390"
603,"5445"
604,"5380"
605,"5242"
606,"5150"
607,"5196"
608,"5020"
609,"5230"
610,"5135"
611,"5101"
612,"5058"
613,"5075"
614,"5113"
615,"5058"
616,"5172"
617,"5037"
618,"5071"
619,"5090"
620,"4996"
621,"5095"
622,"4942"
623,"4840"
624,"5066"
625,"4965"
626,"5107"
627,"5109"
628,"4976"
629,"5057"
630,"5084"
631,"5013"
632,"5075"
633,"5008"
634,"5055"
635,"4922"
636,"4868"
637,"4970"
638,"4986"
639,"4926"
640,"4983"
641,"4887"
642,"4840"
643,"4807"
644,"4746"
645,"4867"
646,"4946"
647,"4721"
648,"4906"
649,"4770"
650,"4816"
651,"4941"
652,"4827"
653,"4783"
654,"4834"
655,"4797"
656,"4622"
657,"4749"
658,"4722"
659,"4813"
660,"4911"
661,"4900"
662,"4719"
663,"4754"
664,"4798"
665,"4783"
666,"4818"
667,"4773"
668,"4736"
669,"4647"
670,"4717"
671,"4711"
672,"4596"
673,"4608"
674,"4457"
675,"4638"
676,"4717"
677,"4624"
678,"4539"
679,"4568"
680,"4481"
681,"4538"
682,"4583"
683,"4534"
684,"4418"
685,"4398"
686,"4367"
687,"4591"
688,"4493"
689,"4364"
690,"4421"
691,"4436"
692,"4515"
693,"4541"
694,"4679"
695,"4662"
696,"4850"
697,"5045"
698,"5513"
699,"5769"
700,"6435"
701,"6973"
702,"7530"
703,"8146"
704,"8724"
705,"9079"
706,"9236"
707,"9407"
708,"8974"
709,"8361"
710,"7966"
711,"7106"
712,"6534"
713,"5970"
714,"5445"
715,"5060"
716,"4628"
717,"4401"
718,"4493"
719,"4269"
720,"4121"
721,"4168"
722,"4057"
723,"4201"
724,"4129"
725,"4010"
726,"4089"
727,"4180"
728,"4071"
729,"4076"
730,"3989"
731,"4190"
732,"3977"
733,"4106"
734,"4027"
735,"3994"
736,"4040"
737,"4067"
738,"4072"
739,"3972"
740,"3946"
741,"4078"
742,"4027"
743,"3960"
744,"4054"
745,"3977"
746,"3862"
747,"3954"
748,"3963"
749,"3969"
750,"3997"
751,"3825"
752,"3875"
753,"3927"
754,"3948"
755,"3887"
756,"3820"
757,"3855"
758,"3777"
759,"3802"
760,"3701"
761,"3831"
762,"3747"
763,"3654"
764,"3731"
765,"3730"
766,"3739"
767,"3847"
768,"3721"
769,"3802"
770,"3647"
771,"3708"
772,"3762"
773,"3665"
774,"3663"
775,"3732"
776,"3642"
777,"3660"
778,"3708"
779,"3801"
780,"3699"
781,"3700"
782,"3836"
783,"3823"
784,"3836"
785,"3980"
786,"4071"
787,"4016"
788,"4220"
789,"4282"
790,"4264"
791,"4464"
792,"4210"
793,"4204"
794,"3985"
795,"3935"
796,"3877"
797,"3806"
798,"3724"
799,"3698"
800,"3634"
801,"3661"
802,"3539"
803,"3566"
804,"3435"
805,"3416"
806,"3470"
807,"3454"
808,"3368"
809,"3429"
810,"3284"
811,"3324"
812,"3149"
813,"3309"
814,"3362"
815,"3288"
816,"3377"
817,"3342"
