Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM391"
Duration Time,300.779
Ambient Temperature,"106.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"6913716"
Raw Accumulated Counts,"7341032"
Valid Count Last Packet,"21254"
Raw Count Last Packet,"22660"
Live Time,283.890808
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0262
Number of Channels,2048
Vacuum,690
Channel#,Intensity
0,"9699"
1,"7786"
2,"4696"
3,"2740"
4,"1146"
5,"313"
6,"52"
7,"5"
8,"5"
9,"2"
10,"0"
11,"7"
12,"2"
13,"3"
14,"1"
15,"1"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"2"
24,"0"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"0"
31,"9"
32,"145"
33,"564"
34,"945"
35,"1159"
36,"1295"
37,"1331"
38,"1323"
39,"1373"
40,"1304"
41,"1300"
42,"1317"
43,"1345"
44,"1425"
45,"1374"
46,"1420"
47,"1453"
48,"1489"
49,"1355"
50,"1380"
51,"1377"
52,"1356"
53,"1300"
54,"1429"
55,"1329"
56,"1320"
57,"1324"
58,"1271"
59,"1350"
60,"1340"
61,"1371"
62,"1338"
63,"1284"
64,"1172"
65,"1077"
66,"1115"
67,"1147"
68,"1108"
69,"1100"
70,"1228"
71,"1230"
72,"1292"
73,"1371"
74,"1399"
75,"1389"
76,"1344"
77,"1255"
78,"1235"
79,"1258"
80,"1315"
81,"1279"
82,"1313"
83,"1587"
84,"1884"
85,"2242"
86,"2660"
87,"2657"
88,"2468"
89,"2139"
90,"1811"
91,"1506"
92,"1392"
93,"1278"
94,"1258"
95,"1246"
96,"1283"
97,"1301"
98,"1371"
99,"1363"
100,"1406"
101,"1375"
102,"1372"
103,"1344"
104,"1335"
105,"1361"
106,"1386"
107,"1479"
108,"1598"
109,"1978"
110,"2851"
111,"4289"
112,"6444"
113,"9165"
114,"11741"
115,"12935"
116,"12587"
117,"10604"
118,"7914"
119,"5420"
120,"4081"
121,"3288"
122,"3090"
123,"3158"
124,"3079"
125,"2908"
126,"2992"
127,"3170"
128,"3698"
129,"5115"
130,"7283"
131,"10539"
132,"14411"
133,"18383"
134,"20854"
135,"21417"
136,"19749"
137,"17242"
138,"15163"
139,"14435"
140,"14909"
141,"16290"
142,"16525"
143,"17037"
144,"17018"
145,"17565"
146,"18872"
147,"19505"
148,"18947"
149,"17039"
150,"13769"
151,"10483"
152,"7244"
153,"5214"
154,"4046"
155,"3634"
156,"3619"
157,"3751"
158,"4112"
159,"4488"
160,"4949"
161,"6275"
162,"8084"
163,"10686"
164,"13128"
165,"15159"
166,"15234"
167,"13532"
168,"11005"
169,"8011"
170,"5545"
