Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LP009"
Duration Time,300.084
Ambient Temperature,"100.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15446887"
Raw Accumulated Counts,"17839769"
Valid Count Last Packet,"48156"
Raw Count Last Packet,"55658"
Live Time,259.319824
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0582
Number of Channels,2048
Vacuum,974
Channel#,Intensity
0,"8817"
1,"6882"
2,"4671"
3,"3101"
4,"1540"
5,"371"
6,"49"
7,"12"
8,"12"
9,"3"
10,"6"
11,"3"
12,"5"
13,"2"
14,"4"
15,"5"
16,"1"
17,"1"
18,"1"
19,"1"
20,"5"
21,"1"
22,"0"
23,"1"
24,"1"
25,"2"
26,"1"
27,"3"
28,"2"
29,"2"
30,"6"
31,"44"
32,"451"
33,"1373"
34,"2309"
35,"2715"
36,"2975"
37,"2872"
38,"3063"
39,"2969"
40,"3013"
41,"2986"
42,"2988"
43,"3097"
44,"3007"
45,"3168"
46,"3134"
47,"3319"
48,"3216"
49,"3140"
50,"3232"
51,"3107"
52,"3109"
53,"3159"
54,"3145"
55,"3181"
56,"3119"
57,"3054"
58,"3089"
59,"3120"
60,"3095"
61,"3072"
62,"3021"
63,"2993"
64,"2877"
65,"2970"
66,"2791"
67,"2925"
68,"2730"
69,"2954"
70,"2852"
71,"2923"
72,"3082"
73,"3102"
74,"2979"
75,"3060"
76,"2936"
77,"2913"
78,"2880"
79,"2757"
80,"2852"
81,"2822"
82,"2823"
83,"2882"
84,"3122"
85,"3259"
86,"3584"
87,"3639"
88,"3561"
89,"3753"
90,"3701"
91,"4188"
92,"5077"
93,"6633"
94,"8692"
95,"11461"
96,"13401"
97,"14659"
98,"13784"
99,"11443"
100,"8862"
101,"6281"
102,"4990"
103,"4171"
104,"3818"
105,"3688"
106,"3829"
107,"3900"
108,"4093"
109,"4371"
110,"4927"
111,"5625"
112,"6269"
113,"6731"
114,"7048"
115,"6988"
116,"6629"
117,"6031"
118,"5343"
119,"5118"
120,"4858"
121,"4804"
122,"4797"
123,"4722"
124,"4862"
125,"5169"
126,"5551"
127,"5942"
128,"6958"
129,"8336"
130,"10640"
131,"14133"
132,"17672"
133,"21270"
134,"23111"
135,"23350"
136,"21859"
137,"19507"
138,"18113"
139,"17444"
140,"18661"
141,"19702"
142,"20357"
143,"20690"
144,"20533"
145,"20898"
146,"21886"
147,"22376"
148,"21881"
149,"19875"
150,"17038"
151,"14031"
152,"11193"
153,"9646"
154,"8762"
155,"8623"
156,"8773"
157,"8932"
158,"9287"
159,"9550"
160,"9588"
161,"9669"
162,"9845"
163,"10230"
164,"10356"
165,"10850"
166,"11136"
167,"11009"
168,"11206"
169,"11307"
170,"11526"
171,"11919"
172,"12979"
173,"14302"
174,"16469"
175,"21123"
176,"31175"
177,"54553"
178,"104753"
179,"198473"
180,"354881"
181,"564950"
182,"802231"
183,"1001545"
184,"1102172"
185,"1056255"
186,"890049"
187,"655409"
188,"425661"
189,"244229"
190,"126779"
191,"61905"
192,"33044"
193,"24355"
194,"28445"
195,"41773"
196,"64981"
197,"96401"
198,"131491"
199,"161462"
200,"177871"
201,"172633"
202,"148802"
203,"114108"
204,"76606"
205,"47103"
206,"26070"
207,"13796"
208,"7564"
209,"4789"
210,"3589"
211,"3233"
212,"3102"
213,"3134"
214,"3124"
215,"3052"
216,"3178"
217,"3189"
218,"3176"
219,"3375"
220,"3441"
221,"3693"
222,"3803"
223,"3986"
224,"4016"
225,"4077"
226,"4056"
227,"3950"
228,"3766"
229,"3655"
230,"3550"
231,"3435"
232,"3472"
233,"3471"
234,"3476"
235,"3586"
236,"3451"
237,"3553"
238,"3504"
239,"3652"
240,"3585"
241,"3649"
242,"3587"
243,"3712"
244,"3751"
245,"3781"
246,"3719"
247,"3812"
248,"3768"
249,"3750"
250,"3867"
251,"3760"
252,"3696"
253,"3761"
254,"3812"
255,"3823"
256,"3839"
257,"3853"
258,"3913"
259,"3908"
260,"3883"
261,"3872"
262,"3949"
263,"3914"
264,"4018"
265,"4101"
266,"4165"
267,"4196"
268,"4232"
269,"4347"
270,"4447"
271,"4218"
272,"4461"
273,"4399"
274,"4473"
275,"4409"
276,"4420"
277,"4473"
278,"4481"
279,"4615"
280,"4757"
281,"4723"
282,"4746"
283,"4748"
284,"4731"
285,"4848"
286,"4853"
287,"4858"
288,"5114"
289,"5364"
290,"5605"
291,"5998"
292,"6361"
293,"6641"
294,"6736"
295,"6618"
296,"6487"
297,"6262"
298,"6073"
299,"5704"
300,"5579"
301,"5321"
302,"5223"
303,"5433"
304,"5369"
305,"5351"
306,"5597"
307,"5591"
308,"5542"
309,"5952"
310,"5970"
311,"6395"
312,"6732"
313,"7577"
314,"8880"
315,"10224"
316,"11899"
317,"13773"
318,"15025"
319,"15443"
320,"15652"
321,"14650"
322,"13118"
323,"11225"
324,"9392"
325,"8132"
326,"7118"
327,"6458"
328,"6096"
329,"5922"
330,"5737"
331,"5871"
332,"5816"
333,"5856"
334,"5803"
335,"5882"
336,"6012"
337,"6046"
338,"6170"
339,"6223"
340,"6271"
341,"6312"
342,"6383"
343,"6617"
344,"6937"
345,"6947"
346,"7060"
347,"7174"
348,"7491"
349,"7671"
350,"7904"
351,"8159"
352,"8185"
353,"8149"
354,"8271"
355,"8139"
356,"8404"
357,"8425"
358,"8758"
359,"9298"
360,"9877"
361,"10513"
362,"11595"
363,"12368"
364,"13147"
365,"14092"
366,"15112"
367,"16242"
368,"17505"
369,"18691"
370,"19412"
371,"20141"
372,"19886"
373,"19532"
374,"17944"
375,"15928"
376,"13656"
377,"11348"
378,"9451"
379,"8055"
380,"7100"
381,"6745"
382,"6392"
383,"6326"
384,"6418"
385,"6300"
386,"6430"
387,"6168"
388,"5997"
389,"6054"
390,"5619"
391,"5638"
392,"5624"
393,"5690"
394,"5726"
395,"6098"
396,"6248"
397,"6491"
398,"6855"
399,"7352"
400,"7562"
401,"7769"
402,"7817"
403,"7704"
404,"7297"
405,"7017"
406,"6777"
407,"6687"
408,"6483"
409,"6443"
410,"6645"
411,"6711"
412,"6562"
413,"6426"
414,"6527"
415,"6288"
416,"5870"
417,"5631"
418,"5431"
419,"5385"
420,"5313"
421,"5273"
422,"5179"
423,"5284"
424,"5404"
425,"5292"
426,"5443"
427,"5504"
428,"5575"
429,"5674"
430,"5796"
431,"5739"
432,"5879"
433,"5642"
434,"5729"
435,"5542"
436,"5601"
437,"5541"
438,"5531"
439,"5488"
440,"5540"
441,"5675"
442,"5555"
443,"5755"
444,"5718"
445,"5710"
446,"5648"
447,"5734"
448,"5665"
449,"5648"
450,"5676"
451,"5519"
452,"5489"
453,"5678"
454,"5658"
455,"5561"
456,"5532"
457,"5473"
458,"5628"
459,"5719"
460,"5644"
461,"5655"
462,"5665"
463,"5655"
464,"5674"
465,"5554"
466,"5586"
467,"5697"
468,"5661"
469,"5568"
470,"5579"
471,"5683"
472,"5624"
473,"5622"
474,"5791"
475,"5601"
476,"5783"
477,"5627"
478,"5675"
479,"5672"
480,"5594"
481,"5646"
482,"5672"
483,"5783"
484,"5705"
485,"5788"
486,"5573"
487,"5537"
488,"5547"
489,"5552"
490,"5708"
491,"5680"
492,"5572"
493,"5690"
494,"5507"
495,"5601"
496,"5672"
497,"5629"
498,"5656"
499,"5591"
500,"5635"
501,"5755"
502,"5594"
503,"5633"
504,"5649"
505,"5579"
506,"5702"
507,"5679"
508,"5656"
509,"5574"
510,"5604"
511,"5552"
512,"5555"
513,"5682"
514,"5650"
515,"5599"
516,"5624"
517,"5561"
518,"5569"
519,"5585"
520,"5646"
521,"5655"
522,"5769"
523,"5529"
524,"5690"
525,"5651"
526,"5708"
527,"5724"
528,"5691"
529,"5724"
530,"5616"
531,"5744"
532,"5696"
533,"5520"
534,"5487"
535,"5564"
536,"5611"
537,"5501"
538,"5670"
539,"5495"
540,"5600"
541,"5564"
542,"5456"
543,"5566"
544,"5493"
545,"5589"
546,"5471"
547,"5501"
548,"5521"
549,"5367"
550,"5532"
551,"5570"
552,"5571"
553,"5553"
554,"5475"
555,"5455"
556,"5543"
557,"5466"
558,"5415"
559,"5352"
560,"5442"
561,"5560"
562,"5368"
563,"5444"
564,"5574"
565,"5349"
566,"5320"
567,"5296"
568,"5431"
569,"5422"
570,"5465"
571,"5403"
572,"5337"
573,"5413"
574,"5385"
575,"5454"
576,"5282"
577,"5484"
578,"5334"
579,"5355"
580,"5418"
581,"5320"
582,"5558"
583,"5373"
584,"5331"
585,"5370"
586,"5473"
587,"5426"
588,"5406"
589,"5335"
590,"5438"
591,"5434"
592,"5552"
593,"5482"
594,"5329"
595,"5366"
596,"5344"
597,"5331"
598,"5329"
599,"5359"
600,"5222"
601,"5429"
602,"5481"
603,"5206"
604,"5301"
605,"5295"
606,"5381"
607,"5380"
608,"5259"
609,"5321"
610,"5244"
611,"5264"
612,"5318"
613,"5311"
614,"5344"
615,"5185"
616,"5187"
617,"5229"
618,"5342"
619,"5266"
620,"5156"
621,"5108"
622,"5318"
623,"5385"
624,"5313"
625,"5178"
626,"5241"
627,"5271"
628,"5246"
629,"5313"
630,"5353"
631,"5270"
632,"5349"
633,"5242"
634,"5223"
635,"5122"
636,"5122"
637,"5109"
638,"5241"
639,"5213"
640,"5048"
641,"5167"
642,"5152"
643,"4975"
644,"5022"
645,"5001"
646,"5105"
647,"4931"
648,"4975"
649,"4897"
650,"4921"
651,"5048"
652,"4897"
653,"5002"
654,"5055"
655,"5024"
656,"5061"
657,"4963"
658,"5065"
659,"4840"
660,"4911"
661,"4944"
662,"4892"
663,"4940"
664,"4942"
665,"4905"
666,"4939"
667,"4845"
668,"5071"
669,"4876"
670,"4863"
671,"4848"
672,"4962"
673,"4857"
674,"4912"
675,"4864"
676,"4792"
677,"4733"
678,"4772"
679,"4810"
680,"4857"
681,"4758"
682,"4792"
683,"4779"
684,"4905"
685,"4638"
686,"4694"
687,"4843"
688,"4673"
689,"4819"
690,"4887"
691,"4793"
692,"4867"
693,"4952"
694,"5025"
695,"5104"
696,"5419"
697,"5715"
698,"6514"
699,"7072"
700,"7986"
701,"9011"
702,"9898"
703,"10877"
704,"11587"
705,"12112"
706,"12236"
707,"12076"
708,"11582"
709,"10782"
710,"9757"
711,"8705"
712,"7672"
713,"6860"
714,"6120"
715,"5574"
716,"5219"
717,"4923"
718,"4685"
719,"4604"
720,"4629"
721,"4453"
722,"4452"
723,"4417"
724,"4451"
725,"4410"
726,"4310"
727,"4383"
728,"4532"
729,"4455"
730,"4372"
731,"4389"
