Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LUK0682"
Duration Time,300.521
Ambient Temperature,"116.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"11431545"
Raw Accumulated Counts,"12658352"
Valid Count Last Packet,"35616"
Raw Count Last Packet,"39369"
Live Time,271.245819
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.049
Number of Channels,2048
Vacuum,690
Channel#,Intensity
0,"9263"
1,"7427"
2,"4758"
3,"2808"
4,"1222"
5,"277"
6,"47"
7,"17"
8,"6"
9,"5"
10,"5"
11,"5"
12,"3"
13,"3"
14,"0"
15,"1"
16,"2"
17,"0"
18,"1"
19,"0"
20,"2"
21,"1"
22,"1"
23,"3"
24,"1"
25,"0"
26,"1"
27,"0"
28,"1"
29,"0"
30,"2"
31,"18"
32,"237"
33,"916"
34,"1491"
35,"1726"
36,"1958"
37,"2017"
38,"2032"
39,"2031"
40,"1971"
41,"1990"
42,"2033"
43,"2089"
44,"2061"
45,"2140"
46,"2238"
47,"2195"
48,"2201"
49,"2189"
50,"2096"
51,"2074"
52,"2099"
53,"2197"
54,"2132"
55,"2186"
56,"2174"
57,"2061"
58,"2156"
59,"2085"
60,"2145"
61,"2177"
62,"2066"
63,"2010"
64,"1993"
65,"1915"
66,"1936"
67,"1826"
68,"1862"
69,"1888"
70,"2032"
71,"1939"
72,"2052"
73,"2008"
74,"2119"
75,"2000"
76,"2051"
77,"1998"
78,"1931"
79,"1806"
80,"1777"
81,"1890"
82,"1888"
83,"2019"
84,"2385"
85,"2495"
86,"2573"
87,"2676"
88,"2639"
89,"2629"
90,"2628"
91,"2784"
92,"3146"
93,"3728"
94,"5245"
95,"6724"
96,"8465"
97,"9861"
98,"10262"
99,"10018"
100,"9047"
101,"7728"
102,"6240"
103,"4942"
104,"3866"
105,"3265"
106,"3008"
107,"2817"
108,"2828"
109,"2913"
110,"3210"
111,"3460"
112,"4006"
113,"4403"
114,"4699"
115,"4767"
116,"4576"
117,"4133"
118,"3834"
119,"3566"
120,"3373"
121,"3210"
122,"3213"
123,"3235"
124,"3367"
125,"3610"
126,"3871"
127,"4434"
128,"5455"
129,"6889"
130,"9360"
131,"12792"
132,"16912"
133,"20685"
134,"23115"
135,"23408"
136,"21492"
137,"18621"
138,"16953"
139,"16209"
140,"16759"
141,"18002"
142,"18541"
143,"18364"
144,"18527"
145,"19072"
146,"20246"
147,"20605"
148,"20480"
149,"18429"
150,"15284"
151,"11966"
152,"9252"
153,"7354"
154,"6306"
155,"5939"
