Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"FA16"
Duration Time,300.112
Ambient Temperature,"111.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"11591636"
Raw Accumulated Counts,"12844573"
Valid Count Last Packet,"35640"
Raw Count Last Packet,"39579"
Live Time,270.928070
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0173
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"9245"
1,"7378"
2,"4614"
3,"2725"
4,"1206"
5,"304"
6,"39"
7,"17"
8,"6"
9,"7"
10,"4"
11,"2"
12,"2"
13,"0"
14,"5"
15,"5"
16,"0"
17,"5"
18,"1"
19,"0"
20,"0"
21,"3"
22,"0"
23,"1"
24,"1"
25,"0"
26,"0"
27,"0"
28,"0"
29,"0"
30,"3"
31,"20"
32,"198"
33,"736"
34,"1211"
35,"1606"
36,"1729"
37,"1837"
38,"1837"
39,"1744"
40,"1788"
41,"1797"
42,"1779"
43,"1830"
44,"1835"
45,"1929"
46,"1957"
47,"1922"
48,"1972"
49,"1848"
50,"1783"
51,"1855"
52,"1780"
53,"1885"
54,"1825"
55,"1798"
56,"1817"
57,"1713"
58,"1829"
59,"1699"
60,"1752"
61,"1713"
62,"1763"
63,"1755"
64,"1627"
65,"1614"
66,"1572"
67,"1511"
68,"1577"
69,"1584"
70,"1609"
71,"1572"
72,"1673"
73,"1748"
74,"1733"
75,"1677"
76,"1583"
77,"1580"
78,"1491"
79,"1538"
80,"1486"
81,"1540"
82,"1521"
83,"1594"
84,"1686"
85,"1776"
86,"1821"
87,"1854"
88,"1850"
89,"1801"
90,"1762"
91,"1749"
92,"1889"
93,"2257"
94,"2645"
95,"3281"
96,"3719"
97,"4152"
98,"3952"
99,"3643"
100,"3041"
101,"2565"
102,"2172"
103,"2032"
104,"1854"
105,"1882"
106,"1858"
107,"1886"
108,"1988"
109,"2132"
110,"2498"
111,"2927"
112,"3595"
113,"4464"
114,"5199"
115,"5499"
116,"5428"
117,"4852"
118,"4160"
119,"3448"
120,"3085"
121,"2945"
122,"2914"
123,"2941"
124,"3034"
125,"3259"
126,"4109"
127,"5113"
128,"6732"
129,"9345"
130,"12226"
131,"15564"
132,"19134"
133,"22025"
134,"23699"
135,"23215"
136,"21152"
137,"18507"
138,"16468"
139,"15928"
140,"16978"
141,"17915"
142,"18401"
143,"18495"
144,"18568"
145,"18774"
146,"19342"
147,"20529"
148,"19909"
149,"17950"
150,"14677"
151,"11231"
152,"8122"
153,"6198"
154,"4999"
155,"4507"
156,"4555"
157,"4850"
158,"4992"
159,"5089"
160,"4886"
161,"4679"
162,"4509"
163,"4406"
164,"4339"
165,"4482"
166,"4610"
167,"4527"
168,"4491"
169,"4250"
170,"4321"
171,"4251"
172,"4238"
173,"4527"
174,"4925"
175,"5751"
176,"7338"
177,"11324"
178,"20026"
179,"36714"
180,"66060"
181,"107731"
182,"159231"
183,"204883"
184,"233164"
185,"231645"
186,"203143"
187,"154832"
188,"104190"
189,"62723"
190,"34191"
191,"17539"
192,"9879"
193,"7302"
194,"7606"
195,"9702"
196,"14466"
197,"20535"
198,"28414"
199,"35515"
200,"40160"
201,"40705"
202,"36459"
203,"29447"
204,"21323"
205,"14349"
206,"9051"
207,"5887"
208,"4207"
209,"3560"
210,"3202"
211,"3111"
212,"3068"
213,"3096"
214,"3070"
215,"3177"
216,"3122"
217,"3265"
218,"3376"
219,"3590"
220,"3785"
221,"3971"
222,"4107"
223,"4482"
224,"4583"
225,"4607"
226,"4525"
227,"4342"
228,"4033"
229,"3700"
230,"3704"
231,"3528"
232,"3461"
233,"3367"
234,"3429"
235,"3490"
236,"3557"
237,"3541"
238,"3505"
239,"3673"
240,"3759"
241,"3729"
242,"3791"
243,"3864"
244,"3888"
245,"3991"
246,"3937"
247,"3862"
248,"3976"
249,"3893"
250,"3896"
251,"3835"
252,"3841"
253,"3838"
254,"3802"
255,"3842"
256,"3888"
257,"3892"
258,"3996"
259,"4081"
260,"4107"
261,"4074"
262,"4113"
