Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"FER013"
Duration Time,300.778
Ambient Temperature,"100.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15872800"
Raw Accumulated Counts,"18460451"
Valid Count Last Packet,"48239"
Raw Count Last Packet,"56531"
Live Time,258.257080
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0527
Number of Channels,2048
Vacuum,684
Channel#,Intensity
0,"8696"
1,"6632"
2,"4633"
3,"2976"
4,"1430"
5,"301"
6,"49"
7,"19"
8,"13"
9,"11"
10,"5"
11,"8"
12,"6"
13,"2"
14,"3"
15,"2"
16,"1"
17,"0"
18,"1"
19,"4"
20,"0"
21,"0"
22,"2"
23,"0"
24,"2"
25,"3"
26,"1"
27,"0"
28,"2"
29,"2"
30,"5"
31,"79"
32,"557"
33,"1482"
34,"2316"
35,"2754"
36,"2925"
37,"2969"
38,"2990"
39,"2884"
40,"2900"
41,"2796"
42,"2857"
43,"2779"
44,"2784"
45,"2992"
46,"2905"
47,"2901"
48,"2919"
49,"2891"
50,"2704"
51,"2679"
52,"2717"
53,"2776"
54,"2815"
55,"2661"
56,"2706"
57,"2608"
58,"2691"
59,"2767"
60,"2761"
61,"2667"
62,"2695"
63,"2700"
64,"2717"
65,"2675"
66,"2729"
67,"2811"
68,"3090"
69,"3027"
70,"3033"
71,"3050"
72,"2954"
73,"2892"
74,"2802"
75,"2867"
76,"2842"
77,"2903"
78,"2971"
79,"2765"
80,"2798"
81,"2693"
82,"2777"
83,"2864"
84,"2927"
85,"3104"
86,"3154"
87,"3208"
88,"3181"
89,"3084"
90,"2997"
91,"2812"
92,"2868"
93,"2975"
94,"3313"
95,"3686"
96,"3835"
97,"3947"
98,"4068"
99,"3648"
100,"3324"
101,"3040"
102,"2890"
103,"2711"
104,"2738"
105,"2632"
106,"2611"
107,"2857"
108,"2957"
109,"3391"
110,"4219"
111,"5389"
112,"7408"
113,"9567"
114,"11473"
115,"12143"
116,"11639"
117,"9692"
118,"7501"
119,"5801"
120,"4808"
121,"4351"
122,"4145"
123,"4191"
124,"4117"
125,"4145"
126,"4184"
127,"4512"
128,"5308"
129,"6851"
130,"8959"
131,"12287"
132,"16053"
133,"19271"
134,"21284"
135,"21738"
136,"20228"
137,"18340"
138,"16922"
139,"16471"
140,"16875"
141,"17904"
142,"18180"
143,"18070"
144,"18060"
145,"19120"
146,"20062"
147,"20882"
148,"20462"
149,"18894"
150,"17305"
151,"17530"
152,"21311"
153,"28125"
154,"37823"
155,"47219"
156,"52922"
157,"51941"
158,"45579"
159,"36173"
160,"27440"
161,"22014"
162,"21311"
163,"24756"
164,"29123"
165,"33293"
166,"34429"
167,"33167"
168,"29251"
169,"24687"
170,"19897"
171,"16470"
172,"13898"
173,"13007"
174,"13067"
175,"13716"
176,"15325"
177,"17584"
178,"22988"
179,"33546"
180,"51908"
181,"77796"
182,"107418"
183,"131774"
184,"144543"
185,"138199"
186,"116291"
187,"87429"
188,"57965"
189,"34472"
190,"19755"
191,"11645"
192,"8058"
193,"7312"
194,"8245"
195,"10658"
196,"14125"
197,"17774"
198,"21695"
199,"24566"
200,"25757"
201,"24476"
202,"21115"
203,"16915"
204,"12237"
205,"9168"
206,"6544"
207,"5134"
208,"4387"
209,"4102"
210,"4089"
211,"4231"
212,"4414"
213,"5010"
214,"5585"
215,"6908"
216,"9304"
217,"13768"
218,"21071"
219,"31934"
220,"44712"
221,"57542"
222,"66851"
223,"69856"
224,"65139"
225,"55048"
226,"41346"
227,"28672"
228,"18649"
229,"11984"
230,"8107"
231,"6284"
232,"5489"
233,"5923"
234,"7488"
235,"10197"
236,"15422"
237,"22383"
238,"31852"
239,"40978"
240,"49244"
241,"53446"
242,"53073"
243,"48815"
244,"41910"
245,"34834"
246,"27577"
247,"21658"
248,"16970"
249,"13283"
250,"11211"
251,"9789"
252,"9903"
253,"11292"
254,"13535"
255,"16437"
256,"18703"
257,"20323"
258,"20210"
259,"18590"
260,"15883"
261,"12976"
262,"10453"
263,"8127"
264,"6761"
265,"6098"
266,"5779"
267,"5731"
268,"5781"
269,"6186"
270,"6724"
271,"7496"
272,"8745"
273,"10279"
274,"11801"
275,"13094"
276,"13372"
277,"13258"
278,"12065"
279,"11030"
280,"9317"
281,"8098"
282,"7298"
283,"6975"
284,"6939"
285,"7406"
286,"8208"
287,"8889"
288,"9486"
289,"10005"
290,"10013"
291,"9581"
292,"9066"
293,"8550"
294,"7910"
295,"7608"
296,"7217"
297,"7159"
298,"6876"
299,"6932"
300,"6719"
301,"6607"
302,"6436"
303,"6127"
304,"5975"
305,"6129"
306,"6095"
307,"6261"
308,"6467"
309,"6492"
310,"6715"
311,"6892"
312,"7039"
313,"7597"
314,"7777"
315,"8128"
316,"9073"
317,"9403"
318,"10151"
319,"10243"
320,"10064"
321,"9682"
322,"9107"
323,"8157"
324,"7465"
325,"6923"
326,"6484"
327,"6379"
328,"6263"
329,"6119"
330,"6234"
331,"6141"
332,"6271"
333,"6175"
334,"6262"
335,"6395"
336,"6324"
337,"6378"
338,"6813"
339,"6856"
340,"7401"
341,"7676"
342,"8330"
343,"9086"
344,"9445"
345,"9900"
346,"9692"
347,"9496"
348,"9367"
349,"8683"
350,"8362"
351,"7943"
352,"7807"
353,"7583"
354,"7691"
355,"7613"
356,"7885"
357,"8286"
358,"8582"
359,"9168"
360,"9734"
361,"10453"
362,"11232"
363,"11563"
364,"12106"
365,"12872"
366,"13357"
367,"14182"
368,"14891"
369,"16462"
370,"17741"
371,"19085"
372,"19859"
373,"19589"
374,"18703"
375,"16752"
376,"14926"
377,"12517"
378,"10676"
379,"9039"
380,"7998"
381,"7332"
382,"6918"
383,"6645"
384,"6531"
385,"6435"
386,"6333"
387,"6307"
388,"6185"
389,"6143"
390,"6230"
391,"6340"
392,"6237"
393,"6421"
394,"6326"
395,"6476"
396,"6962"
397,"6995"
398,"7172"
399,"7412"
400,"7785"
401,"7907"
402,"7882"
403,"7877"
404,"7671"
405,"7601"
406,"7634"
407,"7622"
408,"7507"
409,"7832"
410,"7975"
411,"8309"
