Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PR169"
Duration Time,300.572
Ambient Temperature,"112.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"10332510"
Raw Accumulated Counts,"11321561"
Valid Count Last Packet,"31852"
Raw Count Last Packet,"35128"
Live Time,274.471130
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0182
Number of Channels,2048
Vacuum,683
Channel#,Intensity
0,"9422"
1,"7478"
2,"4601"
3,"2639"
4,"1274"
5,"296"
6,"56"
7,"14"
8,"10"
9,"1"
10,"2"
11,"0"
12,"0"
13,"1"
14,"3"
15,"2"
16,"1"
17,"2"
18,"0"
19,"0"
20,"2"
21,"0"
22,"2"
23,"3"
24,"0"
25,"1"
26,"1"
27,"0"
28,"0"
29,"2"
30,"6"
31,"21"
32,"221"
33,"796"
34,"1243"
35,"1522"
36,"1825"
37,"1779"
38,"1748"
39,"1731"
40,"1653"
41,"1764"
42,"1803"
43,"1760"
44,"1824"
45,"1800"
46,"1894"
47,"1827"
48,"1902"
49,"1819"
50,"1724"
51,"1700"
52,"1732"
53,"1759"
54,"1732"
55,"1792"
56,"1728"
57,"1729"
58,"1755"
59,"1776"
60,"1800"
61,"1739"
62,"1647"
63,"1719"
64,"1648"
65,"1577"
66,"1549"
67,"1520"
68,"1518"
69,"1481"
70,"1519"
71,"1557"
72,"1651"
73,"1596"
74,"1583"
75,"1584"
76,"1611"
77,"1600"
78,"1605"
79,"1529"
80,"1526"
81,"1590"
82,"1742"
83,"2141"
84,"2660"
85,"3214"
86,"3782"
87,"3906"
88,"3615"
89,"3020"
90,"2611"
91,"2036"
92,"1820"
93,"1778"
94,"1620"
95,"1584"
96,"1713"
97,"1729"
98,"1745"
99,"1771"
100,"1809"
101,"1813"
102,"1932"
103,"1850"
104,"1900"
105,"1911"
106,"2005"
107,"2085"
108,"2456"
109,"3156"
110,"4815"
111,"8032"
112,"12906"
113,"18910"
114,"24928"
115,"27670"
116,"26928"
117,"22273"
118,"16001"
119,"10736"
120,"6993"
121,"5416"
122,"4567"
123,"4431"
124,"4237"
125,"3966"
126,"3801"
127,"3926"
128,"4624"
129,"5990"
130,"8314"
131,"11486"
132,"15451"
133,"18634"
134,"21432"
135,"21790"
136,"20208"
137,"17652"
138,"15602"
139,"14984"
140,"15627"
141,"16601"
142,"17293"
143,"17381"
144,"17078"
145,"17581"
146,"18174"
147,"18952"
148,"18529"
149,"16342"
150,"13810"
151,"10275"
152,"7462"
153,"5255"
154,"4101"
155,"3643"
156,"3457"
157,"3793"
158,"3848"
159,"3942"
160,"4014"
161,"4061"
162,"4412"
163,"4751"
164,"5435"
165,"6027"
166,"6119"
167,"5722"
168,"4973"
169,"4076"
170,"3453"
171,"2806"
172,"2531"
173,"2328"
174,"2237"
175,"2393"
176,"2475"
177,"2772"
178,"3142"
179,"3548"
180,"4547"
181,"5549"
182,"6611"
183,"7836"
184,"8316"
185,"8344"
186,"7588"
187,"6382"
188,"5342"
189,"4057"
190,"3404"
191,"3136"
192,"2939"
193,"2824"
194,"2851"
195,"3065"
196,"3178"
197,"3433"
198,"3641"
199,"3919"
200,"3981"
201,"3941"
202,"4121"
203,"3751"
204,"3532"
205,"3497"
206,"3373"
207,"3333"
208,"3323"
209,"3300"
210,"3365"
211,"3395"
212,"3419"
213,"3497"
214,"3613"
215,"3530"
216,"3672"
217,"3565"
218,"3868"
219,"3938"
220,"4227"
221,"4508"
222,"4727"
223,"4967"
224,"5049"
225,"5224"
226,"5238"
227,"5086"
228,"4820"
229,"4519"
230,"4587"
231,"4362"
232,"4241"
233,"4375"
234,"4328"
235,"4383"
236,"4389"
237,"4339"
238,"4481"
239,"4418"
240,"4590"
241,"4587"
242,"4722"
243,"4652"
244,"4912"
245,"4910"
246,"4978"
247,"5009"
248,"4984"
249,"5079"
250,"5007"
251,"5037"
252,"5201"
253,"5014"
254,"5085"
255,"5144"
256,"5167"
257,"5329"
258,"5249"
259,"5463"
260,"5627"
261,"5598"
262,"5653"
263,"5712"
264,"5736"
265,"5743"
266,"5967"
267,"6055"
268,"6217"
269,"6251"
270,"6356"
271,"6420"
272,"6516"
273,"6467"
274,"6533"
275,"6619"
276,"6605"
277,"6587"
278,"6704"
279,"6754"
280,"6912"
281,"6833"
282,"6949"
283,"6995"
284,"7306"
285,"7296"
286,"7279"
287,"7483"
288,"7414"
289,"7365"
290,"7469"
291,"7860"
292,"7875"
293,"7949"
294,"8002"
295,"8129"
296,"8144"
297,"8201"
298,"8104"
299,"8137"
300,"8131"
301,"8134"
302,"8123"
303,"8248"
304,"8240"
305,"8462"
306,"8487"
307,"8674"
308,"9023"
309,"9266"
310,"9729"
311,"10633"
312,"11974"
313,"13942"
314,"17353"
315,"22109"
316,"28227"
317,"34815"
318,"41745"
319,"46210"
320,"47419"
321,"45755"
322,"40442"
323,"32972"
324,"25748"
325,"19713"
326,"15012"
327,"12043"
328,"10304"
329,"9338"
330,"8948"
331,"8883"
332,"8703"
333,"8735"
334,"8750"
335,"8831"
336,"9058"
337,"9264"
338,"9070"
339,"9271"
340,"9677"
341,"9636"
342,"9915"
343,"9999"
344,"10372"
345,"10731"
346,"11143"
347,"11686"
348,"12312"
349,"13230"
350,"14315"
351,"15093"
352,"15704"
353,"16177"
354,"15978"
355,"15569"
356,"14861"
357,"14448"
358,"14590"
359,"14735"
360,"15385"
361,"16049"
362,"17087"
363,"18249"
364,"19181"
365,"19807"
366,"20709"
367,"21132"
368,"21897"
369,"22845"
370,"24287"
371,"25327"
372,"26674"
373,"26783"
374,"26506"
375,"24494"
376,"21957"
377,"18850"
378,"16096"
379,"13709"
380,"12038"
381,"10875"
382,"10202"
383,"10078"
384,"9939"
385,"9729"
386,"9841"
387,"9921"
388,"10028"
389,"10417"
390,"10714"
391,"11854"
392,"13410"
393,"16395"
394,"21877"
395,"30862"
396,"45394"
397,"63914"
398,"87166"
399,"113997"
400,"136817"
401,"154020"
402,"160160"
403,"154315"
404,"138410"
405,"115106"
406,"89891"
407,"65709"
408,"46071"
409,"32241"
410,"23269"
411,"17869"
412,"14993"
413,"13362"
414,"12381"
415,"11894"
416,"11315"
417,"10910"
418,"10662"
419,"10310"
420,"10494"
421,"10808"
422,"11099"
423,"12421"
424,"14486"
425,"17596"
426,"21968"
427,"27880"
428,"34316"
429,"40581"
430,"45942"
431,"49789"
432,"49850"
433,"47115"
434,"42123"
435,"36101"
436,"29835"
437,"24690"
438,"21405"
439,"20397"
440,"21131"
441,"23052"
442,"25844"
443,"29001"
444,"31355"
445,"32597"
446,"31807"
447,"29959"
448,"26537"
449,"22659"
450,"19119"
451,"16028"
452,"13601"
453,"11994"
454,"10781"
455,"10049"
456,"9978"
457,"9960"
458,"9728"
459,"9590"
460,"9597"
461,"9844"
462,"9640"
463,"9570"
464,"9663"
465,"9767"
466,"9648"
467,"9820"
468,"10011"
469,"9908"
470,"10344"
471,"10565"
472,"10943"
473,"11923"
474,"12494"
475,"13559"
476,"14527"
477,"15556"
478,"15567"
479,"15677"
480,"15008"
481,"14400"
482,"13392"
483,"12578"
484,"11576"
485,"11133"
486,"10605"
487,"10078"
488,"10092"
489,"9996"
490,"9763"
491,"9860"
492,"9790"
493,"9646"
494,"9572"
495,"9696"
496,"9590"
497,"9635"
