Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PM060"
Duration Time,300.313
Ambient Temperature,"110.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"40214263"
Raw Accumulated Counts,"77033768"
Valid Count Last Packet,"115601"
Raw Count Last Packet,"223576"
Live Time,154.784882
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0264
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"4853"
1,"3824"
2,"2916"
3,"1875"
4,"731"
5,"176"
6,"46"
7,"24"
8,"16"
9,"14"
10,"2"
11,"11"
12,"6"
13,"1"
14,"9"
15,"3"
16,"3"
17,"2"
18,"3"
19,"4"
20,"4"
21,"4"
22,"5"
23,"1"
24,"2"
25,"3"
26,"3"
27,"3"
28,"2"
29,"10"
30,"61"
31,"333"
32,"1197"
33,"2436"
34,"3311"
35,"3595"
36,"3773"
37,"3810"
38,"3678"
39,"3535"
40,"3535"
41,"3584"
42,"3451"
43,"3498"
44,"3495"
45,"3396"
46,"3454"
47,"3405"
48,"3398"
49,"3300"
50,"3331"
51,"3177"
52,"3263"
53,"3200"
54,"3139"
55,"3039"
56,"3170"
57,"3082"
58,"3076"
59,"3104"
60,"3080"
61,"2900"
62,"2918"
63,"2982"
64,"2862"
65,"3030"
66,"2782"
67,"2777"
68,"2788"
69,"2795"
70,"2827"
71,"2917"
72,"3072"
73,"3122"
74,"3105"
75,"3099"
76,"2962"
77,"2925"
78,"2752"
79,"2843"
80,"2819"
81,"2744"
82,"2883"
83,"2813"
84,"2853"
85,"2880"
86,"2919"
87,"2846"
88,"2833"
89,"2922"
90,"2817"
91,"2748"
92,"2762"
93,"2792"
94,"2690"
95,"2699"
96,"2801"
97,"2774"
98,"2821"
99,"2909"
100,"3028"
101,"2951"
102,"2979"
103,"2938"
104,"2950"
105,"2965"
106,"3004"
107,"3005"
108,"3160"
109,"3056"
110,"3253"
111,"3302"
112,"3431"
113,"3559"
114,"3625"
115,"3808"
116,"3819"
117,"3800"
118,"3780"
119,"3820"
120,"3716"
121,"3818"
122,"3776"
123,"3852"
124,"3886"
125,"4037"
126,"4408"
127,"4637"
128,"5132"
129,"6421"
130,"7976"
131,"10061"
132,"12610"
133,"14775"
134,"16059"
