Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LP008"
Duration Time,300.017
Ambient Temperature,"111.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"41577724"
Raw Accumulated Counts,"90366915"
Valid Count Last Packet,"114606"
Raw Count Last Packet,"252268"
Live Time,136.188065
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0591
Number of Channels,2048
Vacuum,676
Channel#,Intensity
0,"4117"
1,"3356"
2,"2491"
3,"1433"
4,"480"
5,"117"
6,"49"
7,"35"
8,"29"
9,"16"
10,"8"
11,"10"
12,"4"
13,"5"
14,"8"
15,"4"
16,"5"
17,"7"
18,"7"
19,"4"
20,"3"
21,"2"
22,"2"
23,"1"
24,"2"
25,"2"
26,"7"
27,"1"
28,"5"
29,"26"
30,"128"
31,"631"
32,"1785"
33,"2882"
34,"3493"
35,"3843"
36,"3853"
37,"3796"
38,"3645"
39,"3543"
40,"3472"
41,"3497"
42,"3421"
43,"3331"
44,"3244"
45,"3309"
46,"3223"
47,"3158"
48,"3190"
49,"3170"
50,"3139"
51,"2975"
52,"2945"
53,"2941"
54,"2862"
55,"2974"
56,"2865"
57,"2958"
58,"2827"
59,"2922"
60,"2796"
61,"2670"
62,"2685"
63,"2646"
64,"2623"
65,"2463"
66,"2565"
67,"2427"
68,"2556"
69,"2495"
70,"2643"
71,"2569"
72,"2665"
73,"2640"
74,"2540"
75,"2540"
76,"2451"
77,"2405"
78,"2306"
79,"2424"
80,"2388"
81,"2419"
82,"2455"
83,"2573"
84,"2662"
85,"2674"
86,"2632"
87,"2642"
88,"2606"
89,"2579"
90,"2523"
91,"2457"
92,"2398"
93,"2349"
94,"2402"
95,"2407"
96,"2483"
97,"2567"
98,"2524"
99,"2508"
100,"2571"
101,"2606"
102,"2654"
103,"2677"
104,"2570"
105,"2586"
106,"2685"
107,"2704"
108,"2644"
109,"2741"
110,"2810"
111,"2988"
112,"3120"
113,"3253"
114,"3339"
115,"3442"
116,"3459"
117,"3378"
118,"3285"
119,"3334"
120,"3328"
121,"3297"
122,"3304"
123,"3472"
124,"3404"
125,"3626"
126,"3663"
127,"4138"
128,"4875"
129,"5801"
130,"7058"
131,"8881"
132,"10638"
133,"12129"
134,"12585"
135,"12305"
136,"11578"
137,"11111"
138,"10699"
139,"10919"
140,"11445"
141,"11852"
142,"12101"
143,"11799"
144,"11781"
145,"12011"
146,"12129"
147,"12022"
148,"11366"
149,"10258"
150,"8790"
151,"7381"
152,"5979"
153,"5168"
154,"4789"
155,"4524"
156,"4462"
157,"4532"
158,"4426"
159,"4302"
160,"4335"
161,"4104"
162,"4181"
163,"4096"
164,"4123"
165,"4288"
166,"4153"
167,"4050"
168,"3979"
169,"3841"
170,"3699"
171,"3706"
172,"3674"
173,"3588"
174,"3606"
175,"3538"
176,"3592"
177,"3821"
178,"3981"
179,"4338"
180,"4661"
181,"5010"
182,"5611"
183,"6032"
184,"6087"
185,"5728"
186,"5570"
187,"4894"
188,"4542"
189,"4264"
190,"3965"
191,"4037"
192,"3807"
193,"3860"
194,"3942"
195,"4077"
196,"4059"
197,"4175"
198,"4227"
199,"4319"
200,"4441"
201,"4351"
202,"4416"
203,"4460"
204,"4334"
205,"4301"
206,"4255"
