Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LA11"
Duration Time,300.691
Ambient Temperature,"110.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15749101"
Raw Accumulated Counts,"18258462"
Valid Count Last Packet,"48914"
Raw Count Last Packet,"56650"
Live Time,258.848114
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0465
Number of Channels,2048
Vacuum,687
Channel#,Intensity
0,"8823"
1,"6793"
2,"4621"
3,"3179"
4,"1601"
5,"348"
6,"58"
7,"9"
8,"11"
9,"2"
10,"10"
11,"8"
12,"6"
13,"1"
14,"4"
15,"0"
16,"4"
17,"3"
18,"2"
19,"0"
20,"1"
21,"4"
22,"2"
23,"1"
24,"1"
25,"0"
26,"2"
27,"3"
28,"3"
29,"0"
30,"6"
31,"50"
32,"449"
33,"1499"
34,"2280"
35,"2873"
36,"3121"
37,"3175"
38,"3179"
39,"3150"
40,"3214"
41,"3101"
42,"3155"
43,"3159"
44,"3298"
45,"3204"
46,"3138"
47,"3237"
48,"3316"
49,"3187"
50,"3185"
51,"3223"
52,"3126"
53,"3177"
54,"3281"
55,"3245"
56,"3226"
57,"3099"
58,"3207"
59,"3183"
60,"3143"
61,"3055"
62,"3199"
63,"3042"
64,"3008"
65,"2771"
66,"2876"
67,"2841"
68,"2868"
69,"2783"
70,"2949"
71,"2990"
72,"3034"
73,"3060"
74,"3111"
75,"3009"
76,"2853"
77,"2932"
78,"2769"
79,"2761"
80,"2789"
81,"2726"
82,"2768"
83,"2837"
84,"3023"
85,"3262"
86,"3247"
87,"3394"
88,"3361"
89,"3547"
90,"3501"
91,"3742"
92,"4368"
93,"5637"
94,"7445"
95,"9706"
96,"11715"
97,"12616"
98,"11991"
99,"10004"
100,"7680"
101,"5912"
102,"4610"
103,"3910"
104,"3617"
105,"3712"
106,"3602"
107,"3620"
108,"3841"
109,"4008"
110,"4527"
111,"5233"
112,"6192"
113,"7124"
114,"7720"
115,"7990"
116,"7453"
117,"6655"
118,"5920"
119,"5320"
120,"4887"
121,"4643"
122,"4597"
123,"4607"
124,"4771"
125,"5017"
126,"5341"
127,"5885"
128,"7225"
129,"8832"
130,"11389"
131,"14486"
132,"18265"
133,"21540"
134,"23503"
135,"23659"
136,"21975"
137,"19370"
138,"17304"
139,"17020"
140,"17687"
141,"18412"
142,"19209"
143,"19294"
144,"19232"
145,"19937"
146,"20985"
147,"21685"
148,"21215"
149,"19621"
150,"16575"
151,"13450"
152,"10767"
153,"9081"
154,"7902"
155,"7776"
156,"7899"
157,"8188"
158,"8445"
159,"8483"
160,"8664"
161,"8697"
162,"8400"
163,"8529"
164,"8804"
165,"8912"
166,"9235"
167,"9172"
168,"9550"
169,"9641"
170,"9917"
171,"10436"
172,"11054"
173,"12103"
174,"13818"
175,"17207"
176,"24668"
177,"41359"
178,"78039"
179,"149750"
180,"268398"
181,"438673"
182,"636459"
183,"813614"
