Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"FER031"
Duration Time,300.624
Ambient Temperature,"97.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15866847"
Raw Accumulated Counts,"18374110"
Valid Count Last Packet,"48657"
Raw Count Last Packet,"56624"
Live Time,259.155090
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.047
Number of Channels,2048
Vacuum,683
Channel#,Intensity
0,"8794"
1,"6896"
2,"4519"
3,"2697"
4,"1254"
5,"277"
6,"46"
7,"20"
8,"21"
9,"9"
10,"8"
11,"2"
12,"0"
13,"3"
14,"1"
15,"1"
16,"1"
17,"0"
18,"2"
19,"1"
20,"0"
21,"3"
22,"1"
23,"2"
24,"0"
25,"0"
26,"0"
27,"1"
28,"0"
29,"0"
30,"2"
31,"46"
32,"337"
33,"1094"
34,"1772"
35,"2220"
36,"2251"
37,"2350"
38,"2338"
39,"2303"
40,"2380"
41,"2348"
42,"2334"
43,"2407"
44,"2552"
45,"2456"
46,"2390"
47,"2427"
48,"2363"
49,"2230"
50,"2193"
51,"2270"
52,"2173"
53,"2192"
54,"2199"
55,"2157"
56,"2095"
57,"2187"
58,"2128"
59,"2166"
60,"2139"
61,"2114"
62,"2141"
63,"2065"
64,"2077"
65,"2042"
66,"1980"
67,"1956"
68,"2025"
69,"2006"
70,"2006"
71,"2073"
72,"2093"
73,"2223"
74,"2204"
75,"2018"
76,"1998"
77,"2083"
78,"2008"
79,"1920"
80,"1938"
81,"1888"
82,"1999"
83,"2127"
84,"2158"
85,"2472"
86,"2548"
87,"2518"
88,"2507"
89,"2305"
90,"2260"
91,"2145"
92,"2093"
93,"2037"
94,"2001"
95,"2087"
96,"2053"
97,"2151"
98,"2179"
99,"2212"
100,"2368"
101,"2219"
102,"2323"
103,"2315"
104,"2368"
105,"2161"
106,"2260"
107,"2388"
108,"2674"
109,"3210"
110,"3821"
111,"5343"
112,"7538"
113,"10376"
114,"12587"
115,"13184"
116,"12601"
117,"10845"
118,"8113"
119,"6171"
120,"4788"
121,"4223"
122,"4062"
123,"4138"
124,"4120"
125,"4641"
126,"5657"
127,"7263"
128,"10080"
129,"13561"
130,"17894"
131,"21143"
132,"24140"
133,"25706"
134,"25813"
135,"24433"
136,"21972"
137,"19013"
138,"16943"
139,"16385"
140,"17118"
141,"17645"
142,"17992"
143,"17591"
144,"17424"
145,"18185"
146,"18916"
147,"19292"
148,"19018"
149,"16740"
150,"13891"
151,"10915"
152,"8607"
153,"6952"
154,"6089"
155,"5589"
156,"5594"
157,"5530"
158,"5454"
159,"5361"
160,"4992"
161,"4552"
162,"4387"
163,"3969"
164,"3970"
165,"4212"
166,"4176"
167,"4329"
168,"4183"
169,"4130"
170,"3984"
171,"3867"
172,"3883"
173,"3637"
174,"3530"
175,"3681"
176,"3734"
177,"4021"
178,"4483"
179,"5346"
180,"6820"
181,"8998"
182,"11108"
183,"13279"
184,"14145"
185,"13685"
186,"12128"
187,"10342"
188,"8250"
