Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK-26500"
Duration Time,300.788
Ambient Temperature,"112.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"14459207"
Raw Accumulated Counts,"16509736"
Valid Count Last Packet,"44682"
Raw Count Last Packet,"50959"
Live Time,263.076965
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,19.9915
Number of Channels,2048
Vacuum,672
Channel#,Intensity
0,"8990"
1,"7154"
2,"4479"
3,"2919"
4,"1330"
5,"332"
6,"61"
7,"19"
8,"9"
9,"5"
10,"7"
11,"7"
12,"1"
13,"2"
14,"3"
15,"0"
16,"4"
17,"2"
18,"1"
19,"0"
20,"3"
21,"0"
22,"0"
23,"0"
24,"3"
25,"0"
26,"3"
27,"1"
28,"0"
29,"4"
30,"2"
31,"25"
32,"259"
33,"926"
34,"1549"
35,"1972"
36,"2203"
37,"2330"
38,"2433"
39,"2717"
40,"3168"
41,"3919"
42,"4835"
43,"5612"
44,"5670"
45,"5134"
46,"4138"
47,"3255"
48,"2745"
49,"2369"
50,"2288"
51,"2301"
52,"2267"
53,"2441"
54,"2420"
55,"2308"
56,"2132"
57,"2168"
58,"2003"
59,"2126"
60,"2089"
61,"2154"
62,"2189"
63,"2150"
64,"2171"
65,"2096"
66,"2223"
67,"2173"
68,"2302"
69,"2397"
70,"2472"
71,"2431"
72,"2498"
73,"2486"
74,"2668"
75,"2515"
76,"2622"
77,"2556"
78,"2446"
79,"2313"
80,"2503"
81,"2360"
82,"2548"
83,"2493"
84,"2550"
85,"2636"
86,"2808"
87,"2730"
88,"2661"
89,"2650"
90,"2624"
91,"2550"
92,"2522"
93,"2526"
94,"2545"
95,"2618"
96,"2573"
97,"2717"
98,"2787"
99,"2822"
100,"2919"
101,"2936"
102,"2994"
103,"3059"
104,"3103"
105,"3064"
106,"3310"
107,"3323"
108,"3538"
109,"3725"
110,"3799"
111,"4087"
112,"4405"
113,"5065"
114,"5605"
115,"5919"
116,"6128"
117,"6090"
118,"6156"
119,"6284"
120,"6226"
121,"6600"
122,"7373"
123,"8843"
124,"12523"
125,"20822"
126,"38345"
127,"69952"
128,"117552"
129,"173587"
130,"222551"
131,"248585"
132,"237904"
133,"199371"
134,"146795"
135,"98797"
136,"63919"
137,"45041"
138,"38099"
139,"38904"
140,"41550"
141,"42831"
142,"40449"
143,"35079"
144,"28464"
145,"23716"
146,"20889"
147,"19281"
148,"18308"
149,"16471"
150,"13696"
151,"10451"
152,"7541"
153,"5405"
154,"4167"
155,"3538"
156,"3561"
157,"3604"
158,"3773"
159,"3891"
160,"3532"
161,"3380"
162,"3033"
163,"2927"
164,"2836"
165,"2812"
166,"2907"
167,"2817"
168,"2736"
169,"2612"
170,"2444"
171,"2328"
172,"2288"
173,"2203"
174,"2136"
175,"2086"
176,"2207"
177,"2279"
178,"2289"
179,"2418"
180,"2461"
181,"2595"
182,"2876"
183,"3210"
184,"3315"
185,"3378"
186,"3226"
187,"3141"
188,"2998"
189,"2891"
190,"2686"
191,"2631"
192,"2621"
193,"2608"
194,"2667"
195,"2681"
196,"2718"
197,"2783"
198,"2948"
199,"2870"
200,"2983"
201,"3048"
202,"3021"
203,"3016"
204,"3008"
205,"2934"
206,"2982"
207,"3060"
208,"3062"
209,"3150"
210,"3148"
211,"3086"
212,"3175"
213,"3166"
214,"3184"
215,"3351"
216,"3280"
217,"3336"
218,"3403"
219,"3509"
220,"3539"
221,"3719"
222,"3922"
223,"4113"
224,"4013"
225,"4255"
226,"4230"
227,"4067"
228,"4016"
229,"3790"
230,"3614"
231,"3702"
232,"3641"
233,"3685"
234,"3567"
235,"3741"
236,"3654"
237,"3675"
238,"3836"
239,"3786"
240,"3747"
241,"3892"
242,"3922"
243,"3954"
244,"4049"
245,"4089"
246,"4019"
247,"4188"
248,"4159"
249,"4171"
250,"4206"
251,"4232"
252,"4371"
253,"4242"
254,"4188"
255,"4247"
256,"4395"
257,"4424"
258,"4294"
259,"4651"
260,"4542"
261,"4559"
262,"4614"
263,"4661"
264,"4720"
265,"4684"
266,"4822"
267,"5046"
268,"5062"
269,"5063"
270,"5076"
271,"5112"
272,"5077"
273,"5170"
274,"5366"
275,"5248"
276,"5252"
277,"5226"
278,"5392"
279,"5347"
280,"5396"
281,"5481"
282,"5479"
283,"5535"
284,"5465"
285,"5651"
286,"5654"
287,"5632"
288,"5755"
289,"5796"
290,"5825"
291,"5974"
292,"6029"
293,"5990"
294,"5973"
295,"5972"
296,"5916"
297,"6063"
298,"6101"
299,"6252"
300,"6073"
301,"6131"
302,"6116"
303,"6315"
304,"6392"
305,"6388"
306,"6328"
307,"6628"
308,"6743"
309,"7017"
310,"7231"
311,"7704"
312,"8284"
313,"8725"
314,"9223"
315,"9569"
316,"9871"
317,"10187"
318,"10345"
319,"10540"
320,"10420"
321,"9862"
322,"9307"
323,"8827"
324,"8099"
325,"7755"
326,"7398"
327,"6954"
328,"6827"
329,"6824"
330,"6635"
331,"6694"
332,"6873"
333,"6811"
334,"6913"
335,"7072"
336,"7048"
337,"7127"
338,"7034"
339,"7248"
340,"7466"
341,"7424"
342,"7554"
343,"7765"
344,"7875"
345,"7982"
346,"7955"
347,"7982"
348,"8171"
349,"8104"
350,"8107"
351,"8286"
352,"8337"
353,"8404"
354,"8618"
355,"8678"
356,"9078"
357,"9175"
358,"9628"
359,"10132"
360,"10903"
361,"11630"
362,"12254"
363,"13108"
364,"13588"
365,"14227"
366,"14817"
367,"15270"
368,"16138"
369,"17164"
370,"18294"
371,"19932"
372,"20918"
373,"21695"
374,"21984"
375,"20997"
376,"19239"
377,"16972"
378,"14873"
379,"12841"
380,"11291"
381,"10269"
382,"9643"
383,"9317"
384,"9490"
385,"9693"
386,"9847"
387,"10433"
388,"10891"
389,"11847"
390,"12912"
391,"15946"
392,"21149"
393,"31633"
394,"51495"
395,"85936"
396,"142012"
397,"220581"
398,"324117"
399,"440878"
400,"561028"
401,"654912"
402,"708601"
403,"705489"
404,"652068"
405,"553504"
406,"435227"
407,"315836"
408,"213345"
409,"135403"
410,"81572"
411,"47693"
412,"28691"
413,"18742"
414,"13519"
415,"11408"
416,"9930"
417,"9207"
418,"8589"
419,"8228"
420,"7873"
421,"7801"
422,"7701"
423,"7495"
424,"7562"
