Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LA7"
Duration Time,300.611
Ambient Temperature,"108.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15663788"
Raw Accumulated Counts,"18161731"
Valid Count Last Packet,"48872"
Raw Count Last Packet,"56399"
Live Time,258.716919
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0499
Number of Channels,2048
Vacuum,688
Channel#,Intensity
0,"8678"
1,"6835"
2,"4782"
3,"3085"
4,"1564"
5,"348"
6,"62"
7,"17"
8,"8"
9,"12"
10,"7"
11,"7"
12,"4"
13,"3"
14,"2"
15,"3"
16,"3"
17,"2"
18,"1"
19,"2"
20,"2"
21,"0"
22,"1"
23,"1"
24,"1"
25,"2"
26,"1"
27,"0"
28,"1"
29,"1"
30,"2"
31,"58"
32,"463"
33,"1384"
34,"2332"
35,"2838"
36,"3122"
37,"3219"
38,"3237"
39,"3235"
40,"3248"
41,"3186"
42,"3201"
43,"3193"
44,"3247"
45,"3325"
46,"3310"
47,"3347"
48,"3329"
49,"3328"
50,"3180"
51,"3155"
52,"3273"
53,"3264"
54,"3135"
55,"3245"
56,"3204"
57,"3232"
58,"3188"
59,"3126"
60,"3107"
61,"3207"
62,"3099"
63,"3094"
64,"2934"
65,"2954"
66,"2910"
67,"2817"
68,"2859"
69,"2917"
70,"2915"
71,"2932"
72,"3105"
73,"3042"
74,"3062"
75,"3052"
76,"2971"
77,"2879"
78,"2782"
79,"2698"
80,"2689"
81,"2804"
82,"2809"
83,"2766"
84,"2915"
85,"3026"
86,"3223"
87,"3282"
88,"3231"
89,"3383"
90,"3415"
91,"3704"
92,"4486"
93,"5627"
94,"7350"
95,"9517"
96,"11529"
97,"12309"
98,"11485"
99,"9803"
100,"7657"
101,"5664"
102,"4441"
103,"3908"
104,"3579"
105,"3588"
106,"3661"
107,"3769"
108,"3839"
109,"4172"
110,"4688"
111,"5062"
112,"6047"
113,"6454"
114,"7283"
115,"7214"
116,"6951"
117,"6378"
118,"5606"
119,"5027"
120,"4766"
121,"4651"
122,"4696"
123,"4753"
124,"4874"
125,"5414"
126,"6270"
127,"7567"
128,"9911"
129,"13002"
130,"16206"
131,"19779"
132,"22887"
133,"24995"
134,"25702"
135,"24875"
136,"22405"
137,"19847"
138,"17815"
139,"17413"
140,"18125"
141,"18783"
142,"19509"
143,"19544"
144,"19412"
145,"19650"
146,"20885"
147,"21357"
148,"21176"
149,"19444"
150,"16404"
151,"13595"
152,"10669"
153,"8699"
154,"7947"
155,"7639"
156,"7817"
157,"7971"
158,"8236"
159,"8485"
160,"8139"
161,"8260"
162,"8197"
163,"8203"
164,"8225"
165,"8411"
166,"8720"
167,"8904"
168,"9147"
169,"9124"
170,"9463"
171,"10004"
172,"10607"
173,"11763"
174,"13177"
175,"16448"
176,"23673"
177,"40527"
178,"75742"
179,"145589"
180,"261312"
181,"426120"
182,"615725"
183,"785378"
184,"878794"
185,"863627"
186,"742520"
187,"559323"
188,"372606"
189,"217464"
190,"114737"
191,"56397"
192,"29398"
193,"20084"
194,"21820"
195,"31030"
196,"47185"
197,"69991"
198,"97202"
199,"122385"
200,"136658"
201,"136228"
202,"120334"
203,"93645"
204,"64865"
205,"40304"
206,"23093"
207,"12352"
208,"6847"
209,"4420"
210,"3409"
211,"2943"
212,"2961"
213,"2670"
214,"2780"
215,"2835"
216,"2754"
217,"2764"
218,"2920"
219,"2988"
220,"3223"
221,"3375"
222,"3513"
223,"3623"
224,"3883"
225,"3997"
226,"3986"
227,"3681"
228,"3580"
229,"3540"
230,"3283"
231,"3202"
232,"3295"
233,"3155"
234,"3165"
235,"3248"
236,"3219"
237,"3266"
238,"3228"
239,"3205"
240,"3405"
241,"3341"
242,"3351"
243,"3449"
244,"3550"
245,"3551"
246,"3433"
247,"3643"
248,"3519"
249,"3478"
250,"3452"
251,"3532"
252,"3479"
253,"3578"
254,"3623"
255,"3618"
256,"3543"
257,"3533"
258,"3646"
259,"3637"
260,"3636"
261,"3697"
262,"3668"
263,"3784"
264,"3799"
265,"3917"
266,"4021"
267,"4020"
268,"4067"
269,"4012"
270,"4176"
271,"4245"
272,"4208"
273,"4249"
274,"4333"
275,"4356"
276,"4348"
277,"4432"
278,"4370"
279,"4589"
280,"4483"
281,"4525"
282,"4762"
283,"4685"
284,"4726"
285,"4715"
286,"4778"
287,"4973"
288,"5134"
289,"5095"
290,"5128"
291,"5265"
292,"5358"
293,"5572"
294,"5623"
295,"5692"
296,"5651"
297,"5763"
298,"5623"
299,"5551"
300,"5450"
301,"5421"
302,"5379"
303,"5470"
304,"5547"
305,"5696"
306,"5738"
307,"5786"
308,"5914"
309,"6266"
310,"6314"
311,"6580"
312,"6882"
313,"7467"
314,"8166"
315,"9183"
316,"10536"
317,"11934"
318,"12945"
319,"13604"
320,"13789"
321,"13013"
322,"12149"
323,"10610"
324,"9244"
325,"7829"
326,"7121"
327,"6590"
328,"6387"
329,"6235"
330,"6108"
331,"6057"
332,"6165"
333,"6366"
334,"6110"
335,"6213"
336,"6483"
337,"6342"
338,"6336"
339,"6421"
340,"6652"
341,"6705"
342,"6874"
343,"6801"
344,"7132"
345,"7188"
346,"7373"
347,"7413"
348,"7620"
349,"7677"
350,"7932"
351,"8010"
352,"8257"
353,"8290"
354,"8452"
355,"8444"
356,"8706"
357,"8895"
358,"9373"
359,"9746"
360,"10589"
361,"11332"
362,"12356"
363,"13031"
364,"13760"
365,"14560"
366,"15307"
367,"16282"
368,"17361"
369,"18201"
370,"19539"
371,"20619"
372,"20813"
373,"20648"
374,"19748"
375,"18096"
376,"15766"
377,"13508"
378,"11128"
379,"9404"
380,"8275"
381,"7551"
382,"7090"
383,"7030"
384,"6988"
385,"6820"
386,"6944"
387,"6890"
388,"6814"
389,"6730"
390,"6547"
391,"6534"
392,"6489"
393,"6630"
394,"6918"
395,"6895"
396,"7114"
397,"7269"
398,"7528"
399,"7805"
400,"7872"
401,"8085"
402,"8165"
403,"8080"
404,"8055"
405,"7918"
406,"7698"
407,"7914"
408,"7840"
409,"7942"
410,"7895"
411,"8055"
412,"8264"
413,"8043"
414,"7933"
415,"7528"
416,"7614"
417,"7165"
418,"6832"
419,"6643"
420,"6782"
421,"6637"
422,"6597"
423,"6472"
424,"6497"
425,"6694"
426,"6787"
427,"6789"
428,"6950"
429,"7192"
430,"7309"
431,"7264"
432,"7451"
433,"7302"
434,"7268"
435,"7290"
436,"7093"
437,"7029"
438,"6809"
439,"6831"
440,"6995"
441,"6839"
442,"7016"
443,"7084"
444,"7083"
445,"6937"
446,"6921"
447,"7030"
448,"7090"
449,"7109"
450,"7092"
451,"7024"
452,"7030"
453,"7020"
454,"7082"
455,"7062"
456,"7141"
457,"7124"
458,"7254"
459,"7254"
460,"7210"
461,"7368"
462,"7196"
463,"7389"
464,"7142"
465,"7183"
466,"7346"
467,"7243"
468,"7363"
469,"7351"
470,"7296"
471,"7389"
472,"7327"
473,"7370"
474,"7307"
475,"7413"
476,"7366"
477,"7321"
478,"7372"
479,"7354"
480,"7474"
481,"7440"
482,"7428"
483,"7433"
484,"7514"
485,"7365"
486,"7501"
487,"7503"
488,"7470"
489,"7427"
490,"7538"
491,"7535"
492,"7497"
493,"7610"
494,"7490"
495,"7444"
496,"7447"
497,"7458"
498,"7495"
499,"7526"
500,"7643"
501,"7606"
502,"7482"
503,"7545"
504,"7561"
505,"7435"
506,"7520"
507,"7560"
508,"7584"
509,"7608"
510,"7682"
511,"7602"
512,"7809"
513,"7823"
514,"7953"
515,"8249"
516,"8649"
517,"9454"
518,"10767"
519,"12680"
520,"15218"
521,"18545"
522,"22385"
523,"26322"
524,"30106"
525,"32699"
526,"33782"
527,"33496"
528,"31370"
529,"28031"
530,"23903"
531,"20111"
532,"16453"
533,"13558"
534,"11229"
535,"9753"
536,"8766"
537,"8282"
538,"7980"
539,"7918"
540,"7539"
541,"7661"
542,"7794"
543,"7468"
544,"7566"
545,"7598"
546,"7462"
547,"7498"
548,"7524"
549,"7439"
550,"7697"
551,"7555"
552,"7554"
553,"7403"
554,"7575"
555,"7528"
556,"7386"
557,"7606"
558,"7495"
559,"7412"
560,"7534"
561,"7524"
562,"7618"
563,"7388"
564,"7500"
565,"7404"
566,"7494"
567,"7573"
568,"7561"
569,"7492"
570,"7474"
571,"7527"
572,"7609"
573,"7579"
574,"7533"
575,"7614"
576,"7869"
577,"7927"
578,"8134"
579,"8552"
580,"9280"
581,"9794"
582,"10471"
583,"11156"
584,"11963"
585,"12157"
586,"12243"
587,"12249"
588,"11690"
589,"11173"
590,"10714"
591,"9772"
592,"9240"
593,"8610"
594,"7985"
595,"8048"
596,"7733"
597,"7559"
598,"7514"
599,"7518"
600,"7430"
601,"7213"
602,"7468"
603,"7360"
604,"7253"
605,"7338"
606,"7228"
607,"7141"
608,"7269"
609,"7184"
610,"7147"
611,"7203"
612,"7009"
613,"7271"
614,"7249"
615,"7248"
616,"7249"
617,"7299"
618,"7373"
619,"7231"
620,"6988"
621,"7271"
622,"7270"
623,"7253"
624,"7347"
625,"7236"
626,"7189"
627,"7050"
628,"7270"
629,"7287"
630,"7274"
631,"7324"
632,"7215"
633,"7171"
634,"7392"
635,"7129"
636,"7116"
637,"7002"
638,"7127"
639,"7182"
640,"7149"
641,"7176"
642,"7091"
643,"7127"
644,"7008"
645,"7225"
646,"6981"
647,"7063"
648,"7100"
649,"7035"
650,"7093"
651,"7083"
652,"7010"
653,"6818"
654,"6929"
655,"7218"
656,"6996"
657,"6990"
658,"7266"
659,"7123"
660,"7161"
661,"7195"
662,"7267"
663,"7262"
664,"7506"
665,"7489"
666,"7700"
667,"7763"
668,"7690"
669,"7819"
670,"7690"
671,"7567"
672,"7634"
673,"7455"
674,"7288"
675,"7100"
676,"7259"
677,"6869"
678,"6851"
679,"6849"
680,"6876"
681,"6876"
682,"6893"
683,"6943"
684,"6758"
685,"6781"
686,"6807"
687,"6735"
688,"6847"
689,"6686"
690,"6792"
691,"6769"
692,"6726"
693,"6770"
694,"6697"
695,"6777"
696,"6920"
697,"6882"
698,"7021"
699,"7071"
700,"7301"
701,"7305"
702,"7527"
703,"7711"
704,"7972"
705,"8003"
706,"7906"
707,"8104"
708,"8192"
709,"8083"
710,"7934"
711,"7599"
712,"7544"
713,"7322"
714,"7210"
715,"6791"
716,"6703"
717,"6778"
718,"6751"
719,"6599"
720,"6548"
721,"6496"
722,"6401"
723,"6517"
724,"6393"
725,"6450"
726,"6354"
727,"6387"
728,"6476"
729,"6299"
730,"6245"
731,"6323"
732,"6396"
733,"6468"
734,"6336"
735,"6260"
736,"6375"
737,"6279"
738,"6343"
739,"6459"
740,"6339"
741,"6354"
742,"6389"
743,"6449"
744,"6435"
745,"6363"
746,"6410"
747,"6433"
748,"6411"
749,"6401"
750,"6305"
751,"6291"
752,"6301"
753,"6268"
754,"6296"
755,"6104"
756,"6265"
757,"6145"
758,"6113"
759,"6074"
760,"6121"
761,"6161"
762,"6074"
763,"5883"
764,"6040"
765,"6106"
766,"6014"
767,"5929"
768,"6014"
769,"5896"
770,"5856"
771,"6126"
772,"6139"
773,"6028"
774,"6150"
775,"6175"
776,"6123"
777,"6183"
778,"6324"
779,"6605"
780,"6949"
781,"7018"
782,"7264"
783,"7606"
784,"7911"
785,"8280"
786,"8381"
787,"8332"
788,"8283"
789,"8299"
790,"7806"
791,"7913"
792,"7399"
793,"7086"
794,"6707"
795,"6385"
796,"6183"
797,"6187"
798,"5936"
799,"5841"
800,"5704"
801,"5713"
802,"5541"
803,"5670"
804,"5692"
805,"5652"
806,"5615"
807,"5537"
808,"5553"
809,"5634"
810,"5721"
811,"5586"
812,"5395"
813,"5482"
814,"5546"
815,"5679"
816,"5525"
817,"5445"
818,"5482"
819,"5468"
820,"5432"
821,"5446"
822,"5474"
823,"5537"
824,"5560"
825,"5540"
826,"5544"
827,"5329"
828,"5504"
829,"5448"
830,"5345"
831,"5442"
832,"5316"
833,"5411"
834,"5468"
835,"5461"
836,"5242"
837,"5464"
838,"5395"
839,"5386"
840,"5275"
841,"5287"
842,"5464"
843,"5346"
844,"5328"
845,"5339"
846,"5341"
847,"5290"
848,"5359"
849,"5253"
850,"5204"
851,"5365"
852,"5297"
853,"5282"
854,"5357"
855,"5346"
856,"5372"
857,"5297"
858,"5145"
859,"5332"
860,"5363"
861,"5326"
862,"5313"
863,"5301"
864,"5354"
865,"5355"
866,"5399"
867,"5356"
868,"5398"
869,"5291"
870,"5477"
871,"5454"
872,"5209"
873,"5396"
874,"5469"
875,"5434"
876,"5488"
877,"5693"
878,"5657"
879,"5766"
880,"5743"
881,"5822"
882,"5815"
883,"5855"
884,"5849"
885,"5935"
886,"5807"
887,"5783"
888,"5779"
889,"5606"
890,"5611"
891,"5619"
892,"5697"
893,"5683"
894,"5795"
895,"5852"
896,"5849"
897,"5900"
898,"5853"
899,"5834"
900,"6035"
901,"5938"
902,"6086"
903,"6091"
904,"6234"
905,"6157"
906,"6199"
907,"6284"
908,"6326"
909,"6379"
910,"6454"
911,"6505"
912,"6556"
913,"6847"
914,"6791"
915,"6904"
916,"7160"
917,"7104"
918,"7412"
919,"7574"
920,"7671"
921,"8229"
922,"8077"
923,"8368"
924,"8477"
925,"9130"
926,"9239"
927,"9792"
928,"10228"
929,"10398"
930,"10957"
931,"11583"
932,"12090"
933,"12739"
934,"13083"
935,"13579"
936,"14202"
937,"14791"
938,"15425"
939,"15863"
940,"16639"
941,"17216"
942,"17559"
943,"17746"
944,"17998"
945,"18608"
946,"19008"
947,"18966"
948,"18834"
949,"19190"
950,"18937"
951,"18666"
952,"18533"
953,"18141"
954,"17789"
955,"17620"
956,"17136"
957,"16418"
958,"15961"
959,"15077"
960,"14707"
961,"13796"
962,"13457"
963,"13013"
964,"12211"
965,"11600"
966,"11162"
967,"10576"
968,"10170"
969,"9818"
970,"9145"
971,"8777"
972,"8459"
973,"8180"
974,"7716"
975,"7457"
976,"7191"
977,"6834"
978,"6628"
979,"6449"
980,"6303"
981,"6044"
982,"5834"
983,"5950"
984,"5716"
985,"5560"
986,"5525"
987,"5338"
988,"5170"
989,"5126"
990,"5025"
991,"5180"
992,"5056"
993,"5111"
994,"5338"
995,"5663"
996,"5849"
997,"6354"
998,"6744"
999,"7201"
1000,"7805"
1001,"8477"
1002,"8997"
1003,"9509"
1004,"9988"
1005,"10615"
1006,"11092"
1007,"11076"
1008,"11412"
1009,"11159"
1010,"10996"
1011,"10652"
1012,"9936"
1013,"9404"
1014,"8664"
1015,"7738"
1016,"6868"
1017,"6138"
1018,"5566"
1019,"5054"
1020,"4622"
1021,"4332"
1022,"4252"
1023,"4072"
1024,"3940"
1025,"3978"
1026,"4034"
1027,"3926"
1028,"3883"
1029,"3952"
1030,"4033"
1031,"3933"
1032,"3958"
1033,"4112"
1034,"4018"
1035,"4145"
1036,"4164"
1037,"4040"
1038,"4398"
1039,"4348"
1040,"4466"
1041,"4607"
1042,"4569"
1043,"4751"
1044,"4825"
1045,"5021"
1046,"5392"
1047,"5594"
1048,"5800"
1049,"5873"
1050,"6192"
1051,"6364"
1052,"6427"
1053,"6782"
1054,"6785"
1055,"6952"
1056,"6876"
1057,"7028"
1058,"6911"
1059,"6940"
1060,"6737"
1061,"6576"
1062,"6398"
1063,"6273"
1064,"6116"
1065,"5752"
1066,"5737"
1067,"5504"
1068,"5400"
1069,"5228"
1070,"4942"
1071,"5078"
1072,"5001"
1073,"4694"
1074,"4813"
1075,"4539"
1076,"4536"
1077,"4569"
1078,"4276"
1079,"4203"
1080,"4209"
1081,"3948"
1082,"4088"
1083,"3828"
1084,"3862"
1085,"3780"
1086,"3782"
1087,"3572"
1088,"3604"
1089,"3561"
1090,"3546"
1091,"3403"
1092,"3433"
1093,"3479"
1094,"3356"
1095,"3367"
1096,"3240"
1097,"3225"
1098,"3257"
1099,"3114"
1100,"3116"
1101,"3154"
1102,"3025"
1103,"3066"
1104,"2951"
1105,"2987"
1106,"2903"
1107,"2818"
1108,"2809"
1109,"2837"
1110,"2777"
1111,"2702"
1112,"2785"
1113,"2789"
1114,"2769"
1115,"2770"
1116,"2657"
1117,"2686"
1118,"2604"
1119,"2658"
1120,"2570"
1121,"2647"
1122,"2789"
1123,"2691"
