Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PSC18655"
Duration Time,300.508
Ambient Temperature,"100.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"39835058"
Raw Accumulated Counts,"75121359"
Valid Count Last Packet,"117142"
Raw Count Last Packet,"218523"
Live Time,157.382965
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0473
Number of Channels,2048
Vacuum,1005
Channel#,Intensity
0,"4942"
1,"3909"
2,"2970"
3,"2058"
4,"810"
5,"201"
6,"50"
7,"25"
8,"23"
9,"12"
10,"6"
11,"8"
12,"12"
13,"7"
14,"5"
15,"6"
16,"8"
17,"1"
18,"3"
19,"4"
20,"4"
21,"4"
22,"1"
23,"6"
24,"4"
25,"1"
26,"1"
27,"1"
28,"5"
29,"7"
30,"65"
31,"377"
32,"1388"
33,"2879"
34,"3820"
35,"4216"
36,"4330"
37,"4305"
38,"4290"
39,"4283"
40,"4082"
41,"4022"
42,"4056"
43,"3948"
44,"4051"
45,"3921"
46,"3930"
47,"3919"
48,"3790"
49,"3740"
50,"3749"
51,"3611"
52,"3636"
53,"3609"
54,"3591"
55,"3634"
56,"3495"
57,"3533"
58,"3480"
59,"3425"
60,"3492"
61,"3439"
62,"3340"
63,"3352"
64,"3248"
65,"3166"
66,"3122"
67,"3185"
68,"3131"
69,"3234"
70,"3283"
71,"3346"
72,"3389"
73,"3498"
74,"3518"
75,"3322"
76,"3171"
77,"3260"
78,"3212"
79,"3206"
80,"3135"
81,"3167"
82,"3183"
83,"3199"
84,"3224"
85,"3337"
86,"3281"
87,"3228"
88,"3224"
89,"2996"
90,"3291"
91,"3198"
92,"3110"
93,"3125"
94,"3126"
95,"3193"
96,"3192"
97,"3149"
98,"3117"
99,"3313"
100,"3201"
101,"3306"
102,"3299"
103,"3263"
104,"3278"
105,"3365"
106,"3300"
107,"3491"
108,"3366"
109,"3413"
110,"3567"
111,"3657"
112,"3829"
113,"3909"
114,"4214"
115,"4225"
116,"4202"
117,"4173"
118,"4178"
119,"4167"
120,"4048"
121,"4176"
122,"4187"
123,"4206"
124,"4361"
125,"4399"
126,"4546"
127,"5009"
128,"5654"
129,"6859"
130,"8343"
131,"10512"
132,"13110"
133,"15265"
134,"16346"
135,"16203"
136,"15275"
137,"13903"
138,"13319"
139,"13649"
140,"14502"
141,"15041"
142,"15186"
143,"14674"
144,"14531"
145,"14525"
146,"14681"
147,"14524"
148,"14109"
149,"12638"
150,"11015"
151,"8927"
152,"7489"
153,"6472"
154,"5733"
155,"5514"
156,"5429"
157,"5471"
158,"5522"
159,"5367"
160,"5227"
161,"5117"
162,"4873"
163,"4843"
164,"4737"
165,"4655"
166,"4830"
167,"4798"
168,"4747"
169,"4611"
170,"4592"
171,"4627"
172,"4639"
173,"4468"
174,"4508"
175,"4627"
176,"4638"
177,"4656"
178,"4843"
179,"4898"
180,"5416"
181,"5762"
182,"6188"
183,"6573"
184,"6670"
185,"6586"
186,"6174"
187,"5956"
188,"5748"
189,"5360"
190,"5305"
191,"5228"
192,"5157"
193,"5450"
194,"5506"
195,"5505"
196,"5583"
197,"5566"
198,"5786"
199,"5888"
200,"6090"
201,"5915"
202,"6084"
203,"6030"
204,"6104"
