Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"PK50017"
Duration Time,300.676
Ambient Temperature,"114.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"15102106"
Raw Accumulated Counts,"17355706"
Valid Count Last Packet,"46860"
Raw Count Last Packet,"53982"
Live Time,261.227997
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0071
Number of Channels,2048
Vacuum,955
Channel#,Intensity
0,"8899"
1,"7188"
2,"4617"
3,"2674"
4,"1232"
5,"301"
6,"61"
7,"13"
8,"7"
9,"5"
10,"1"
11,"5"
12,"5"
13,"2"
14,"2"
15,"2"
16,"0"
17,"4"
18,"0"
19,"2"
20,"0"
21,"1"
22,"1"
23,"3"
24,"0"
25,"2"
26,"0"
27,"0"
28,"0"
29,"1"
30,"4"
31,"30"
32,"275"
33,"900"
34,"1481"
35,"1806"
36,"1974"
37,"2025"
38,"2016"
39,"1987"
40,"1975"
41,"2014"
42,"2005"
43,"1901"
44,"2063"
45,"2115"
46,"2176"
47,"2036"
48,"2146"
49,"2119"
50,"2033"
51,"2007"
52,"1975"
53,"2003"
54,"1975"
55,"2000"
56,"1967"
57,"1894"
58,"1941"
59,"1930"
60,"1952"
61,"1982"
62,"1891"
63,"1863"
64,"1703"
65,"1766"
66,"1777"
67,"1659"
68,"1790"
69,"1715"
70,"1803"
71,"1803"
72,"1935"
73,"1940"
74,"1979"
75,"1967"
76,"1948"
77,"2047"
78,"1963"
79,"1933"
80,"2020"
81,"2007"
82,"2320"
83,"2794"
84,"3413"
85,"4593"
86,"5311"
87,"5543"
88,"4979"
89,"4222"
90,"3399"
91,"2765"
92,"2421"
93,"2218"
94,"2235"
95,"2306"
96,"2477"
97,"2558"
98,"2605"
99,"2456"
100,"2358"
101,"2160"
102,"2171"
103,"2003"
104,"1913"
105,"1973"
106,"1943"
107,"2053"
108,"2143"
109,"2084"
110,"2186"
111,"2270"
112,"2561"
113,"2790"
114,"2891"
115,"3178"
116,"3201"
117,"3161"
118,"2983"
119,"2887"
120,"2665"
121,"2725"
122,"2701"
123,"2821"
124,"2869"
125,"2933"
126,"3347"
127,"3737"
128,"4555"
129,"5921"
130,"8207"
131,"11213"
132,"15138"
133,"19168"
134,"22358"
135,"23742"
136,"22944"
137,"21413"
138,"20064"
139,"19320"
140,"19069"
141,"19162"
142,"18855"
143,"18506"
144,"18331"
145,"18342"
146,"18701"
147,"19408"
148,"19069"
149,"17312"
150,"14759"
151,"11696"
152,"8618"
153,"6675"
154,"5560"
155,"5079"
156,"5180"
157,"5471"
158,"5989"
159,"6365"
160,"7294"
161,"8463"
162,"10789"
163,"13975"
164,"17184"
165,"19545"
166,"20345"
167,"18744"
168,"16346"
169,"12910"
170,"10736"
171,"9446"
172,"8486"
173,"7717"
174,"7309"
175,"7012"
176,"7151"
177,"8341"
178,"10959"
179,"16038"
180,"24688"
181,"36807"
182,"52049"
183,"65461"
184,"74227"
185,"74752"
186,"66385"
187,"52433"
188,"36937"
189,"24249"
190,"14925"
191,"9514"
192,"7184"
193,"6333"
194,"6559"
195,"7139"
196,"8417"
197,"10485"
198,"12411"
199,"14497"
200,"15824"
201,"16308"
202,"15308"
203,"13438"
204,"11240"
205,"9315"
206,"7687"
207,"6979"
208,"6535"
209,"6430"
210,"6633"
211,"6679"
212,"6981"
213,"7276"
214,"7976"
215,"9232"
216,"11336"
217,"16699"
218,"27371"
219,"50383"
220,"92222"
221,"158366"
222,"249846"
223,"355868"
224,"450908"
225,"507750"
226,"508750"
227,"454199"
228,"359585"
229,"253577"
230,"160405"
231,"91515"
232,"48300"
