Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"LUK0610"
Duration Time,300.716
Ambient Temperature,"114.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"11799359"
Raw Accumulated Counts,"13108159"
Valid Count Last Packet,"36324"
Raw Count Last Packet,"40490"
Live Time,270.598022
HV DAC,163
HV ADC,40.000000
Filament DAC,214
Filament ADC,10.600000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.0537
Number of Channels,2048
Vacuum,689
Channel#,Intensity
0,"9113"
1,"7533"
2,"4625"
3,"2844"
4,"1358"
5,"309"
6,"50"
7,"13"
8,"9"
9,"4"
10,"4"
11,"2"
12,"2"
13,"1"
14,"0"
15,"3"
16,"2"
17,"3"
18,"1"
19,"1"
20,"1"
21,"2"
22,"1"
23,"2"
24,"2"
25,"0"
26,"1"
27,"1"
28,"0"
29,"0"
30,"5"
31,"27"
32,"326"
33,"1026"
34,"1640"
35,"2039"
36,"2257"
37,"2253"
38,"2285"
39,"2324"
40,"2256"
41,"2238"
42,"2287"
43,"2263"
44,"2556"
45,"2396"
46,"2465"
47,"2453"
48,"2436"
49,"2293"
50,"2288"
51,"2251"
52,"2220"
53,"2261"
54,"2300"
55,"2224"
56,"2197"
57,"2188"
58,"2324"
59,"2282"
60,"2284"
61,"2177"
62,"2177"
63,"2153"
64,"2197"
65,"1989"
66,"2074"
67,"1956"
68,"1968"
69,"1986"
70,"1941"
71,"2104"
72,"2092"
73,"2119"
74,"2169"
75,"2055"
76,"2043"
77,"1956"
78,"1905"
79,"1940"
80,"1865"
81,"1890"
82,"1984"
83,"2105"
84,"2208"
85,"2596"
86,"2695"
87,"2758"
88,"2669"
89,"2463"
90,"2499"
91,"2532"
92,"2881"
93,"3531"
94,"4472"
95,"5660"
96,"6692"
97,"7220"
98,"6771"
99,"5836"
100,"4655"
101,"3563"
102,"2909"
103,"2519"
104,"2483"
105,"2412"
106,"2389"
107,"2584"
108,"2603"
109,"2617"
110,"2907"
111,"3308"
112,"3735"
113,"3990"
114,"4219"
115,"4363"
116,"4151"
117,"3989"
118,"3692"
119,"3473"
120,"3400"
121,"3150"
122,"3367"
123,"3407"
124,"3642"
125,"4212"
126,"5100"
127,"7007"
128,"9238"
129,"12917"
130,"16837"
131,"20545"
132,"23530"
133,"25743"
134,"26455"
135,"24979"
136,"22755"
137,"19701"
138,"18071"
139,"17872"
140,"18845"
141,"19820"
142,"20311"
143,"20014"
144,"19502"
145,"19690"
146,"20320"
147,"20838"
148,"20356"
149,"18075"
150,"14954"
151,"11807"
152,"8997"
153,"7005"
154,"6073"
155,"5726"
156,"5884"
157,"6061"
158,"6175"
159,"6285"
160,"6272"
161,"6017"
162,"5982"
163,"6056"
164,"6281"
165,"6479"
166,"6623"
167,"6545"
168,"6540"
169,"6536"
170,"6495"
171,"6624"
172,"6841"
173,"7561"
